cluster,original_label,,n_genes_by_counts,total_counts,pct_counts_mt,doublet_score,ribosomal_percent_retained_genes,reference_probability
0,Ribosomal/Low-quality,0.1,682.0,2051.0,1.2836043617893902,0.025485961123110145,42.34166177427342,0.6259965155614811
0,Ribosomal/Low-quality,0.25,797.0,2559.0,1.6062354504966152,0.03726302026585314,45.583104395604394,0.8508039026830188
0,Ribosomal/Low-quality,0.5,936.0,3201.0,2.057596486944313,0.05911792305286205,48.51253091001726,0.9581172962961302
0,Ribosomal/Low-quality,0.75,1101.0,3986.0,2.6385546595738782,0.08931947069943286,51.19426751592356,0.9882749477620603
0,Ribosomal/Low-quality,0.9,1285.0,4806.0,3.290281683150156,0.12720519962859794,53.522834563928214,0.9964541560446286
1,Classical Monocytes,0.1,666.0,1431.0,2.6947464382517254,0.01194954635981412,16.45223890915342,0.7708364699311158
1,Classical Monocytes,0.25,841.0,2001.75,3.518600578299406,0.018379281537176273,19.22809253904115,0.9212703475526551
1,Classical Monocytes,0.5,1093.0,2952.5,4.526498627532254,0.028812572759022125,22.50345428979614,0.9798343956143399
1,Classical Monocytes,0.75,1359.25,4083.0,5.826630187745614,0.041902604756511884,25.57065999831667,0.9950329084116892
1,Classical Monocytes,0.9,1615.0,5181.9,7.572210715002982,0.05724070450097847,28.055483599569126,0.9987578665858142
10,pDCs,0.1,1084.8,2792.0000000000005,1.487057517961617,0.018920191511590655,27.532266816103608,0.07437523092040099
10,pDCs,0.25,1506.0,4555.0,1.8233295583238958,0.04040833687792429,31.841347219144694,0.8113145087443827
10,pDCs,0.5,1706.0,5555.0,2.247191011235955,0.07767784137367129,35.4199066874028,0.9994151993126895
10,pDCs,0.75,1975.0,6887.0,2.874885004599816,0.10506630397823866,39.524371069182386,0.9999397868160811
10,pDCs,0.9,2425.6000000000004,9880.000000000007,3.684113176136781,0.1444713675586159,47.774169604220255,0.9999912893523664
11,Platelets,0.1,450.2,1185.0,1.0697458574710694,0.03635346108812869,1.94326085889941,0.29563229933516894
11,Platelets,0.25,541.0,1367.0,1.6243654822335025,0.05196228897171674,2.796674225245654,0.7351755778276424
11,Platelets,0.5,837.0,2282.0,2.235469448584203,0.07984092994799631,4.754716981132075,0.9529355505013957
11,Platelets,0.75,1173.0,3692.0,3.151862464183381,0.10630942091616248,36.14360629286002,0.9937284642064421
11,Platelets,0.9,1453.2,5108.200000000001,4.125276887512751,0.1469295597539712,44.26270614053651,0.9987697788279664
12,Plasma Cells,0.1,1248.9,3292.7000000000003,1.8221096272554496,0.06813742967919732,14.897497200781576,0.33350375186521636
12,Plasma Cells,0.25,1976.5,7204.25,2.5370215771766493,0.07984092994799631,21.922902974977326,0.6687885218924406
12,Plasma Cells,0.5,2441.0,11203.0,3.439340734906866,0.09702209414024973,26.868081911024095,0.9297323943189814
12,Plasma Cells,0.75,3004.5,15477.5,4.838954109557614,0.12149532710280371,30.972342729682477,0.9885092437255334
12,Plasma Cells,0.9,3545.8,20034.4,8.590827000321802,0.15707132406737823,34.79891349498116,0.9979984172908223
13,CD8 T Cells,0.1,1416.3,3652.7000000000003,1.9571292602417936,0.03233070612835772,18.632635779706984,0.17663475887665583
13,CD8 T Cells,0.25,1777.0,4992.5,2.416035381957985,0.04659999846803293,21.133262149070262,0.3380069902829882
13,CD8 T Cells,0.5,2340.5,7739.5,2.9144983624310674,0.08016641243067786,24.48300445512151,0.6533271535415925
13,CD8 T Cells,0.75,3256.0,12051.0,3.8610994987124663,0.10237484272191433,27.759505962540565,0.8546641898307551
13,CD8 T Cells,0.9,4097.6,20569.6,4.673056187126189,0.12252835562556376,31.683003105237013,0.9530135413487991
14,Classical Monocytes,0.1,620.7,1709.6,1.04675682168425,0.02557305163335926,6.704425315275697,0.3065154952376071
14,Classical Monocytes,0.25,792.25,2609.5,1.7340192029435528,0.040789642466592474,10.706782471218734,0.6153513692911102
14,Classical Monocytes,0.5,1219.5,5105.0,2.7237605842880486,0.07117488396156112,13.952998186360741,0.9631879936144547
14,Classical Monocytes,0.75,1646.5,7218.0,3.6043397248938707,0.14932126696832576,16.082771754494768,0.9880864374274694
14,Classical Monocytes,0.9,1956.2000000000003,9612.5,4.92932596158437,0.19658119658119655,19.18214013168628,0.9990867056680399
2,CD4 T Cells,0.1,816.0,2427.0,1.4576717687856622,0.02764716945646041,34.354948404446475,0.26770413993351444
2,CD4 T Cells,0.25,940.0,2992.0,1.8588313779244954,0.04136742315426601,39.450066330870285,0.4740816996706459
2,CD4 T Cells,0.5,1092.0,3718.0,2.3950553695596186,0.06560636182902585,43.8287153652393,0.7470087825993648
2,CD4 T Cells,0.75,1297.0,4645.0,3.065069575911494,0.10405083399523428,47.39649341052159,0.9179865325341228
2,CD4 T Cells,0.9,1521.0,5622.0,3.7973339069758065,0.15674479008685469,50.38138889428144,0.9791604352685049
3,NK Cells,0.1,766.0,1856.0,1.5813256611671684,0.014751552795031053,22.221627408993577,0.17880633056592998
3,NK Cells,0.25,880.0,2285.0,2.0834906372697066,0.022214386459802535,26.04940037118927,0.341853798959657
3,NK Cells,0.5,1011.0,2777.5,2.8023598820058995,0.03675651592782357,30.35415048650306,0.628435321235836
3,NK Cells,0.75,1212.0,3331.0,3.6922282127690673,0.05934372818245287,34.77828250628697,0.8783520479813833
3,NK Cells,0.9,1450.1000000000004,4031.1000000000004,4.570589951324998,0.09288299155609167,38.53523675994668,0.9706651391076041
4,Ribosomal/Low-quality,0.1,749.6,2211.6,1.3047511053419472,0.03598122718581609,38.16268393983699,0.3391229121275165
4,Ribosomal/Low-quality,0.25,880.0,2799.0,1.6468114926419062,0.05369127516778523,42.58278145695364,0.5649856321531321
4,Ribosomal/Low-quality,0.5,1053.0,3590.0,2.098391233387736,0.08049189491335941,46.372844237612924,0.8064006414859018
4,Ribosomal/Low-quality,0.75,1239.0,4490.0,2.656434474616293,0.12012480499219967,49.41885492897116,0.9387798925396297
4,Ribosomal/Low-quality,0.9,1423.0,5362.400000000001,3.3024131616443477,0.16857440166493234,52.062207162716476,0.9825513424904161
5,Non-classical Monocytes,0.1,1044.6,2768.6,1.6563084350152384,0.010964669398604498,16.37221824531764,0.5823597313979536
5,Non-classical Monocytes,0.25,1394.0,4251.0,2.42090557848159,0.019953262628078377,19.417691839333024,0.853401439590437
5,Non-classical Monocytes,0.5,1710.0,5676.0,3.330007483162883,0.03331962155491568,23.581002813172265,0.9827482198564091
5,Non-classical Monocytes,0.75,2026.5,7184.5,4.2651368875697475,0.05549212148892441,27.438642865183148,0.9985648989797475
5,Non-classical Monocytes,0.9,2370.4000000000005,9125.800000000001,5.383522930492685,0.087378640776699,31.046130412050704,0.9997935777060148
6,NK Cells,0.1,781.0,1677.0,1.8805304844587032,0.007541478129713425,17.809708836465106,0.4086514950021718
6,NK Cells,0.25,885.0,1980.0,2.4031142655121434,0.012101910828025477,20.70696259408205,0.8216142647336327
6,NK Cells,0.5,1014.0,2396.5,3.0977118899458125,0.0213430504945341,24.357194635737585,0.9927014393814136
6,NK Cells,0.75,1214.0,3023.5,3.9416574463105594,0.041659342590965015,29.116583072766723,0.9996264510841506
6,NK Cells,0.9,1512.5,4030.5,4.794039363463826,0.087378640776699,34.36544084824551,0.9999706128343646
7,CD8 T Cells,0.1,767.0,2072.0,1.662352478533493,0.018043684710351376,28.265968506732257,0.2835467348574466
7,CD8 T Cells,0.25,881.0,2523.0,2.194570135746606,0.02870264064293915,32.685810810810814,0.5872015490802042
7,CD8 T Cells,0.5,1022.0,3054.0,2.8950542822677927,0.04893660953954162,36.90406121247793,0.902521548626528
7,CD8 T Cells,0.75,1213.0,3677.0,3.748411689961881,0.08657243816254417,40.68209500609014,0.986240387980049
7,CD8 T Cells,0.9,1463.0,4458.0,4.660587467986278,0.15047446904654316,43.67578100306042,0.9973156648440759
