cluster,original_label,reference_label,n_cells
0,Ribosomal/Low-quality,B cells,4
0,Ribosomal/Low-quality,CD16+ NK cells,3
0,Ribosomal/Low-quality,CD8a/a,8
0,Ribosomal/Low-quality,CD8a/b(entry),3
0,Ribosomal/Low-quality,DC,1
0,Ribosomal/Low-quality,Double-negative thymocytes,1
0,Ribosomal/Low-quality,Double-positive thymocytes,2
0,Ribosomal/Low-quality,Epithelial cells,2
0,Ribosomal/Low-quality,Follicular B cells,41
0,Ribosomal/Low-quality,Follicular helper T cells,13
0,Ribosomal/Low-quality,ILC,1
0,Ribosomal/Low-quality,ILC precursor,1
0,Ribosomal/Low-quality,MAIT cells,6
0,Ribosomal/Low-quality,Macrophages,3
0,Ribosomal/Low-quality,Myelocytes,5
0,Ribosomal/Low-quality,NK cells,2
0,Ribosomal/Low-quality,NKT cells,1
0,Ribosomal/Low-quality,Plasma cells,1
0,Ribosomal/Low-quality,Regulatory T cells,184
0,Ribosomal/Low-quality,Tcm/Naive cytotoxic T cells,5651
0,Ribosomal/Low-quality,Tcm/Naive helper T cells,13450
0,Ribosomal/Low-quality,Tem/Effector helper T cells,123
0,Ribosomal/Low-quality,Tem/Temra cytotoxic T cells,1
0,Ribosomal/Low-quality,Tem/Trm cytotoxic T cells,59
0,Ribosomal/Low-quality,Treg(diff),104
0,Ribosomal/Low-quality,Trm cytotoxic T cells,19
0,Ribosomal/Low-quality,Type 17 helper T cells,3
1,Classical Monocytes,CD16+ NK cells,4
1,Classical Monocytes,CD8a/b(entry),1
1,Classical Monocytes,Classical monocytes,10669
1,Classical Monocytes,Cycling T cells,1
1,Classical Monocytes,DC,2
1,Classical Monocytes,DC1,1
1,Classical Monocytes,DC2,2
1,Classical Monocytes,DC3,3
1,Classical Monocytes,Follicular B cells,2
1,Classical Monocytes,GMP,1
1,Classical Monocytes,ILC3,1
1,Classical Monocytes,Kupffer cells,1
1,Classical Monocytes,MAIT cells,1
1,Classical Monocytes,MNP,2
1,Classical Monocytes,Macrophages,202
1,Classical Monocytes,Mono-mac,1
1,Classical Monocytes,Monocyte precursor,2
1,Classical Monocytes,Monocytes,104
1,Classical Monocytes,Myelocytes,260
1,Classical Monocytes,Naive B cells,1
1,Classical Monocytes,Non-classical monocytes,197
1,Classical Monocytes,Plasma cells,1
1,Classical Monocytes,Plasmablasts,1
1,Classical Monocytes,Regulatory T cells,1
1,Classical Monocytes,Tcm/Naive cytotoxic T cells,6
1,Classical Monocytes,Tcm/Naive helper T cells,9
1,Classical Monocytes,Tem/Effector helper T cells,1
1,Classical Monocytes,Tem/Temra cytotoxic T cells,4
1,Classical Monocytes,Treg(diff),2
1,Classical Monocytes,Type 17 helper T cells,2
1,Classical Monocytes,pDC,7
10,pDCs,CD16+ NK cells,1
10,pDCs,Classical monocytes,3
10,pDCs,DC,2
10,pDCs,DC1,1
10,pDCs,DC2,2
10,pDCs,Double-negative thymocytes,5
10,pDCs,ETP,6
10,pDCs,Early erythroid,1
10,pDCs,Follicular helper T cells,1
10,pDCs,HSC/MPP,24
10,pDCs,MEMP,18
10,pDCs,Macrophages,6
10,pDCs,Mast cells,1
10,pDCs,Megakaryocyte precursor,23
10,pDCs,Megakaryocyte-erythroid-mast cell progenitor,1
10,pDCs,NK cells,1
10,pDCs,Regulatory T cells,1
10,pDCs,Tcm/Naive cytotoxic T cells,6
10,pDCs,Tcm/Naive helper T cells,5
10,pDCs,Transitional DC,1
10,pDCs,pDC,347
10,pDCs,pDC precursor,1
11,Platelets,CD16+ NK cells,14
11,Platelets,Endothelial cells,1
11,Platelets,ILC3,1
11,Platelets,MAIT cells,1
11,Platelets,MEMP,1
11,Platelets,Macrophages,4
11,Platelets,Megakaryocytes/platelets,181
11,Platelets,NK cells,5
11,Platelets,Regulatory T cells,2
11,Platelets,Tcm/Naive cytotoxic T cells,12
11,Platelets,Tcm/Naive helper T cells,47
11,Platelets,Tem/Effector helper T cells,5
11,Platelets,Tem/Temra cytotoxic T cells,8
11,Platelets,Tem/Trm cytotoxic T cells,7
11,Platelets,Treg(diff),1
11,Platelets,Trm cytotoxic T cells,4
11,Platelets,pDC,3
12,Plasma Cells,B cells,18
12,Plasma Cells,Plasma cells,172
12,Plasma Cells,Plasmablasts,30
12,Plasma Cells,Tcm/Naive helper T cells,1
12,Plasma Cells,Tem/Effector helper T cells,1
13,CD8 T Cells,Cycling T cells,6
13,CD8 T Cells,Double-positive thymocytes,8
