interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2813970020815293,-0.39856698106447774,-0.16422702309858087,55,2.512953082541338e-06,0.0010583720732636602,11,0.909392681706466,32,0.6674090622839507,5,0.8254815384716299,7,0.8648949211306439
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.3040065300917504,-0.42700612333784344,-0.18100693684565733,55,1.2708525802345141e-06,0.0010583720732636602,11,0.8920281523255682,32,0.6600519619297714,5,0.7451219947804345,7,0.817152334476388
Classical Monocytes|NK Cells|TGFB1|ITGB1,Classical Monocytes,NK Cells,TGFB1,ITGB1,-0.4346183610100481,-0.6107741986310684,-0.25846252338902775,55,1.3267959811462452e-06,0.0010583720732636602,11,0.3869485373322121,33,0.19390948690018756,5,0.10423795626258565,6,0.34581726684060915
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.3664714545843465,0.21458967430772138,0.5183532348609716,56,2.254681194593067e-06,0.0010583720732636602,11,0.23248439219654526,33,0.3462307994475615,5,0.3940637425604783,7,0.1413386952271481
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.2970727910324652,-0.41994075354557436,-0.174204828519356,56,2.1494206502168267e-06,0.0010583720732636602,11,0.7168938225507969,33,0.5185404506706673,5,0.6043849111883637,7,0.7031043303406993
Non-classical Monocytes|CD4 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD4 T Cells,SELPLG,ITGB2,0.30794424018547684,0.18263909983100426,0.43324938053994944,56,1.4593815491725102e-06,0.0010583720732636602,11,0.04290937522122876,33,0.2305325509881722,5,0.3220278291394497,7,0.20170676472091634
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.39844084737757046,0.23086300952809216,0.5660186852270488,53,3.160537008850793e-06,0.0011409538601951364,11,0.24022861515621055,32,0.4257647705009604,5,0.5524364407322481,5,0.3395317486994275
CD4 T Cells|Classical Monocytes|ICAM2|ITGAM_ITGB2,CD4 T Cells,Classical Monocytes,ICAM2,ITGAM_ITGB2,-0.2770228183070236,-0.3958981162201762,-0.15814752039387098,56,4.9373761373919625e-06,0.0015595936873986861,11,0.17750411507091943,33,0.17834344063939236,5,0.01147659401060872,7,0.28933873788610526
CD4 T Cells|Non-classical Monocytes|ARF6|SMAP1,CD4 T Cells,Non-classical Monocytes,ARF6,SMAP1,-0.4663117048467469,-0.6718928185492463,-0.2607305911442475,55,8.760179206058568e-06,0.00201245207761,11,0.23270764407296476,32,0.16530787280157447,5,0.11007426089454977,7,0.5089861944699063
CD4 T Cells|B Cells|LTB|CD40,CD4 T Cells,B Cells,LTB,CD40,-0.29881563202641837,-0.42996982430052855,-0.1676614397523082,56,7.988529774611389e-06,0.00201245207761,11,0.8553986144000703,33,0.7264657238226588,5,0.6921328320508244,7,0.8620155734998314
