cluster,original_label,,n_genes_by_counts,total_counts,pct_counts_mt,doublet_score,ribosomal_percent_retained_genes,reference_probability
0,Ribosomal/Low-quality,0.1,629.0,1856.0,1.2837465877838947,0.023852020120071395,40.64762878417969,0.6876286647192302
0,Ribosomal/Low-quality,0.25,753.0,2480.0,1.7141055583415419,0.035737921906022506,45.49043273925781,0.8837757551348306
0,Ribosomal/Low-quality,0.5,904.0,3249.0,2.3257377264455936,0.05549212148892441,50.050981521606445,0.9668776209231307
0,Ribosomal/Low-quality,0.75,1067.0,4109.0,3.156374153206248,0.08626974483596596,53.93335723876953,0.9907075122331475
0,Ribosomal/Low-quality,0.9,1235.0,5069.5,4.137192225066688,0.12215166230855433,57.00603675842285,0.9970224389518954
1,Ribosomal/Low-quality,0.1,788.8000000000002,2428.8,1.3329943951991574,0.02558100652064872,36.73608932495117,0.3796597275170467
1,Ribosomal/Low-quality,0.25,916.0,3039.0,1.8167245524979965,0.0400263548015154,42.351715087890625,0.7247724940734677
1,Ribosomal/Low-quality,0.5,1064.0,3825.0,2.4625784645098987,0.06498673740053049,47.654117584228516,0.9340847728069366
1,Ribosomal/Low-quality,0.75,1240.0,4777.0,3.2942490228922394,0.10231923601637105,51.84999465942383,0.9851051973020654
1,Ribosomal/Low-quality,0.9,1461.0,6126.0,4.232533138302406,0.14932126696832576,55.18701095581055,0.9958208482569969
10,Platelets,0.1,593.1,1446.0,1.6506203187107271,0.024995749022275124,3.6440937757492065,0.12994830916016703
10,Platelets,0.25,897.5,2413.5,2.7163155408720345,0.03941605839416059,15.602409362792969,0.4072717150705717
10,Platelets,0.5,1329.5,3959.5,4.40581451547196,0.06379542395693136,22.113789558410645,0.7772900052880304
10,Platelets,0.75,1834.75,6304.0,6.197543613753877,0.1176145775814467,27.875016689300537,0.9725826267562
10,Platelets,0.9,2370.8,9286.7,8.442883675624987,0.20218076959263992,34.53000869750977,0.9964778195889143
11,Plasma Cells,0.1,1246.0,3546.6,1.8463090941053724,0.037037037037037035,15.37413330078125,0.2040970349058971
11,Plasma Cells,0.25,1901.0,7057.0,2.6153157187639944,0.05782575173477257,21.12605857849121,0.4472714122536404
11,Plasma Cells,0.5,2519.0,10759.0,3.729146221786065,0.08663967611336029,26.159448623657227,0.7951291567208912
11,Plasma Cells,0.75,3194.0,16385.0,5.753884922301554,0.11755102040816323,30.661418914794922,0.949018390410839
11,Plasma Cells,0.9,4049.5999999999995,24065.8,9.946259706961028,0.1583411875589067,35.20312652587891,0.9895074321501626
12,IFN-stimulated T Cells,0.1,742.1,2141.4,0.9118172671690201,0.02706175221908214,32.97153434753418,0.41079392804139464
12,IFN-stimulated T Cells,0.25,881.0,2704.5,1.235200557808451,0.03580753450205147,37.91796398162842,0.6821440563865009
12,IFN-stimulated T Cells,0.5,1056.5,3492.5,1.745796674342616,0.04960715449897633,43.3437442779541,0.9208856051531784
12,IFN-stimulated T Cells,0.75,1248.0,4401.5,2.426689424828103,0.07489397660441519,48.474327087402344,0.9837682286155482
12,IFN-stimulated T Cells,0.9,1464.0,5576.400000000001,3.3088176307523085,0.10829881461052818,52.62450180053711,0.9963519131874164
13,pDCs,0.1,1320.8,3872.2000000000003,1.396592011544086,0.05724070450097847,27.566858291625977,0.06669886731550051
13,pDCs,0.25,1567.0,4822.0,1.8255555169949802,0.06769154475576494,31.0853910446167,0.7110382007373623
13,pDCs,0.5,1780.0,5914.0,2.420064535054268,0.08934337997847147,35.17777633666992,0.9547714078793366
13,pDCs,0.75,2093.5,7636.5,3.095339200644667,0.12106299212598429,38.94467544555664,0.9905468167213873
13,pDCs,0.9,2479.2000000000007,10565.000000000002,3.981718307815267,0.16370106761565834,44.31450881958008,0.9971327845317622
2,Classical Monocytes,0.1,682.0,1523.0,2.4835174732600462,0.011418269230769232,16.46821174621582,0.7176694032379147
2,Classical Monocytes,0.25,871.0,2153.0,3.2935831913685405,0.01718705242050988,19.148935317993164,0.8978899842536163
2,Classical Monocytes,0.5,1135.0,3185.0,4.519774011299435,0.027457222443294866,22.734498977661133,0.9744545077158611
2,Classical Monocytes,0.75,1450.0,4562.0,6.1816939890710385,0.045079365079365066,26.478946685791016,0.9942860790147661
2,Classical Monocytes,0.9,1789.0,6253.0,8.280771294795095,0.07254788160185723,29.66077194213868,0.9986522148211303
3,B Cells,0.1,675.0,1877.8000000000002,1.536905753729932,0.008992248062015505,32.82980728149414,0.46809511510034874
3,B Cells,0.25,772.0,2239.0,2.2034520749173705,0.013305736250739207,37.68046188354492,0.7136602205511682
3,B Cells,0.5,907.0,2790.0,3.115124153498871,0.02016184336853655,42.340126037597656,0.8926023021231787
3,B Cells,0.75,1085.0,3602.0,4.207011686143573,0.030511388053287493,46.32545852661133,0.9668536294516434
3,B Cells,0.9,1320.0,4647.0,5.3805758211753405,0.050505050505050504,49.69685592651367,0.9899505877411999
4,CD4 T Cells,0.1,789.0,2232.8,1.1595294009093196,0.025906735751295335,29.87892837524414,0.26699374601424475
4,CD4 T Cells,0.25,940.0,2894.5,1.6492011681841607,0.03864728797486007,37.07595252990723,0.4834736972216631
4,CD4 T Cells,0.5,1124.0,3761.0,2.272727272727273,0.06334519572953737,43.01683807373047,0.7528247525437685
4,CD4 T Cells,0.75,1346.0,4840.5,3.056231852434573,0.10080941869021343,47.69760513305664,0.9216322363547504
4,CD4 T Cells,0.9,1665.0,6557.4000000000015,3.989298762975469,0.14700544464609794,51.29274063110352,0.9792606400877275
5,CD8 T Cells,0.1,735.0,1865.0,1.4931927975406236,0.014196188770942577,22.786758422851562,0.18869670554520698
5,CD8 T Cells,0.25,847.0,2217.0,2.075226977950713,0.021120563215019064,26.752365112304688,0.361136852596341
5,CD8 T Cells,0.5,978.0,2631.0,2.942285929837797,0.03369503141062251,31.24236297607422,0.6568961246852768
5,CD8 T Cells,0.75,1142.0,3152.0,4.040404040404041,0.05724070450097847,35.79429626464844,0.9032052618169543
5,CD8 T Cells,0.9,1362.0,3899.0,5.242966751918159,0.10095642933049946,39.550559997558594,0.9811351074905451
6,NK Cells,0.1,804.0,1808.0,1.7729748015890836,0.008158381377134778,16.97267723083496,0.4368159648683825
6,NK Cells,0.25,919.0,2121.25,2.3356925024826003,0.013537621996012173,19.833269119262695,0.8483561517498723
6,NK Cells,0.5,1058.0,2521.0,3.096793591061626,0.022808378588052753,23.335552215576172,0.9944188688859824
6,NK Cells,0.75,1248.0,3115.0,4.018062080300142,0.03992571959145775,28.064042568206787,0.9996834482384056
6,NK Cells,0.9,1526.0,4133.0,5.0379514139182024,0.07630057803468207,33.68253517150879,0.9999697140356221
7,Non-classical Monocytes,0.1,944.0,2430.0,1.7009345794392523,0.013829279923700526,16.188640594482422,0.7029700719152151
7,Non-classical Monocytes,0.25,1230.0,3580.0,2.3355636914530997,0.02044088176352705,18.894737243652344,0.8979037286321347
7,Non-classical Monocytes,0.5,1566.0,4991.0,3.3798677443056575,0.030927835051546393,22.61992645263672,0.9807064912784164
7,Non-classical Monocytes,0.75,1889.0,6515.0,4.750593824228028,0.047974413646055425,26.398988723754883,0.9974473982278295
7,Non-classical Monocytes,0.9,2209.0,8255.0,6.269925611052073,0.07254788160185723,29.610265731811523,0.999586970161758
8,cDCs,0.1,1685.6,5688.8,2.1371116691473477,0.04750599449394632,22.238180541992186,0.25624136205553116
8,cDCs,0.25,2018.5,7627.0,2.6628354387512534,0.06132537089540322,26.30406093597412,0.4388932886947705
8,cDCs,0.5,2330.0,9604.0,3.2925867507886437,0.07905405405405405,30.76458168029785,0.6904932710500121
8,cDCs,0.75,2653.0,11820.0,4.091171918889985,0.10731244064577396,34.06679344177246,0.8707182607004429
8,cDCs,0.9,3009.8,14387.6,5.0220393491465725,0.15270413573700953,36.645667266845706,0.9538684181681378
9,RBCs,0.1,217.0,3214.4,0.05816662776760249,0.0037606837606837607,4.646872091293335,0.06564308031756425
9,RBCs,0.25,253.0,4135.0,0.10354754955850168,0.0072322351050396055,5.81511926651001,0.1103407345465569
9,RBCs,0.5,328.0,5668.5,0.16542600680819516,0.015960185344087868,8.413281917572021,0.20123317641008795
9,RBCs,0.75,466.0,7942.75,0.266650527540115,0.05455746862430953,11.859635829925537,0.3476797336815689
9,RBCs,0.9,708.0,9943.800000000001,1.4711369936733816,0.087378640776699,30.558545494079592,0.5997335824404346
