original_label,restore,ribosomal_percent_retained_genes,pct_counts_mt,n_genes_by_counts,doublet_score
B Cells,False,42.340126,3.115124153498871,907.0,0.0201618433685365
CD4 T Cells,False,43.016838,2.272727272727273,1124.0,0.0633451957295373
CD8 T Cells,False,31.242363,2.942285929837797,978.0,0.0336950314106225
Classical Monocytes,False,22.734499,4.519774011299435,1135.0,0.0274572224432948
IFN-stimulated T Cells,False,43.3437435,1.745796674342616,1056.5,0.04960715449897625
NK Cells,False,23.3355525,3.096793591061626,1058.0,0.0228083785880527
Non-classical Monocytes,False,22.619926,3.379867744305657,1566.0,0.0309278350515463
Plasma Cells,False,26.159449,3.729146221786065,2519.0,0.0866396761133602
Platelets,False,22.1137895,4.40581451547196,1329.5,0.0637954239569313
RBCs,False,8.413282,0.16542600680819514,328.0,0.0159601853440878
Ribosomal/Low-quality,False,46.35149,2.543068088597211,896.0,0.0536912751677852
Ribosomal/Low-quality,True,49.9059845,2.32720919101455,1012.0,0.0615640599001664
cDCs,False,30.764582,3.292586750788644,2330.0,0.079054054054054
pDCs,False,35.177776,2.420064535054268,1780.0,0.0893433799784714
