interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.22459584322017456,-0.3159615979717637,-0.13323008846858542,55,1.4500789062093817e-06,0.0002484468525972074,11,0.941663074545086,32,0.7560138516272722,5,0.8934965989027269,7,0.9324432192050877
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2477856980452391,-0.34830805704431284,-0.14726333904616534,55,1.356622563093213e-06,0.0002484468525972074,11,0.8994939376814703,32,0.7049789355819216,5,0.8503277065620181,7,0.9035984025077083
NK Cells|CD8 T Cells|LCK|CD8A_CD8B,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.33867691152136326,-0.4725923660846578,-0.20476145695806866,56,7.165700531838347e-07,0.0002484468525972074,11,0.5699098388956658,33,0.44688703144591563,5,0.5025135756992594,7,0.7181676797708724
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.24419220278861908,-0.34481236117130687,-0.14357204440593127,55,1.968993599119779e-06,0.00025301567748689155,11,0.892700741730053,32,0.7055195252182118,5,0.8181822835792006,7,0.8751932698559786
Non-classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.16246144429781806,-0.2385777205234061,-0.08634516807223004,56,2.872852397980947e-05,0.0024610768876036776,11,0.770513002970144,33,0.7054588683509346,5,0.6722090443296096,7,0.7696163540082183
B Cells|Non-classical Monocytes|CD72|SEMA4D,B Cells,Non-classical Monocytes,CD72,SEMA4D,0.501351074010251,0.26829202700741095,0.7344101210130911,54,2.4842274622876418e-05,0.0024610768876036776,10,0.06095924838035355,33,0.10845249679673276,5,0.5590842402534342,6,0.10522641465956238
CD4 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.26663669392723865,-0.3962913659616629,-0.13698202189281442,56,5.5612390626826115e-05,0.0040835383974555176,11,0.6495732848233357,33,0.571282466468439,5,0.48151435106883145,7,0.6698602266411735
Classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.2461049089865135,-0.3752345674846644,-0.1169752504883626,56,0.0001873834121851853,0.012039384232898156,11,0.6220809725638495,33,0.5552588301909839,5,0.44215969169500624,7,0.6214424583086541
Non-classical Monocytes|Non-classical Monocytes|CD52|SIGLEC10,Non-classical Monocytes,Non-classical Monocytes,CD52,SIGLEC10,-0.2690226931223556,-0.4125080972100348,-0.12553728903467645,55,0.00023807071946710352,0.013461001945161533,11,0.9121649276205258,32,0.6617450437605878,5,0.832613490131678,7,0.8512162993940956
Non-classical Monocytes|Non-classical Monocytes|LTB|LTBR,Non-classical Monocytes,Non-classical Monocytes,LTB,LTBR,-0.3376845069925155,-0.5189959375703486,-0.15637307641468245,56,0.0002618871973766835,0.013461001945161533,11,0.3436890193584215,33,0.11694048179561375,5,0.017488728120639195,7,0.12842469755034697
B Cells|Non-classical Monocytes|RPS19|C5AR1,B Cells,Non-classical Monocytes,RPS19,C5AR1,-0.015255367650566565,-0.023507498540713736,-0.007003236760419394,56,0.0002908646781416113,0.013591313142253472,11,0.9943524912981612,33,0.9826537525976254,5,0.9934683682086979,7,0.9970249971587288
Non-classical Monocytes|B Cells|PTPRC|CD22,Non-classical Monocytes,B Cells,PTPRC,CD22,-0.147990819903971,-0.2331863308044818,-0.0627953090034602,56,0.0006626091875275476,0.020752017156041056,11,0.7639634628751427,33,0.7208592660690308,5,0.6705094594994148,7,0.7753960825972739
pDCs|Classical Monocytes|GRN|TNFRSF1A,pDCs,Classical Monocytes,GRN,TNFRSF1A,-0.35867151869290786,-0.5666982265604203,-0.15064481082539535,44,0.0007267243362037724,0.020752017156041056,10,0.5036471010847817,22,0.41899768080916994,5,0.32305135262586165,7,0.5970734510431578
CD4 T Cells|Non-classical Monocytes|RPS19|C5AR1,CD4 T Cells,Non-classical Monocytes,RPS19,C5AR1,-0.01509395145579051,-0.02371577429857793,-0.00647212861300309,56,0.0006008139218340358,0.020752017156041056,11,0.9939860242976042,33,0.9824560811208837,5,0.9931726614459405,7,0.9967366697250106
