sample,interactions,max_rank_difference
GSM4029896_JB17001,5319,0.0
GSM4029897_JB17002,6439,0.0
GSM4029898_JB17003,8499,3.3881317890172014e-21
GSM4029899_JB17004,7349,0.0
GSM4029900_JB17005,5261,0.0
GSM4029901_JB17006,4097,0.0
GSM4029902_JB17007,5850,0.0
GSM4029903_JB17008,5513,0.0
GSM4029904_JB17015,8699,0.0
GSM4029905_JB17016,10496,0.0
GSM4029906_JB17014,8647,3.3881317890172014e-21
GSM4029907_JB17010,7043,0.0
GSM4029908_JB17019,7393,0.0
GSM4029909_JB17020,9511,3.3881317890172014e-21
GSM4029910_JB17021,11801,0.0
GSM4029911_JB17022,7762,3.3881317890172014e-21
GSM4029912_JB17023,7320,0.0
GSM4029913_JB17024,10154,3.3881317890172014e-21
GSM4029914_JB17017,9689,0.0
GSM4029915_JB17018,6558,3.3881317890172014e-21
GSM4029916_JB18063,10188,0.0
GSM4029917_JB18064,9967,0.0
GSM4029918_JB18065,5918,0.0
GSM4029919_JB18066,5469,0.0
GSM4029920_JB18067,5842,0.0
GSM4029921_JB18068,7670,0.0
GSM4029922_JB18069,7945,3.3881317890172014e-21
GSM4029923_JB18070,7051,0.0
GSM4029924_JB18071,7828,0.0
GSM4029925_JB18072,8275,3.3881317890172014e-21
GSM4029926_JB18073,10235,0.0
GSM4029927_JB18074,11575,0.0
GSM4029928_JB18075,6637,0.0
GSM4029929_JB18076,9038,3.3881317890172014e-21
GSM4029930_JB18077,7738,0.0
GSM4029931_JB18078,9117,0.0
GSM4029932_JB18079,6925,0.0
GSM4029933_JB18080,8571,0.0
GSM4029934_JB18081,5743,0.0
GSM4029935_JB18082,8054,0.0
GSM4029936_JB18085,5830,0.0
GSM4029937_JB18086,7149,0.0
GSM4029938_JB18083,8676,0.0
GSM4029939_JB18084,8553,0.0
GSM4029940_JB19001,4995,0.0
GSM4029942_JB19003,4243,0.0
GSM4029943_JB19004,8140,0.0
GSM4029944_JB19006,7719,0.0
GSM4029945_JB19007,5682,0.0
GSM4029946_JB19008,6213,0.0
GSM4029947_JB19009,4657,0.0
GSM4029948_JB19010,4853,0.0
GSM4029949_JB19011,4624,0.0
GSM4029950_JB19013,4294,0.0
GSM4029951_JB19014,4553,0.0
GSM4029952_JB19015,3683,0.0
