interaction_id,source_baseline,target_baseline,ligand_complex_baseline,receptor_complex_baseline,interaction_coef_baseline,interaction_ci95_low_baseline,interaction_ci95_high_baseline,n_observations_baseline,interaction_p_value_baseline,fdr_q_value_baseline,n_cHD_baseline,mean_cHD_baseline,n_cSLE_baseline,mean_cSLE_baseline,n_aHD_baseline,mean_aHD_baseline,n_aSLE_baseline,mean_aSLE_baseline,source_scenario,target_scenario,ligand_complex_scenario,receptor_complex_scenario,interaction_coef_scenario,interaction_ci95_low_scenario,interaction_ci95_high_scenario,n_observations_scenario,interaction_p_value_scenario,fdr_q_value_scenario,n_cHD_scenario,mean_cHD_scenario,n_cSLE_scenario,mean_cSLE_scenario,n_aHD_scenario,mean_aHD_scenario,n_aSLE_scenario,mean_aSLE_scenario
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2813970020815293,-0.39856698106447774,-0.16422702309858087,55,2.512953082541338e-06,0.0010583720732636602,11,0.909392681706466,32,0.6674090622839507,5,0.8254815384716299,7,0.8648949211306439,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2297793980759023,-0.3240157500171435,-0.13554304613466112,55,1.7613369650553218e-06,0.00046763496422218796,11,0.940850803501025,32,0.750552878479565,5,0.8926109587173038,7,0.932092431771746
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.3040065300917504,-0.42700612333784344,-0.18100693684565733,55,1.2708525802345141e-06,0.0010583720732636602,11,0.8920281523255682,32,0.6600519619297714,5,0.7451219947804345,7,0.817152334476388,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.23447835613386436,-0.3277988469712259,-0.14115786529650282,55,8.451899249754314e-07,0.0004487958501619541,11,0.9285791435132297,32,0.7553953113688883,5,0.8335801052100067,7,0.8948746291995296
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.39844084737757046,0.23086300952809216,0.5660186852270488,53,3.160537008850793e-06,0.0011409538601951364,11,0.24022861515621055,32,0.4257647705009604,5,0.5524364407322481,5,0.3395317486994275,CD4 T Cells,NK Cells,CD48,CD244,0.17566675479141514,-0.038771579145224555,0.3901050887280548,53,0.1083635441633664,0.43591698447536026,11,0.3476989721660949,32,0.4348140809343836,5,0.484525878218186,5,0.39597423219505956
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2762399946078873,-0.4031564912837031,-0.14932349793207145,55,1.9904625290979942e-05,0.002958764006488607,11,0.8894844091865892,32,0.6602511782313376,5,0.7977013426169692,7,0.844708106269605,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.22375872713111977,-0.32534940242827115,-0.12216805183396838,55,1.5821985914228973e-05,0.0021003686301138964,11,0.9261347609134549,32,0.7442710619735309,5,0.8729621223687257,7,0.9148571505599215
B Cells|CD4 T Cells|FAM3C|CLEC2D,B Cells,CD4 T Cells,FAM3C,CLEC2D,0.1129035151445966,0.059429201951417474,0.1663778283377757,56,3.500577111459387e-05,0.00359630960137643,11,0.007729305623678714,33,0.1206328207682753,5,0.0,7,0.0,B Cells,CD4 T Cells,FAM3C,CLEC2D,0.03658498669424223,-0.05954298321415834,0.13271295660264282,56,0.45570643567985547,0.7491644499876261,11,0.03586809382545585,33,0.13632448236229763,5,0.0,7,0.06387140184259954
CD8 T Cells|NK Cells|CD48|CD244,CD8 T Cells,NK Cells,CD48,CD244,0.396235982746181,0.20392043976267535,0.5885515257296866,53,5.386336325477198e-05,0.004537090631493627,11,0.23610071214147507,32,0.4185040198744429,5,0.5679301783076606,5,0.35409750329444745,CD8 T Cells,NK Cells,CD48,CD244,0.2658548882328221,0.056605968574538534,0.4751038078911057,53,0.01276809353723674,0.1076167883852811,11,0.2645792584130114,32,0.43459678856544276,5,0.5113113923284316,5,0.41547403424804086
NK Cells|CD8 T Cells|LCK|CD8A_CD8B,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.45884207833628865,-0.6975570096884081,-0.2201271469841692,56,0.00016501382762117208,0.00910455893800032,11,0.35705886145438837,33,0.2591677867955493,5,0.16661643558737507,7,0.5275674392648246,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.46433581080432373,-0.7204133273832654,-0.2082582942253821,56,0.0003795207921443531,0.014394681473475106,11,0.44938784840680823,33,0.38563963546190244,5,0.2765963254230207,7,0.6771839232824387
Non-classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.22450591576837398,-0.3440800418969795,-0.10493178963976847,56,0.00023330490825836962,0.01112380194658302,11,0.6559234090100089,33,0.5491037749832571,5,0.492428734026929,7,0.6101150157685512,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.1893746931824314,-0.2729770520308615,-0.10577233433400128,56,9.009344846502333e-06,0.001594654037830913,11,0.7567852022101396,33,0.6910548890986944,5,0.6260802461996339,7,0.7497246262706201
Classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.2667749346621959,-0.4167257279565302,-0.1168241413678616,56,0.0004885828479369125,0.01738942051741659,11,0.4518195025773325,33,0.3882340301018541,5,0.2269021617416705,7,0.43009162392838796,Classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.2556809144848313,-0.402281861976264,-0.10907996699339867,56,0.0006301461244767666,0.018589310672064614,11,0.5877904475891349,33,0.5332679934753037,5,0.3993409799684099,7,0.60049944033941
CD4 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.4099270749756887,-0.6411618854517244,-0.17869226449965303,56,0.0005116665095979418,0.01795807319102776,11,0.4485772152783347,33,0.3755570075187878,5,0.10975115985349446,7,0.44665802706963625,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.42882865095415335,-0.6785159185580293,-0.17914138335027743,56,0.0007622091261077733,0.020236652298161382,11,0.5364078768972345,33,0.5120792379106395,5,0.19922051122632523,7,0.6037205231938836
Non-classical Monocytes|NK Cells|BAG6|NCR3,Non-classical Monocytes,NK Cells,BAG6,NCR3,-0.20278628776987276,-0.3182098780559968,-0.08736269748374871,55,0.0005743711481652254,0.01909606641488144,11,0.4050210710283055,33,0.2226594076259092,5,0.003331778525928408,6,0.023756402893404898,Non-classical Monocytes,NK Cells,BAG6,NCR3,-0.2395029658506386,-0.3978172696800292,-0.08118866202124805,55,0.003025880028020526,0.04552174218360905,11,0.4178688430851898,33,0.23841083147702902,5,0.02222749413678591,6,0.08227244837926372
Non-classical Monocytes|Non-classical Monocytes|CD52|SIGLEC10,Non-classical Monocytes,Non-classical Monocytes,CD52,SIGLEC10,-0.3243017101483886,-0.5127550641453247,-0.1358483561514525,55,0.0007440195719793782,0.022382588790379625,11,0.8690013222572336,32,0.5545641714431956,5,0.7409570534459845,7,0.7508216127803351,Non-classical Monocytes,Non-classical Monocytes,CD52,SIGLEC10,-0.28571056579507126,-0.43277831016706847,-0.13864282142307402,55,0.00014029394310261244,0.008277342643054134,11,0.9109086090267954,32,0.6513161962629096,5,0.8238544329264409,7,0.8499725859576264
pDCs|Non-classical Monocytes|GRN|TNFRSF1B,pDCs,Non-classical Monocytes,GRN,TNFRSF1B,-0.2139161358506757,-0.3463358096744636,-0.08149646202688782,44,0.0015444155399698281,0.03899331206871738,10,0.8256811961823921,22,0.6812033475269185,5,0.670056883145218,7,0.7394951703404201,pDCs,Non-classical Monocytes,GRN,TNFRSF1B,-0.1855182923268469,-0.2795400804874802,-0.09149650416621363,44,0.00011005320507491229,0.008277342643054134,10,0.8858311032115525,22,0.7883741898008224,5,0.7588687168794765,7,0.8469300957955934
CD4 T Cells|Non-classical Monocytes|ANXA1|FPR1,CD4 T Cells,Non-classical Monocytes,ANXA1,FPR1,-0.30938324034318515,-0.5041639497008154,-0.11460253098555492,55,0.0018510692739539091,0.0433115931044586,10,0.4196933354251128,33,0.2918564848666693,5,0.3913353603122857,7,0.5728817500970275,CD4 T Cells,Non-classical Monocytes,ANXA1,FPR1,-0.26096020111816953,-0.46888682110048974,-0.0530335811358493,55,0.013898708773443895,0.11015245311490608,10,0.5017501018330612,33,0.4209835303699621,5,0.5363420873375964,7,0.7165357169926667
Non-classical Monocytes|B Cells|TNFSF13B|CD40,Non-classical Monocytes,B Cells,TNFSF13B,CD40,0.25283379265025485,0.0814172543026899,0.42425033099781984,56,0.003841613178279019,0.0664914828870622,11,0.2862906964854695,33,0.3389308866555881,5,0.4531231202409648,7,0.25292951776082856,Non-classical Monocytes,B Cells,TNFSF13B,CD40,0.2513684042675631,0.021201085381282958,0.4815357231538432,56,0.032314425297333846,0.19952278875446827,11,0.20997747472136014,33,0.37232559521629294,5,0.404460588720611,7,0.31544030494798075
CD8 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD8 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.38231464328185255,-0.6463587408633242,-0.11827054570038081,56,0.004541561720111124,0.07356747735077443,11,0.45822545145380783,33,0.4379466781351397,5,0.18208545063480291,7,0.5441213205979873,CD8 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.34678262697648354,-0.6079778129527962,-0.08558744100017085,56,0.009262849225270734,0.09108468404849555,11,0.5561978167163105,33,0.5610912346146677,5,0.3325618393779709,7,0.6842378842528116
Classical Monocytes|B Cells|TNFSF13B|CD40,Classical Monocytes,B Cells,TNFSF13B,CD40,0.28687140064846633,0.08262943408460216,0.4911133672123305,56,0.005907002140513982,0.08578732419010823,11,0.13711344684530868,33,0.33481029278713753,5,0.39831699298783774,7,0.30914243828120025,Classical Monocytes,B Cells,TNFSF13B,CD40,0.07711336651568171,-0.19963333732602448,0.35386007035738787,56,0.5849772158045724,0.830542517626278,11,0.16587334197481265,33,0.3760715631266472,5,0.2764607363997274,7,0.40954559103588023
Non-classical Monocytes|Classical Monocytes|LGALS9|CD44,Non-classical Monocytes,Classical Monocytes,LGALS9,CD44,-0.12452454542225677,-0.21338340304231224,-0.03566568780220129,56,0.006020849804426683,0.0869410711759213,11,0.7116407522270584,33,0.6212842141400278,5,0.6501036014646854,7,0.6842716087999116,Non-classical Monocytes,Classical Monocytes,LGALS9,CD44,-0.11511446127571512,-0.18652453015603832,-0.04370439239539191,56,0.0015803945052873518,0.03016262132329547,11,0.8012384738259736,33,0.746399465587696,5,0.750420625102537,7,0.8106960781399746
Non-classical Monocytes|Non-classical Monocytes|RPS19|C5AR1,Non-classical Monocytes,Non-classical Monocytes,RPS19,C5AR1,-0.038899802707974884,-0.06667924510989322,-0.011120360306056547,56,0.006059296831079128,0.0869991084780509,11,0.9918903319339291,33,0.9583046984286623,5,0.9827429415904098,7,0.9880571107931179,Non-classical Monocytes,Non-classical Monocytes,RPS19,C5AR1,-0.022276098838649228,-0.03476260504147054,-0.009789592635827914,56,0.00047122304978577484,0.01668129596241643,11,0.9908025201699822,33,0.974025299060983,5,0.9878150986771563,7,0.9933139764068065
Classical Monocytes|Non-classical Monocytes|CD1D|LILRB2,Classical Monocytes,Non-classical Monocytes,CD1D,LILRB2,-0.2037586258383991,-0.3506897192288436,-0.056827532447954576,52,0.006567668124597644,0.08971079649112566,10,0.51418799784422,30,0.3992156527667745,5,0.32179558008338593,7,0.4105818608443395,Classical Monocytes,Non-classical Monocytes,CD1D,LILRB2,-0.1560175903107685,-0.3284840784612087,0.016448897839671683,52,0.07622315900251801,0.3459358754729664,10,0.5002902160254601,30,0.4127100180490438,5,0.33023348572160527,7,0.39867087805595747
NK Cells|Non-classical Monocytes|RPS19|C5AR1,NK Cells,Non-classical Monocytes,RPS19,C5AR1,-0.03868549987883996,-0.06674875738780187,-0.010622242369878052,56,0.006895874878562225,0.09220040115410977,11,0.9870408828129769,33,0.9558166595815486,5,0.9808052346152916,7,0.9882665112627034,NK Cells,Non-classical Monocytes,RPS19,C5AR1,-0.023236084261401002,-0.03515187437161968,-0.011320294151182323,56,0.00013238547401459908,0.008277342643054134,11,0.9814815966779613,33,0.9696074819491484,5,0.9818863744151407,7,0.9932483439477287
B Cells|Non-classical Monocytes|RPS19|C5AR1,B Cells,Non-classical Monocytes,RPS19,C5AR1,-0.028035120077270825,-0.04842742708292245,-0.007642813071619202,56,0.007048650119601512,0.09325622435724094,11,0.9933179026697256,33,0.9690031235925519,5,0.9868508340702327,7,0.9905711750703298,B Cells,Non-classical Monocytes,RPS19,C5AR1,-0.01599626178708702,-0.024109374286392794,-0.00788314928778124,56,0.00011137468826312119,0.008277342643054134,11,0.9949196776936652,33,0.9829039944397561,5,0.9932716064422964,7,0.9972521849754744
CD4 T Cells|Non-classical Monocytes|RPS19|C5AR1,CD4 T Cells,Non-classical Monocytes,RPS19,C5AR1,-0.030150390393824722,-0.05255029627299941,-0.007750484514650036,56,0.008336664097627629,0.10377709445667498,11,0.9927174105388464,33,0.9667460275532936,5,0.9860155556434913,7,0.9901945630517632,CD4 T Cells,Non-classical Monocytes,RPS19,C5AR1,-0.016187349026216546,-0.02481198783318913,-0.0075627102192439635,56,0.00023451509731287691,0.012396938740699257,11,0.9936474936038551,33,0.9810557824395493,5,0.9932510551302924,7,0.9968466929922032
Classical Monocytes|Non-classical Monocytes|RPS19|C5AR1,Classical Monocytes,Non-classical Monocytes,RPS19,C5AR1,-0.04367007571590531,-0.0766492411836349,-0.010690910248175714,56,0.009450048780783605,0.11211395900957825,11,0.9826151404164141,33,0.9460917439377267,5,0.9672758788365762,7,0.974422558073794,Classical Monocytes,Non-classical Monocytes,RPS19,C5AR1,-0.0280075875484177,-0.0453002950537532,-0.010714880043082204,56,0.0015014984355093024,0.03016262132329547,11,0.9777884713970927,33,0.9624650601292645,5,0.9639928972463322,7,0.9766770735269217
pDCs|Classical Monocytes|GRN|TNFRSF1B,pDCs,Classical Monocytes,GRN,TNFRSF1B,-0.18272417026899934,-0.3206771115102728,-0.04477122902772593,44,0.009430222245840022,0.11211395900957825,10,0.7060981757313544,22,0.571024597422413,5,0.5680270520252446,7,0.6156776439853026,pDCs,Classical Monocytes,GRN,TNFRSF1B,-0.1605935317199837,-0.2636554591503396,-0.05753160428962778,44,0.0022576525597867965,0.038671403524089966,10,0.7940954684141854,22,0.7043859156646955,5,0.6857841667648105,7,0.7566681457353043
