interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.23447835613386436,-0.3277988469712259,-0.14115786529650282,55,8.451899249754314e-07,0.0004487958501619541,11,0.9285791435132297,32,0.7553953113688883,5,0.8335801052100067,7,0.8948746291995296
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2297793980759023,-0.3240157500171435,-0.13554304613466112,55,1.7613369650553218e-06,0.00046763496422218796,11,0.940850803501025,32,0.750552878479565,5,0.8926109587173038,7,0.932092431771746
Non-classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.1893746931824314,-0.2729770520308615,-0.10577233433400128,56,9.009344846502333e-06,0.001594654037830913,11,0.7567852022101396,33,0.6910548890986944,5,0.6260802461996339,7,0.7497246262706201
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.22375872713111977,-0.32534940242827115,-0.12216805183396838,55,1.5821985914228973e-05,0.0021003686301138964,11,0.9261347609134549,32,0.7442710619735309,5,0.8729621223687257,7,0.9148571505599215
NK Cells|Non-classical Monocytes|RPS19|C5AR1,NK Cells,Non-classical Monocytes,RPS19,C5AR1,-0.023236084261401002,-0.03515187437161968,-0.011320294151182323,56,0.00013238547401459908,0.008277342643054134,11,0.9814815966779613,33,0.9696074819491484,5,0.9818863744151407,7,0.9932483439477287
pDCs|Non-classical Monocytes|GRN|TNFRSF1B,pDCs,Non-classical Monocytes,GRN,TNFRSF1B,-0.1855182923268469,-0.2795400804874802,-0.09149650416621363,44,0.00011005320507491229,0.008277342643054134,10,0.8858311032115525,22,0.7883741898008224,5,0.7588687168794765,7,0.8469300957955934
Non-classical Monocytes|Non-classical Monocytes|CD52|SIGLEC10,Non-classical Monocytes,Non-classical Monocytes,CD52,SIGLEC10,-0.28571056579507126,-0.43277831016706847,-0.13864282142307402,55,0.00014029394310261244,0.008277342643054134,11,0.9109086090267954,32,0.6513161962629096,5,0.8238544329264409,7,0.8499725859576264
B Cells|Non-classical Monocytes|RPS19|C5AR1,B Cells,Non-classical Monocytes,RPS19,C5AR1,-0.01599626178708702,-0.024109374286392794,-0.00788314928778124,56,0.00011137468826312119,0.008277342643054134,11,0.9949196776936652,33,0.9829039944397561,5,0.9932716064422964,7,0.9972521849754744
B Cells|Non-classical Monocytes|CD72|SEMA4D,B Cells,Non-classical Monocytes,CD72,SEMA4D,0.4796640493627138,0.2355227136402322,0.7238053850851953,54,0.00011776254024850578,0.008277342643054134,10,0.06209294627332511,33,0.10914668761929561,5,0.5527686018880008,6,0.1201582938712575
Non-classical Monocytes|Non-classical Monocytes|LTB|LTBR,Non-classical Monocytes,Non-classical Monocytes,LTB,LTBR,-0.3305072456834427,-0.5077210808011566,-0.15329341056572876,56,0.00025681040705780007,0.012396938740699257,11,0.3269311474690882,33,0.11025321719137246,5,0.015784736633459272,7,0.12961405203918622
