cohort,sample,review_group,label,cells,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,GSM4029896_JB17001,excluded_unrestored,Ribosomal/Low-quality,575,781.0,1987.0,1.6835016835016834,0.0372630202658531,39.333935,0.853406275311775,0.44173913043478263,0.08521739130434783,0.0,0.5373913043478261
child,GSM4029896_JB17001,original_T,CD4 T Cells,253,876.0,2123.0,1.601537475976938,0.0505050505050505,34.9278,0.687728984302913,0.45849802371541504,0.011857707509881422,0.42292490118577075,0.41106719367588934
child,GSM4029896_JB17001,original_T,CD8 T Cells,168,887.5,2112.0,2.5179076506489118,0.0358974358974358,28.4436305,0.716651502322059,0.5,0.09523809523809523,0.13690476190476192,0.4523809523809524
child,GSM4029896_JB17001,other,B Cells,1419,890.0,2244.0,2.2298456260720414,0.038683859493108,35.336906,0.8515600139841558,0.9696969696969697,0.0,0.0,0.5644820295983086
child,GSM4029896_JB17001,other,Classical Monocytes,949,1019.0,2502.0,3.322259136212625,0.0333196215549156,18.179256,0.930830377835979,1.0,0.0,0.001053740779768177,0.7355110642781876
child,GSM4029896_JB17001,other,IFN-stimulated T Cells,29,867.0,2436.0,1.4945652173913044,0.0449927431059506,39.867954,0.8852120899039803,0.4827586206896552,0.06896551724137931,0.5517241379310345,0.6206896551724138
child,GSM4029896_JB17001,other,NK Cells,90,1019.5,2044.0,2.547915290757313,0.041705282669138,20.0121405,0.9339819964903228,0.4888888888888889,0.0,0.011111111111111112,0.5777777777777777
child,GSM4029896_JB17001,other,Non-classical Monocytes,412,1380.0,3842.0,2.583918935949095,0.0372630202658531,18.60472,0.9795525514710064,1.0,0.0024271844660194173,0.0,0.7985436893203883
child,GSM4029896_JB17001,other,Plasma Cells,6,833.5,1777.0,4.580719200579777,0.06562545613779006,22.9358845,0.6270989611402418,0.8333333333333334,0.0,0.0,0.16666666666666666
child,GSM4029896_JB17001,other,Platelets,15,1021.0,2557.0,2.254791431792559,0.0546344115248708,12.928349,0.2212310963420863,1.0,0.06666666666666667,0.0,0.26666666666666666
