cohort,review_group,label,cells,donors,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,excluded_unrestored,Ribosomal/Low-quality,36505,44,896.0,2982.0,2.543068088597211,0.0536912751677852,46.35149,0.8968603179945083,0.3671825777290782,0.14214491165593754,0.0,0.5940008218052322
child,original_T,CD4 T Cells,28319,44,1124.0,3761.0,2.272727272727273,0.0633451957295373,43.016838,0.7528247525437685,0.46781312899466787,0.025918994314771,0.5899219605212048,0.44263568628835764
child,original_T,CD8 T Cells,25501,44,978.0,2631.0,2.942285929837797,0.0336950314106225,31.242363,0.6568961246852768,0.4048468687502451,0.39841574840202343,0.39994510019214935,0.368142425787224
child,other,B Cells,29889,44,907.0,2790.0,3.115124153498871,0.0201618433685365,42.340126,0.8926023021231787,0.9697547592759879,0.004014854963364448,0.001271370738398742,0.6551574157716886
child,other,Classical Monocytes,37329,44,1135.0,3185.0,4.519774011299435,0.0274572224432948,22.734499,0.9744545077158612,0.999892844705189,0.0036164911998714136,0.0011519194192183022,0.8534383455222481
child,other,IFN-stimulated T Cells,1182,43,1056.5,3492.5,1.745796674342616,0.04960715449897625,43.3437435,0.9208856051531784,0.49746192893401014,0.13451776649746192,0.7098138747884941,0.6582064297800339
child,other,NK Cells,16526,44,1058.0,2521.0,3.096793591061626,0.0228083785880527,23.3355525,0.9944188688859824,0.3800072612852475,0.020755173665738837,0.017245552462785915,0.7742950502238897
child,other,Non-classical Monocytes,14201,44,1566.0,4991.0,3.379867744305657,0.0309278350515463,22.619926,0.9807064912784164,0.9992254066615027,0.004225054573621576,0.0,0.8436729807760017
child,other,Plasma Cells,1373,43,2519.0,10759.0,3.729146221786065,0.0866396761133602,26.159449,0.7951291567208912,0.9621267297887837,0.03641660597232338,0.0021849963583394027,0.49526584122359796
child,other,Platelets,1382,44,1329.5,3959.5,4.40581451547196,0.0637954239569313,22.1137895,0.7772900052880304,0.9927641099855282,0.06295224312590449,0.059334298118668596,0.4840810419681621
child,other,RBCs,1472,43,328.0,5668.5,0.16542600680819514,0.0159601853440878,8.413282,0.2012331764100879,0.7792119565217391,0.012228260869565218,0.044157608695652176,0.050271739130434784
child,other,cDCs,2167,44,2330.0,9604.0,3.292586750788644,0.079054054054054,30.764582,0.6904932710500121,0.9981541301338256,0.018458698661744346,0.0,0.3604060913705584
child,other,pDCs,803,44,1780.0,5914.0,2.420064535054268,0.0893433799784714,35.177776,0.9547714078793366,0.6575342465753424,0.008717310087173101,0.0012453300124533001,0.7222914072229141
child,restored,CD4 T Cells,44396,44,965.0,3491.0,2.101945759126313,0.0643856920684292,49.699324,0.9677737260333755,0.3779169294531039,0.0091449680151365,1.0,0.8659563924677899
child,restored,CD8 T Cells,32084,44,1077.0,4150.0,2.6358809295713304,0.059117923052862,50.1783675,0.9657066236528606,0.42158085026804637,0.5876761002368782,1.0,0.8553172921082159
adult,excluded_unrestored,Ribosomal/Low-quality,8915,12,873.0,2870.0,2.0594059405940595,0.0634264884568651,47.742939737602846,0.8734453515732943,0.3089175546831183,0.07739764441951767,0.0,0.5689287717330342
adult,original_T,CD4 T Cells,10455,12,1092.0,3718.0,2.3950553695596186,0.0656063618290258,43.8287153652393,0.7470087825993648,0.44323290291726447,0.05729316116690579,0.5663318986131037,0.43577235772357725
adult,original_T,CD8 T Cells,4387,12,1030.0,3082.0,2.895238095238095,0.0502525923956394,36.70588235294117,0.895006634279449,0.4538408935491224,0.3200364713927513,0.44768634602233875,0.5965352176886255
adult,other,B Cells,3126,12,896.0,2928.5,3.244115460376158,0.0128726287262872,44.12100615225615,0.8578014471774311,0.9612923864363404,0.004478566858605247,0.0028790786948176585,0.5953294945617402
adult,other,Classical Monocytes,11546,12,1093.0,2956.0,4.519123731054284,0.0290893760539629,22.47086891049645,0.9797691272891513,0.9999133899185865,0.0019054217910964837,0.0002598302442404296,0.8838558808245279
adult,other,NK Cells,12366,12,1013.0,2642.5,2.919254658385093,0.0309278350515463,28.362931647293223,0.7899315220146821,0.465388969755782,0.23322011968300177,0.24001293870289503,0.49175157690441534
adult,other,Non-classical Monocytes,4847,12,1710.0,5676.0,3.330007483162883,0.0333196215549156,23.581002813172265,0.9827482198564093,0.9989684340829379,0.003507324118011141,0.0,0.796162574788529
adult,other,Plasma Cells,222,12,2441.0,11203.0,3.439340734906866,0.0970220941402497,26.868081911024095,0.9297323943189812,0.8738738738738738,0.013513513513513514,0.0,0.6756756756756757
adult,other,Platelets,297,12,837.0,2282.0,2.235469448584203,0.0798409299479963,4.754716981132075,0.9529355505013956,0.9730639730639731,0.06397306397306397,0.15151515151515152,0.7138047138047138
adult,other,RBCs,1093,12,254.0,5975.0,0.0727272727272727,0.0173193946013418,0.8786381109280615,0.8042540662461153,0.9981701738334858,0.022872827081427266,0.03476669716376944,0.5096065873741995
adult,other,pDCs,457,12,1706.0,5555.0,2.247191011235955,0.0776778413736712,35.4199066874028,0.9994151993126896,0.6652078774617067,0.006564551422319475,0.002188183807439825,0.7549234135667396
adult,restored,CD4 T Cells,13000,12,982.0,3346.0,1.9602262183258645,0.0676779463243874,47.97867273642197,0.9447834302088006,0.3545384615384615,0.005615384615384615,1.0,0.7942307692307692
adult,restored,CD8 T Cells,4434,12,1080.0,3984.0,2.4608217832420074,0.0523160762942779,48.63112900167981,0.9645127183293865,0.4100135317997294,0.5683355886332883,1.0,0.8547586829048264
