cohort,gene,available
child,CD3D,True
child,CD3E,True
child,TRAC,False
child,CD4,True
child,IL7R,True
child,CCR7,True
child,TCF7,True
child,LEF1,True
child,CD8A,True
child,CD8B,True
child,NKG7,True
child,CCL5,True
child,GZMK,True
child,PRF1,True
child,GNLY,True
child,MS4A1,True
child,CD79A,True
child,CD79B,True
child,LYZ,True
child,LST1,True
child,FCN1,True
child,S100A8,True
child,S100A9,True
child,PPBP,True
child,PF4,True
child,HBB,False
child,HBA1,True
child,HBA2,False
adult,CD3D,True
adult,CD3E,True
adult,TRAC,False
adult,CD4,True
adult,IL7R,True
adult,CCR7,True
adult,TCF7,True
adult,LEF1,True
adult,CD8A,True
adult,CD8B,True
adult,NKG7,True
adult,CCL5,True
adult,GZMK,True
adult,PRF1,True
adult,GNLY,True
adult,MS4A1,True
adult,CD79A,True
adult,CD79B,True
adult,LYZ,True
adult,LST1,True
adult,FCN1,True
adult,S100A8,True
adult,S100A9,True
adult,PPBP,True
adult,PF4,True
adult,HBB,True
adult,HBA1,True
adult,HBA2,True
