cohort,review_group,label,gene,cells,fraction_detected,mean_log_expression
child,excluded_unrestored,Ribosomal/Low-quality,CD3D,36505,0.5993699493220107,1.2713753
child,excluded_unrestored,Ribosomal/Low-quality,CD3E,36505,0.5818654978770031,1.1956083
child,excluded_unrestored,Ribosomal/Low-quality,CD4,36505,0.06925078756334749,0.10335556
child,excluded_unrestored,Ribosomal/Low-quality,IL7R,36505,0.6776058074236406,1.3576351
child,excluded_unrestored,Ribosomal/Low-quality,CCR7,36505,0.3952609231612108,0.68722767
child,excluded_unrestored,Ribosomal/Low-quality,TCF7,36505,0.4627859197370223,0.77364963
child,excluded_unrestored,Ribosomal/Low-quality,LEF1,36505,0.40920421860019174,0.6919535
child,excluded_unrestored,Ribosomal/Low-quality,CD8A,36505,0.21627174359676757,0.35612696
child,excluded_unrestored,Ribosomal/Low-quality,CD8B,36505,0.2961238186549788,0.55154896
child,excluded_unrestored,Ribosomal/Low-quality,NKG7,36505,0.31102588686481303,0.6598196
child,excluded_unrestored,Ribosomal/Low-quality,CCL5,36505,0.3023147514039173,0.77477336
child,excluded_unrestored,Ribosomal/Low-quality,GZMK,36505,0.17052458567319545,0.37171203
child,excluded_unrestored,Ribosomal/Low-quality,PRF1,36505,0.09924667853718669,0.15899864
child,excluded_unrestored,Ribosomal/Low-quality,GNLY,36505,0.2595808793315984,0.5153093
child,excluded_unrestored,Ribosomal/Low-quality,MS4A1,36505,0.021065607451034106,0.031681918
child,excluded_unrestored,Ribosomal/Low-quality,CD79A,36505,0.06790850568415285,0.09872101
child,excluded_unrestored,Ribosomal/Low-quality,CD79B,36505,0.06585399260375291,0.09582914
child,excluded_unrestored,Ribosomal/Low-quality,LYZ,36505,0.3281742227092179,0.5483049
child,excluded_unrestored,Ribosomal/Low-quality,LST1,36505,0.16342966716888097,0.24863859
child,excluded_unrestored,Ribosomal/Low-quality,FCN1,36505,0.07568826188193398,0.11355715
child,excluded_unrestored,Ribosomal/Low-quality,S100A8,36505,0.3014107656485413,0.5050986
