cohort,review_group,label,metric,quantile,value
child,excluded_unrestored,Ribosomal/Low-quality,n_genes_by_counts,0.1,591.0
child,excluded_unrestored,Ribosomal/Low-quality,n_genes_by_counts,0.25,731.0
child,excluded_unrestored,Ribosomal/Low-quality,n_genes_by_counts,0.5,896.0
child,excluded_unrestored,Ribosomal/Low-quality,n_genes_by_counts,0.75,1069.0
child,excluded_unrestored,Ribosomal/Low-quality,n_genes_by_counts,0.9,1246.0
child,excluded_unrestored,Ribosomal/Low-quality,n_genes_by_counts,0.95,1386.0
child,excluded_unrestored,Ribosomal/Low-quality,total_counts,0.1,1635.0
child,excluded_unrestored,Ribosomal/Low-quality,total_counts,0.25,2263.0
child,excluded_unrestored,Ribosomal/Low-quality,total_counts,0.5,2982.0
child,excluded_unrestored,Ribosomal/Low-quality,total_counts,0.75,3785.0
child,excluded_unrestored,Ribosomal/Low-quality,total_counts,0.9,4657.0
child,excluded_unrestored,Ribosomal/Low-quality,total_counts,0.95,5397.0
child,excluded_unrestored,Ribosomal/Low-quality,pct_counts_mt,0.1,1.293545155875876
child,excluded_unrestored,Ribosomal/Low-quality,pct_counts_mt,0.25,1.7990495587236932
child,excluded_unrestored,Ribosomal/Low-quality,pct_counts_mt,0.5,2.543068088597211
child,excluded_unrestored,Ribosomal/Low-quality,pct_counts_mt,0.75,3.525560312263913
child,excluded_unrestored,Ribosomal/Low-quality,pct_counts_mt,0.9,4.667690492925234
child,excluded_unrestored,Ribosomal/Low-quality,pct_counts_mt,0.95,5.570157472383571
child,excluded_unrestored,Ribosomal/Low-quality,doublet_score,0.1,0.021018746449536
child,excluded_unrestored,Ribosomal/Low-quality,doublet_score,0.25,0.0328785506598076
child,excluded_unrestored,Ribosomal/Low-quality,doublet_score,0.5,0.0536912751677852
child,excluded_unrestored,Ribosomal/Low-quality,doublet_score,0.75,0.088235294117647
child,excluded_unrestored,Ribosomal/Low-quality,doublet_score,0.9,0.1325886352598348
child,excluded_unrestored,Ribosomal/Low-quality,doublet_score,0.95,0.1669128508124076
child,excluded_unrestored,Ribosomal/Low-quality,ribosomal_percent_retained_genes,0.1,34.582938399999996
child,excluded_unrestored,Ribosomal/Low-quality,ribosomal_percent_retained_genes,0.25,40.29948
child,excluded_unrestored,Ribosomal/Low-quality,ribosomal_percent_retained_genes,0.5,46.35149
child,excluded_unrestored,Ribosomal/Low-quality,ribosomal_percent_retained_genes,0.75,51.686893
child,excluded_unrestored,Ribosomal/Low-quality,ribosomal_percent_retained_genes,0.9,55.5990822
child,excluded_unrestored,Ribosomal/Low-quality,ribosomal_percent_retained_genes,0.95,57.6619564
child,excluded_unrestored,Ribosomal/Low-quality,reference_probability,0.1,0.2547769632205568
child,excluded_unrestored,Ribosomal/Low-quality,reference_probability,0.25,0.4645422196247988
child,excluded_unrestored,Ribosomal/Low-quality,reference_probability,0.5,0.8968603179945083
child,excluded_unrestored,Ribosomal/Low-quality,reference_probability,0.75,0.9814201431728956
child,excluded_unrestored,Ribosomal/Low-quality,reference_probability,0.9,0.9951550220855828
child,excluded_unrestored,Ribosomal/Low-quality,reference_probability,0.95,0.9977293532984362
child,original_T,CD4 T Cells,n_genes_by_counts,0.1,789.0
child,original_T,CD4 T Cells,n_genes_by_counts,0.25,940.0
child,original_T,CD4 T Cells,n_genes_by_counts,0.5,1124.0
child,original_T,CD4 T Cells,n_genes_by_counts,0.75,1346.0
child,original_T,CD4 T Cells,n_genes_by_counts,0.9,1665.0
child,original_T,CD4 T Cells,n_genes_by_counts,0.95,1984.0
child,original_T,CD4 T Cells,total_counts,0.1,2232.8
child,original_T,CD4 T Cells,total_counts,0.25,2894.5
child,original_T,CD4 T Cells,total_counts,0.5,3761.0
child,original_T,CD4 T Cells,total_counts,0.75,4840.5
child,original_T,CD4 T Cells,total_counts,0.9,6557.4000000000015
child,original_T,CD4 T Cells,total_counts,0.95,8217.199999999997
child,original_T,CD4 T Cells,pct_counts_mt,0.1,1.1595294009093193
child,original_T,CD4 T Cells,pct_counts_mt,0.25,1.6492011681841607
child,original_T,CD4 T Cells,pct_counts_mt,0.5,2.272727272727273
child,original_T,CD4 T Cells,pct_counts_mt,0.75,3.056231852434573
child,original_T,CD4 T Cells,pct_counts_mt,0.9,3.989298762975469
child,original_T,CD4 T Cells,pct_counts_mt,0.95,4.777927681741569
child,original_T,CD4 T Cells,doublet_score,0.1,0.0259067357512953
child,original_T,CD4 T Cells,doublet_score,0.25,0.03864728797486005
child,original_T,CD4 T Cells,doublet_score,0.5,0.0633451957295373
child,original_T,CD4 T Cells,doublet_score,0.75,0.1008094186902134
child,original_T,CD4 T Cells,doublet_score,0.9,0.1470054446460979
child,original_T,CD4 T Cells,doublet_score,0.95,0.1811846689895469
child,original_T,CD4 T Cells,ribosomal_percent_retained_genes,0.1,29.8789282
child,original_T,CD4 T Cells,ribosomal_percent_retained_genes,0.25,37.0759515
child,original_T,CD4 T Cells,ribosomal_percent_retained_genes,0.5,43.016838
child,original_T,CD4 T Cells,ribosomal_percent_retained_genes,0.75,47.697604999999996
child,original_T,CD4 T Cells,ribosomal_percent_retained_genes,0.9,51.292739600000004
child,original_T,CD4 T Cells,ribosomal_percent_retained_genes,0.95,53.3208267
child,original_T,CD4 T Cells,reference_probability,0.1,0.2669937460142447
child,original_T,CD4 T Cells,reference_probability,0.25,0.4834736972216631
child,original_T,CD4 T Cells,reference_probability,0.5,0.7528247525437685
child,original_T,CD4 T Cells,reference_probability,0.75,0.9216322363547504
child,original_T,CD4 T Cells,reference_probability,0.9,0.9792606400877274
child,original_T,CD4 T Cells,reference_probability,0.95,0.991668982923913
child,original_T,CD8 T Cells,n_genes_by_counts,0.1,735.0
child,original_T,CD8 T Cells,n_genes_by_counts,0.25,847.0
child,original_T,CD8 T Cells,n_genes_by_counts,0.5,978.0
child,original_T,CD8 T Cells,n_genes_by_counts,0.75,1142.0
child,original_T,CD8 T Cells,n_genes_by_counts,0.9,1362.0
child,original_T,CD8 T Cells,n_genes_by_counts,0.95,1552.0
child,original_T,CD8 T Cells,total_counts,0.1,1865.0
child,original_T,CD8 T Cells,total_counts,0.25,2217.0
child,original_T,CD8 T Cells,total_counts,0.5,2631.0
child,original_T,CD8 T Cells,total_counts,0.75,3152.0
child,original_T,CD8 T Cells,total_counts,0.9,3899.0
child,original_T,CD8 T Cells,total_counts,0.95,4770.0
child,original_T,CD8 T Cells,pct_counts_mt,0.1,1.4931927975406236
child,original_T,CD8 T Cells,pct_counts_mt,0.25,2.075226977950713
child,original_T,CD8 T Cells,pct_counts_mt,0.5,2.942285929837797
child,original_T,CD8 T Cells,pct_counts_mt,0.75,4.040404040404041
child,original_T,CD8 T Cells,pct_counts_mt,0.9,5.242966751918159
child,original_T,CD8 T Cells,pct_counts_mt,0.95,6.148208469055374
child,original_T,CD8 T Cells,doublet_score,0.1,0.0141961887709425
child,original_T,CD8 T Cells,doublet_score,0.25,0.021120563215019
child,original_T,CD8 T Cells,doublet_score,0.5,0.0336950314106225
child,original_T,CD8 T Cells,doublet_score,0.75,0.0572407045009784
child,original_T,CD8 T Cells,doublet_score,0.9,0.1009564293304994
child,original_T,CD8 T Cells,doublet_score,0.95,0.148036253776435
child,original_T,CD8 T Cells,ribosomal_percent_retained_genes,0.1,22.786758
child,original_T,CD8 T Cells,ribosomal_percent_retained_genes,0.25,26.752365
child,original_T,CD8 T Cells,ribosomal_percent_retained_genes,0.5,31.242363
child,original_T,CD8 T Cells,ribosomal_percent_retained_genes,0.75,35.794296
child,original_T,CD8 T Cells,ribosomal_percent_retained_genes,0.9,39.55056
child,original_T,CD8 T Cells,ribosomal_percent_retained_genes,0.95,41.750957
child,original_T,CD8 T Cells,reference_probability,0.1,0.1886967055452069
child,original_T,CD8 T Cells,reference_probability,0.25,0.361136852596341
child,original_T,CD8 T Cells,reference_probability,0.5,0.6568961246852768
child,original_T,CD8 T Cells,reference_probability,0.75,0.9032052618169544
child,original_T,CD8 T Cells,reference_probability,0.9,0.9811351074905452
child,original_T,CD8 T Cells,reference_probability,0.95,0.9939329035609392
child,other,B Cells,n_genes_by_counts,0.1,675.0
child,other,B Cells,n_genes_by_counts,0.25,772.0
child,other,B Cells,n_genes_by_counts,0.5,907.0
child,other,B Cells,n_genes_by_counts,0.75,1085.0
child,other,B Cells,n_genes_by_counts,0.9,1320.0
child,other,B Cells,n_genes_by_counts,0.95,1517.5999999999985
child,other,B Cells,total_counts,0.1,1877.8000000000002
child,other,B Cells,total_counts,0.25,2239.0
child,other,B Cells,total_counts,0.5,2790.0
child,other,B Cells,total_counts,0.75,3602.0
child,other,B Cells,total_counts,0.9,4647.0
child,other,B Cells,total_counts,0.95,5582.5999999999985
child,other,B Cells,pct_counts_mt,0.1,1.536905753729932
child,other,B Cells,pct_counts_mt,0.25,2.2034520749173705
