ligand_receptor,n_significant_interactions,n_positive,n_negative
GNAI2-S1PR4,12,6,6
CD48-CD2,9,0,9
HLA-B-CD8B,7,0,7
HLA-B-LILRA1,7,0,7
IL16-CD4,7,1,6
HLA-B-LILRB1,6,0,6
HLA-A-LILRA1,6,0,6
HLA-A-LILRB1,5,0,5
PSEN1-CD44,5,3,2
SELPLG-ITGB2,5,2,3
CIRBP-TREM1,4,1,3
HLA-C-LILRA1,4,0,4
VIM-CD44,4,0,4
HLA-DRA-CD4,4,0,4
PKM-CD44,4,0,4
LTB-TNFRSF1A,4,0,4
HLA-E-CD8B,4,0,4
ARF6-SMAP1,4,0,4
CD52-SIGLEC10,4,0,4
HLA-C-LILRB1,4,0,4
CD48-CD244,3,3,0
PTPN6-CD300LF,3,2,1
HLA-DRB1-CD4,3,0,3
ICAM3-ITGAL,3,2,1
HLA-DPA1-CD4,3,0,3
LGALS9-CD44,3,0,3
LCK-CD8A_CD8B,3,0,3
CALR-LRP1,2,0,2
SEMA4D-CD72,2,2,0
PTPN6-CLEC12A,2,0,2
SELPLG-SELL,2,2,0
MFNG-NOTCH2,2,0,2
HLA-DPB1-CD4,2,0,2
CD22-PTPRC,2,0,2
LTB-CD40,2,0,2
FAM3C-CLEC2D,1,1,0
APP-LRP10,1,1,0
ADAM17-ITGB1,1,1,0
ADAM15-ITGB1,1,1,0
ADAM10-CD44,1,1,0
BAG6-NCR3,1,0,1
GRN-TNFRSF1B,1,0,1
GNAS-PTGDR,1,0,1
CD40LG-CD53,1,1,0
HLA-A-LILRB2,1,0,1
GNAI2-ADCY7,1,0,1
CD99-CD81,1,1,0
CD72-CD5,1,1,0
HLA-DMA-CD4,1,0,1
HLA-DMB-CD4,1,0,1
HLA-E-CD8A,1,0,1
ICAM2-ITGAM_ITGB2,1,0,1
LGALS1-CD69,1,1,0
HLA-F-CD8B,1,0,1
ICAM1-IL2RG,1,1,0
LGALS9-PTPRC,1,1,0
MIF-CD44_CD74,1,0,1
TGFB1-ITGB1,1,0,1
TIMP2-ITGB1,1,1,0
TNFSF13B-CD40,1,1,0
