source,target,n_significant_interactions
CD4 T Cells,Non-classical Monocytes,12
B Cells,Non-classical Monocytes,9
Classical Monocytes,Non-classical Monocytes,9
CD8 T Cells,Non-classical Monocytes,9
CD4 T Cells,Classical Monocytes,7
Non-classical Monocytes,CD4 T Cells,7
NK Cells,Non-classical Monocytes,7
Non-classical Monocytes,Non-classical Monocytes,7
Classical Monocytes,CD4 T Cells,6
Non-classical Monocytes,CD8 T Cells,5
Non-classical Monocytes,NK Cells,5
B Cells,CD4 T Cells,5
pDCs,CD4 T Cells,5
Non-classical Monocytes,B Cells,5
CD4 T Cells,CD8 T Cells,4
CD4 T Cells,pDCs,4
pDCs,Non-classical Monocytes,4
Classical Monocytes,pDCs,4
Classical Monocytes,CD8 T Cells,3
B Cells,Classical Monocytes,3
CD4 T Cells,NK Cells,3
B Cells,pDCs,3
pDCs,CD8 T Cells,3
Non-classical Monocytes,Classical Monocytes,3
Classical Monocytes,NK Cells,3
NK Cells,CD8 T Cells,3
CD8 T Cells,Classical Monocytes,3
B Cells,CD8 T Cells,2
CD8 T Cells,CD8 T Cells,2
B Cells,NK Cells,2
pDCs,pDCs,2
Non-classical Monocytes,pDCs,2
pDCs,B Cells,2
NK Cells,CD4 T Cells,2
CD8 T Cells,pDCs,2
CD8 T Cells,NK Cells,2
NK Cells,B Cells,2
CD8 T Cells,CD4 T Cells,2
CD4 T Cells,B Cells,1
CD4 T Cells,CD4 T Cells,1
B Cells,B Cells,1
CD8 T Cells,B Cells,1
Classical Monocytes,Classical Monocytes,1
Classical Monocytes,B Cells,1
NK Cells,pDCs,1
pDCs,Classical Monocytes,1
