sample,cell_type,n_cells,Groups
GSM4029896_JB17001,B Cells,1419,cSLE
GSM4029896_JB17001,CD4 T Cells,574,cSLE
GSM4029896_JB17001,CD8 T Cells,395,cSLE
GSM4029896_JB17001,Classical Monocytes,949,cSLE
GSM4029896_JB17001,IFN-stimulated T Cells,29,cSLE
GSM4029896_JB17001,NK Cells,90,cSLE
GSM4029896_JB17001,Non-classical Monocytes,412,cSLE
GSM4029896_JB17001,Plasma Cells,6,cSLE
GSM4029896_JB17001,cDCs,71,cSLE
GSM4029896_JB17001,pDCs,8,cSLE
GSM4029897_JB17002,B Cells,994,cSLE
GSM4029897_JB17002,CD4 T Cells,874,cSLE
GSM4029897_JB17002,CD8 T Cells,824,cSLE
GSM4029897_JB17002,Classical Monocytes,907,cSLE
GSM4029897_JB17002,IFN-stimulated T Cells,29,cSLE
GSM4029897_JB17002,NK Cells,108,cSLE
GSM4029897_JB17002,Non-classical Monocytes,351,cSLE
GSM4029897_JB17002,Plasma Cells,2,cSLE
GSM4029897_JB17002,cDCs,54,cSLE
GSM4029897_JB17002,pDCs,25,cSLE
GSM4029898_JB17003,B Cells,401,cSLE
GSM4029898_JB17003,CD4 T Cells,646,cSLE
GSM4029898_JB17003,CD8 T Cells,665,cSLE
GSM4029898_JB17003,Classical Monocytes,841,cSLE
GSM4029898_JB17003,IFN-stimulated T Cells,55,cSLE
GSM4029898_JB17003,NK Cells,160,cSLE
GSM4029898_JB17003,Non-classical Monocytes,551,cSLE
GSM4029898_JB17003,Plasma Cells,15,cSLE
GSM4029898_JB17003,cDCs,36,cSLE
GSM4029898_JB17003,pDCs,5,cSLE
GSM4029899_JB17004,B Cells,444,cSLE
GSM4029899_JB17004,CD4 T Cells,1213,cSLE
GSM4029899_JB17004,CD8 T Cells,905,cSLE
GSM4029899_JB17004,Classical Monocytes,1472,cSLE
GSM4029899_JB17004,IFN-stimulated T Cells,28,cSLE
GSM4029899_JB17004,NK Cells,264,cSLE
GSM4029899_JB17004,Non-classical Monocytes,592,cSLE
GSM4029899_JB17004,Plasma Cells,2,cSLE
GSM4029899_JB17004,cDCs,53,cSLE
GSM4029899_JB17004,pDCs,42,cSLE
GSM4029900_JB17005,B Cells,389,cSLE
GSM4029900_JB17005,CD4 T Cells,943,cSLE
GSM4029900_JB17005,CD8 T Cells,624,cSLE
GSM4029900_JB17005,Classical Monocytes,879,cSLE
GSM4029900_JB17005,IFN-stimulated T Cells,1,cSLE
GSM4029900_JB17005,NK Cells,182,cSLE
GSM4029900_JB17005,Non-classical Monocytes,350,cSLE
GSM4029900_JB17005,Plasma Cells,4,cSLE
GSM4029900_JB17005,cDCs,79,cSLE
GSM4029900_JB17005,pDCs,13,cSLE
GSM4029901_JB17006,B Cells,394,cSLE
GSM4029901_JB17006,CD4 T Cells,872,cSLE
GSM4029901_JB17006,CD8 T Cells,966,cSLE
GSM4029901_JB17006,Classical Monocytes,1798,cSLE
GSM4029901_JB17006,IFN-stimulated T Cells,2,cSLE
GSM4029901_JB17006,NK Cells,123,cSLE
GSM4029901_JB17006,Non-classical Monocytes,525,cSLE
GSM4029901_JB17006,cDCs,60,cSLE
GSM4029901_JB17006,pDCs,8,cSLE
GSM4029902_JB17007,B Cells,401,cSLE
GSM4029902_JB17007,CD4 T Cells,987,cSLE
GSM4029902_JB17007,CD8 T Cells,732,cSLE
GSM4029902_JB17007,Classical Monocytes,559,cSLE
GSM4029902_JB17007,IFN-stimulated T Cells,40,cSLE
GSM4029902_JB17007,NK Cells,188,cSLE
GSM4029902_JB17007,Non-classical Monocytes,301,cSLE
GSM4029902_JB17007,Plasma Cells,2,cSLE
GSM4029902_JB17007,cDCs,34,cSLE
GSM4029902_JB17007,pDCs,9,cSLE
GSM4029903_JB17008,B Cells,547,cSLE
GSM4029903_JB17008,CD4 T Cells,1865,cSLE
GSM4029903_JB17008,CD8 T Cells,1843,cSLE
GSM4029903_JB17008,Classical Monocytes,229,cSLE
GSM4029903_JB17008,IFN-stimulated T Cells,44,cSLE
GSM4029903_JB17008,NK Cells,492,cSLE
GSM4029903_JB17008,Non-classical Monocytes,111,cSLE
GSM4029903_JB17008,Plasma Cells,6,cSLE
GSM4029903_JB17008,cDCs,12,cSLE
GSM4029903_JB17008,pDCs,8,cSLE
GSM4029904_JB17015,B Cells,1339,cSLE
GSM4029904_JB17015,CD4 T Cells,3120,cSLE
GSM4029904_JB17015,CD8 T Cells,1972,cSLE
GSM4029904_JB17015,Classical Monocytes,2574,cSLE
GSM4029904_JB17015,IFN-stimulated T Cells,53,cSLE
GSM4029904_JB17015,NK Cells,464,cSLE
GSM4029904_JB17015,Non-classical Monocytes,979,cSLE
GSM4029904_JB17015,Plasma Cells,19,cSLE
GSM4029904_JB17015,cDCs,65,cSLE
GSM4029904_JB17015,pDCs,14,cSLE
GSM4029905_JB17016,B Cells,1626,cSLE
GSM4029905_JB17016,CD4 T Cells,749,cSLE
GSM4029905_JB17016,CD8 T Cells,1270,cSLE
GSM4029905_JB17016,Classical Monocytes,2724,cSLE
GSM4029905_JB17016,IFN-stimulated T Cells,12,cSLE
GSM4029905_JB17016,NK Cells,882,cSLE
GSM4029905_JB17016,Non-classical Monocytes,1291,cSLE
GSM4029905_JB17016,Plasma Cells,120,cSLE
GSM4029905_JB17016,cDCs,48,cSLE
GSM4029905_JB17016,pDCs,20,cSLE
GSM4029906_JB17014,B Cells,727,cSLE
GSM4029906_JB17014,CD4 T Cells,3830,cSLE
GSM4029906_JB17014,CD8 T Cells,3293,cSLE
GSM4029906_JB17014,Classical Monocytes,1961,cSLE
GSM4029906_JB17014,IFN-stimulated T Cells,85,cSLE
GSM4029906_JB17014,NK Cells,743,cSLE
GSM4029906_JB17014,Non-classical Monocytes,679,cSLE
GSM4029906_JB17014,Plasma Cells,12,cSLE
GSM4029906_JB17014,cDCs,117,cSLE
GSM4029906_JB17014,pDCs,25,cSLE
GSM4029907_JB17010,B Cells,1754,cHD
GSM4029907_JB17010,CD4 T Cells,2445,cHD
GSM4029907_JB17010,CD8 T Cells,3375,cHD
GSM4029907_JB17010,Classical Monocytes,1364,cHD
GSM4029907_JB17010,IFN-stimulated T Cells,8,cHD
GSM4029907_JB17010,NK Cells,916,cHD
GSM4029907_JB17010,Non-classical Monocytes,445,cHD
GSM4029907_JB17010,Plasma Cells,24,cHD
GSM4029907_JB17010,cDCs,137,cHD
GSM4029907_JB17010,pDCs,54,cHD
GSM4029908_JB17019,B Cells,108,cSLE
GSM4029908_JB17019,CD4 T Cells,1480,cSLE
GSM4029908_JB17019,CD8 T Cells,897,cSLE
GSM4029908_JB17019,Classical Monocytes,1314,cSLE
GSM4029908_JB17019,IFN-stimulated T Cells,2,cSLE
GSM4029908_JB17019,NK Cells,92,cSLE
GSM4029908_JB17019,Non-classical Monocytes,206,cSLE
GSM4029908_JB17019,Plasma Cells,7,cSLE
GSM4029908_JB17019,cDCs,24,cSLE
GSM4029908_JB17019,pDCs,17,cSLE
GSM4029909_JB17020,B Cells,560,cSLE
GSM4029909_JB17020,CD4 T Cells,1374,cSLE
GSM4029909_JB17020,CD8 T Cells,1299,cSLE
GSM4029909_JB17020,Classical Monocytes,822,cSLE
GSM4029909_JB17020,NK Cells,213,cSLE
GSM4029909_JB17020,Non-classical Monocytes,263,cSLE
GSM4029909_JB17020,Plasma Cells,146,cSLE
GSM4029909_JB17020,cDCs,52,cSLE
GSM4029909_JB17020,pDCs,14,cSLE
GSM4029910_JB17021,B Cells,26,cSLE
GSM4029910_JB17021,CD4 T Cells,693,cSLE
GSM4029910_JB17021,CD8 T Cells,933,cSLE
GSM4029910_JB17021,Classical Monocytes,1362,cSLE
GSM4029910_JB17021,IFN-stimulated T Cells,38,cSLE
GSM4029910_JB17021,NK Cells,494,cSLE
GSM4029910_JB17021,Non-classical Monocytes,398,cSLE
GSM4029910_JB17021,Plasma Cells,8,cSLE
GSM4029910_JB17021,cDCs,67,cSLE
GSM4029910_JB17021,pDCs,19,cSLE
GSM4029911_JB17022,B Cells,489,cSLE
GSM4029911_JB17022,CD4 T Cells,2597,cSLE
GSM4029911_JB17022,CD8 T Cells,1742,cSLE
GSM4029911_JB17022,Classical Monocytes,311,cSLE
GSM4029911_JB17022,IFN-stimulated T Cells,11,cSLE
GSM4029911_JB17022,NK Cells,274,cSLE
GSM4029911_JB17022,Non-classical Monocytes,64,cSLE
GSM4029911_JB17022,Plasma Cells,3,cSLE
GSM4029911_JB17022,cDCs,19,cSLE
GSM4029911_JB17022,pDCs,11,cSLE
GSM4029912_JB17023,B Cells,586,cSLE
GSM4029912_JB17023,CD4 T Cells,2526,cSLE
GSM4029912_JB17023,CD8 T Cells,1177,cSLE
GSM4029912_JB17023,Classical Monocytes,299,cSLE
GSM4029912_JB17023,IFN-stimulated T Cells,70,cSLE
GSM4029912_JB17023,NK Cells,152,cSLE
GSM4029912_JB17023,Non-classical Monocytes,152,cSLE
GSM4029912_JB17023,Plasma Cells,3,cSLE
GSM4029912_JB17023,cDCs,20,cSLE
GSM4029912_JB17023,pDCs,9,cSLE
GSM4029913_JB17024,B Cells,1014,cSLE
GSM4029913_JB17024,CD4 T Cells,1448,cSLE
GSM4029913_JB17024,CD8 T Cells,1510,cSLE
GSM4029913_JB17024,Classical Monocytes,960,cSLE
GSM4029913_JB17024,IFN-stimulated T Cells,36,cSLE
GSM4029913_JB17024,NK Cells,257,cSLE
GSM4029913_JB17024,Non-classical Monocytes,313,cSLE
GSM4029913_JB17024,Plasma Cells,4,cSLE
GSM4029913_JB17024,cDCs,39,cSLE
GSM4029913_JB17024,pDCs,11,cSLE
GSM4029914_JB17017,B Cells,1204,cHD
GSM4029914_JB17017,CD4 T Cells,2740,cHD
GSM4029914_JB17017,CD8 T Cells,1998,cHD
GSM4029914_JB17017,Classical Monocytes,373,cHD
GSM4029914_JB17017,IFN-stimulated T Cells,16,cHD
GSM4029914_JB17017,NK Cells,309,cHD
GSM4029914_JB17017,Non-classical Monocytes,180,cHD
GSM4029914_JB17017,Plasma Cells,44,cHD
GSM4029914_JB17017,cDCs,88,cHD
GSM4029914_JB17017,pDCs,29,cHD
GSM4029915_JB17018,B Cells,743,cHD
GSM4029915_JB17018,CD4 T Cells,2845,cHD
GSM4029915_JB17018,CD8 T Cells,1616,cHD
GSM4029915_JB17018,Classical Monocytes,692,cHD
GSM4029915_JB17018,IFN-stimulated T Cells,6,cHD
GSM4029915_JB17018,NK Cells,938,cHD
GSM4029915_JB17018,Non-classical Monocytes,158,cHD
GSM4029915_JB17018,Plasma Cells,8,cHD
GSM4029915_JB17018,cDCs,85,cHD
GSM4029915_JB17018,pDCs,43,cHD
GSM4029916_JB18063,B Cells,758,cSLE
GSM4029916_JB18063,CD4 T Cells,490,cSLE
GSM4029916_JB18063,CD8 T Cells,312,cSLE
GSM4029916_JB18063,Classical Monocytes,644,cSLE
GSM4029916_JB18063,IFN-stimulated T Cells,23,cSLE
GSM4029916_JB18063,NK Cells,163,cSLE
GSM4029916_JB18063,Non-classical Monocytes,220,cSLE
GSM4029916_JB18063,Plasma Cells,178,cSLE
GSM4029916_JB18063,cDCs,31,cSLE
GSM4029916_JB18063,pDCs,6,cSLE
GSM4029917_JB18064,B Cells,322,cSLE
GSM4029917_JB18064,CD4 T Cells,2135,cSLE
GSM4029917_JB18064,CD8 T Cells,1424,cSLE
GSM4029917_JB18064,Classical Monocytes,719,cSLE
GSM4029917_JB18064,IFN-stimulated T Cells,92,cSLE
GSM4029917_JB18064,NK Cells,291,cSLE
GSM4029917_JB18064,Non-classical Monocytes,434,cSLE
GSM4029917_JB18064,Plasma Cells,133,cSLE
GSM4029917_JB18064,cDCs,45,cSLE
GSM4029917_JB18064,pDCs,15,cSLE
GSM4029918_JB18065,B Cells,249,cSLE
GSM4029918_JB18065,CD4 T Cells,2033,cSLE
GSM4029918_JB18065,CD8 T Cells,938,cSLE
GSM4029918_JB18065,Classical Monocytes,453,cSLE
GSM4029918_JB18065,IFN-stimulated T Cells,1,cSLE
GSM4029918_JB18065,NK Cells,300,cSLE
GSM4029918_JB18065,Non-classical Monocytes,148,cSLE
GSM4029918_JB18065,Plasma Cells,20,cSLE
GSM4029918_JB18065,cDCs,49,cSLE
GSM4029918_JB18065,pDCs,6,cSLE
GSM4029919_JB18066,B Cells,398,cSLE
GSM4029919_JB18066,CD4 T Cells,585,cSLE
GSM4029919_JB18066,CD8 T Cells,599,cSLE
GSM4029919_JB18066,Classical Monocytes,443,cSLE
GSM4029919_JB18066,IFN-stimulated T Cells,33,cSLE
GSM4029919_JB18066,NK Cells,148,cSLE
GSM4029919_JB18066,Non-classical Monocytes,132,cSLE
GSM4029919_JB18066,Plasma Cells,14,cSLE
GSM4029919_JB18066,cDCs,9,cSLE
GSM4029919_JB18066,pDCs,1,cSLE
GSM4029920_JB18067,B Cells,325,cSLE
GSM4029920_JB18067,CD4 T Cells,1679,cSLE
GSM4029920_JB18067,CD8 T Cells,579,cSLE
GSM4029920_JB18067,Classical Monocytes,709,cSLE
GSM4029920_JB18067,IFN-stimulated T Cells,26,cSLE
GSM4029920_JB18067,NK Cells,162,cSLE
GSM4029920_JB18067,Non-classical Monocytes,152,cSLE
GSM4029920_JB18067,Plasma Cells,2,cSLE
GSM4029920_JB18067,cDCs,37,cSLE
GSM4029920_JB18067,pDCs,16,cSLE
GSM4029921_JB18068,B Cells,408,cSLE
GSM4029921_JB18068,CD4 T Cells,745,cSLE
GSM4029921_JB18068,CD8 T Cells,844,cSLE
GSM4029921_JB18068,Classical Monocytes,514,cSLE
GSM4029921_JB18068,IFN-stimulated T Cells,29,cSLE
GSM4029921_JB18068,NK Cells,184,cSLE
GSM4029921_JB18068,Non-classical Monocytes,229,cSLE
GSM4029921_JB18068,Plasma Cells,84,cSLE
GSM4029921_JB18068,cDCs,21,cSLE
GSM4029921_JB18068,pDCs,8,cSLE
GSM4029922_JB18069,B Cells,453,cHD
GSM4029922_JB18069,CD4 T Cells,2055,cHD
GSM4029922_JB18069,CD8 T Cells,953,cHD
GSM4029922_JB18069,Classical Monocytes,526,cHD
GSM4029922_JB18069,IFN-stimulated T Cells,16,cHD
GSM4029922_JB18069,NK Cells,662,cHD
GSM4029922_JB18069,Non-classical Monocytes,228,cHD
GSM4029922_JB18069,Plasma Cells,6,cHD
GSM4029922_JB18069,cDCs,41,cHD
GSM4029922_JB18069,pDCs,10,cHD
GSM4029923_JB18070,B Cells,477,cHD
GSM4029923_JB18070,CD4 T Cells,1042,cHD
GSM4029923_JB18070,CD8 T Cells,1332,cHD
GSM4029923_JB18070,Classical Monocytes,594,cHD
GSM4029923_JB18070,IFN-stimulated T Cells,7,cHD
GSM4029923_JB18070,NK Cells,673,cHD
GSM4029923_JB18070,Non-classical Monocytes,243,cHD
GSM4029923_JB18070,Plasma Cells,12,cHD
GSM4029923_JB18070,cDCs,49,cHD
GSM4029923_JB18070,pDCs,24,cHD
GSM4029924_JB18071,B Cells,1055,cSLE
GSM4029924_JB18071,CD4 T Cells,1206,cSLE
GSM4029924_JB18071,CD8 T Cells,1274,cSLE
GSM4029924_JB18071,Classical Monocytes,476,cSLE
GSM4029924_JB18071,IFN-stimulated T Cells,44,cSLE
GSM4029924_JB18071,NK Cells,475,cSLE
GSM4029924_JB18071,Non-classical Monocytes,240,cSLE
GSM4029924_JB18071,Plasma Cells,42,cSLE
GSM4029924_JB18071,cDCs,14,cSLE
GSM4029924_JB18071,pDCs,5,cSLE
GSM4029925_JB18072,B Cells,614,cSLE
GSM4029925_JB18072,CD4 T Cells,940,cSLE
GSM4029925_JB18072,CD8 T Cells,697,cSLE
GSM4029925_JB18072,Classical Monocytes,1293,cSLE
GSM4029925_JB18072,IFN-stimulated T Cells,24,cSLE
GSM4029925_JB18072,NK Cells,158,cSLE
GSM4029925_JB18072,Non-classical Monocytes,393,cSLE
GSM4029925_JB18072,Plasma Cells,19,cSLE
GSM4029925_JB18072,cDCs,72,cSLE
GSM4029925_JB18072,pDCs,12,cSLE
GSM4029926_JB18073,B Cells,842,cSLE
GSM4029926_JB18073,CD4 T Cells,1518,cSLE
GSM4029926_JB18073,CD8 T Cells,1097,cSLE
GSM4029926_JB18073,Classical Monocytes,784,cSLE
GSM4029926_JB18073,IFN-stimulated T Cells,65,cSLE
GSM4029926_JB18073,NK Cells,241,cSLE
GSM4029926_JB18073,Non-classical Monocytes,435,cSLE
GSM4029926_JB18073,Plasma Cells,46,cSLE
GSM4029926_JB18073,cDCs,30,cSLE
GSM4029926_JB18073,pDCs,13,cSLE
GSM4029927_JB18074,B Cells,697,cSLE
GSM4029927_JB18074,CD4 T Cells,1643,cSLE
GSM4029927_JB18074,CD8 T Cells,977,cSLE
GSM4029927_JB18074,Classical Monocytes,1086,cSLE
GSM4029927_JB18074,IFN-stimulated T Cells,53,cSLE
GSM4029927_JB18074,NK Cells,289,cSLE
GSM4029927_JB18074,Non-classical Monocytes,298,cSLE
GSM4029927_JB18074,Plasma Cells,171,cSLE
GSM4029927_JB18074,cDCs,41,cSLE
GSM4029927_JB18074,pDCs,18,cSLE
GSM4029928_JB18075,B Cells,159,cSLE
GSM4029928_JB18075,CD4 T Cells,558,cSLE
GSM4029928_JB18075,CD8 T Cells,739,cSLE
GSM4029928_JB18075,Classical Monocytes,1579,cSLE
GSM4029928_JB18075,IFN-stimulated T Cells,14,cSLE
GSM4029928_JB18075,NK Cells,230,cSLE
GSM4029928_JB18075,Non-classical Monocytes,548,cSLE
GSM4029928_JB18075,Plasma Cells,5,cSLE
GSM4029928_JB18075,cDCs,59,cSLE
GSM4029928_JB18075,pDCs,13,cSLE
GSM4029929_JB18076,B Cells,150,cSLE
GSM4029929_JB18076,CD4 T Cells,1250,cSLE
GSM4029929_JB18076,CD8 T Cells,2448,cSLE
GSM4029929_JB18076,Classical Monocytes,389,cSLE
GSM4029929_JB18076,IFN-stimulated T Cells,14,cSLE
GSM4029929_JB18076,NK Cells,298,cSLE
GSM4029929_JB18076,Non-classical Monocytes,114,cSLE
GSM4029929_JB18076,Plasma Cells,15,cSLE
GSM4029929_JB18076,cDCs,32,cSLE
GSM4029929_JB18076,pDCs,20,cSLE
GSM4029930_JB18077,B Cells,943,cHD
GSM4029930_JB18077,CD4 T Cells,3020,cHD
GSM4029930_JB18077,CD8 T Cells,1804,cHD
GSM4029930_JB18077,Classical Monocytes,249,cHD
GSM4029930_JB18077,IFN-stimulated T Cells,6,cHD
GSM4029930_JB18077,NK Cells,238,cHD
GSM4029930_JB18077,Non-classical Monocytes,118,cHD
GSM4029930_JB18077,Plasma Cells,26,cHD
GSM4029930_JB18077,cDCs,41,cHD
GSM4029930_JB18077,pDCs,15,cHD
GSM4029931_JB18078,B Cells,806,cHD
GSM4029931_JB18078,CD4 T Cells,2137,cHD
GSM4029931_JB18078,CD8 T Cells,1845,cHD
GSM4029931_JB18078,Classical Monocytes,298,cHD
GSM4029931_JB18078,IFN-stimulated T Cells,15,cHD
GSM4029931_JB18078,NK Cells,427,cHD
GSM4029931_JB18078,Non-classical Monocytes,213,cHD
GSM4029931_JB18078,Plasma Cells,17,cHD
GSM4029931_JB18078,cDCs,69,cHD
GSM4029931_JB18078,pDCs,35,cHD
GSM4029932_JB18079,B Cells,607,cSLE
GSM4029932_JB18079,CD4 T Cells,2703,cSLE
GSM4029932_JB18079,CD8 T Cells,1328,cSLE
GSM4029932_JB18079,Classical Monocytes,536,cSLE
GSM4029932_JB18079,IFN-stimulated T Cells,1,cSLE
GSM4029932_JB18079,NK Cells,526,cSLE
GSM4029932_JB18079,Non-classical Monocytes,306,cSLE
GSM4029932_JB18079,Plasma Cells,24,cSLE
GSM4029932_JB18079,cDCs,60,cSLE
GSM4029932_JB18079,pDCs,14,cSLE
GSM4029933_JB18080,B Cells,246,cSLE
GSM4029933_JB18080,CD4 T Cells,1645,cSLE
GSM4029933_JB18080,CD8 T Cells,883,cSLE
GSM4029933_JB18080,Classical Monocytes,454,cSLE
GSM4029933_JB18080,IFN-stimulated T Cells,75,cSLE
GSM4029933_JB18080,NK Cells,248,cSLE
GSM4029933_JB18080,Non-classical Monocytes,120,cSLE
GSM4029933_JB18080,Plasma Cells,9,cSLE
GSM4029933_JB18080,cDCs,19,cSLE
GSM4029933_JB18080,pDCs,10,cSLE
GSM4029934_JB18081,B Cells,834,cSLE
GSM4029934_JB18081,CD4 T Cells,1195,cSLE
GSM4029934_JB18081,CD8 T Cells,1936,cSLE
GSM4029934_JB18081,Classical Monocytes,640,cSLE
GSM4029934_JB18081,IFN-stimulated T Cells,3,cSLE
GSM4029934_JB18081,NK Cells,462,cSLE
GSM4029934_JB18081,Non-classical Monocytes,414,cSLE
GSM4029934_JB18081,Plasma Cells,7,cSLE
GSM4029934_JB18081,cDCs,30,cSLE
GSM4029934_JB18081,pDCs,36,cSLE
GSM4029935_JB18082,B Cells,1006,cSLE
GSM4029935_JB18082,CD4 T Cells,1796,cSLE
GSM4029935_JB18082,CD8 T Cells,2416,cSLE
GSM4029935_JB18082,Classical Monocytes,528,cSLE
GSM4029935_JB18082,IFN-stimulated T Cells,31,cSLE
GSM4029935_JB18082,NK Cells,350,cSLE
GSM4029935_JB18082,Non-classical Monocytes,201,cSLE
GSM4029935_JB18082,Plasma Cells,13,cSLE
GSM4029935_JB18082,cDCs,50,cSLE
GSM4029935_JB18082,pDCs,30,cSLE
GSM4029936_JB18085,B Cells,1034,cHD
GSM4029936_JB18085,CD4 T Cells,2308,cHD
GSM4029936_JB18085,CD8 T Cells,1203,cHD
GSM4029936_JB18085,Classical Monocytes,260,cHD
GSM4029936_JB18085,IFN-stimulated T Cells,9,cHD
GSM4029936_JB18085,NK Cells,279,cHD
GSM4029936_JB18085,Non-classical Monocytes,118,cHD
GSM4029936_JB18085,Plasma Cells,21,cHD
GSM4029936_JB18085,cDCs,17,cHD
GSM4029936_JB18085,pDCs,8,cHD
GSM4029937_JB18086,B Cells,743,cHD
GSM4029937_JB18086,CD4 T Cells,2166,cHD
GSM4029937_JB18086,CD8 T Cells,1088,cHD
GSM4029937_JB18086,Classical Monocytes,673,cHD
GSM4029937_JB18086,IFN-stimulated T Cells,6,cHD
GSM4029937_JB18086,NK Cells,523,cHD
GSM4029937_JB18086,Non-classical Monocytes,208,cHD
GSM4029937_JB18086,Plasma Cells,20,cHD
GSM4029937_JB18086,cDCs,56,cHD
GSM4029937_JB18086,pDCs,24,cHD
GSM4029938_JB18083,B Cells,735,cHD
GSM4029938_JB18083,CD4 T Cells,1971,cHD
GSM4029938_JB18083,CD8 T Cells,1652,cHD
GSM4029938_JB18083,Classical Monocytes,341,cHD
GSM4029938_JB18083,IFN-stimulated T Cells,13,cHD
GSM4029938_JB18083,NK Cells,1168,cHD
GSM4029938_JB18083,Non-classical Monocytes,144,cHD
GSM4029938_JB18083,Plasma Cells,34,cHD
GSM4029938_JB18083,cDCs,66,cHD
GSM4029938_JB18083,pDCs,59,cHD
GSM4029939_JB18084,B Cells,863,cHD
GSM4029939_JB18084,CD4 T Cells,2074,cHD
GSM4029939_JB18084,CD8 T Cells,1181,cHD
GSM4029939_JB18084,Classical Monocytes,751,cHD
GSM4029939_JB18084,IFN-stimulated T Cells,17,cHD
GSM4029939_JB18084,NK Cells,690,cHD
GSM4029939_JB18084,Non-classical Monocytes,224,cHD
GSM4029939_JB18084,Plasma Cells,20,cHD
GSM4029939_JB18084,cDCs,69,cHD
GSM4029939_JB18084,pDCs,21,cHD
GSM4029940_JB19001,B Cells,346,aHD
GSM4029940_JB19001,CD4 T Cells,2658,aHD
GSM4029940_JB19001,CD8 T Cells,836,aHD
GSM4029940_JB19001,Classical Monocytes,493,aHD
GSM4029940_JB19001,NK Cells,1376,aHD
GSM4029940_JB19001,Non-classical Monocytes,327,aHD
GSM4029940_JB19001,Plasma Cells,22,aHD
GSM4029940_JB19001,pDCs,37,aHD
GSM4029942_JB19003,B Cells,405,aHD
GSM4029942_JB19003,CD4 T Cells,1551,aHD
GSM4029942_JB19003,CD8 T Cells,778,aHD
GSM4029942_JB19003,Classical Monocytes,1897,aHD
GSM4029942_JB19003,NK Cells,1240,aHD
GSM4029942_JB19003,Non-classical Monocytes,541,aHD
GSM4029942_JB19003,Plasma Cells,2,aHD
GSM4029942_JB19003,pDCs,47,aHD
GSM4029943_JB19004,B Cells,64,aSLE
GSM4029943_JB19004,CD4 T Cells,525,aSLE
GSM4029943_JB19004,CD8 T Cells,731,aSLE
GSM4029943_JB19004,Classical Monocytes,527,aSLE
GSM4029943_JB19004,NK Cells,1662,aSLE
GSM4029943_JB19004,Non-classical Monocytes,353,aSLE
GSM4029943_JB19004,Plasma Cells,18,aSLE
GSM4029943_JB19004,pDCs,18,aSLE
GSM4029944_JB19006,B Cells,55,aSLE
GSM4029944_JB19006,CD4 T Cells,642,aSLE
GSM4029944_JB19006,CD8 T Cells,333,aSLE
GSM4029944_JB19006,Classical Monocytes,1293,aSLE
GSM4029944_JB19006,NK Cells,727,aSLE
GSM4029944_JB19006,Non-classical Monocytes,879,aSLE
GSM4029944_JB19006,Plasma Cells,31,aSLE
GSM4029944_JB19006,pDCs,19,aSLE
GSM4029945_JB19007,B Cells,273,aSLE
GSM4029945_JB19007,CD4 T Cells,2905,aSLE
GSM4029945_JB19007,CD8 T Cells,921,aSLE
GSM4029945_JB19007,Classical Monocytes,1187,aSLE
GSM4029945_JB19007,NK Cells,330,aSLE
GSM4029945_JB19007,Non-classical Monocytes,667,aSLE
GSM4029945_JB19007,Plasma Cells,47,aSLE
GSM4029945_JB19007,pDCs,26,aSLE
GSM4029946_JB19008,B Cells,95,aSLE
GSM4029946_JB19008,CD4 T Cells,1621,aSLE
GSM4029946_JB19008,CD8 T Cells,698,aSLE
GSM4029946_JB19008,Classical Monocytes,1268,aSLE
GSM4029946_JB19008,NK Cells,1225,aSLE
GSM4029946_JB19008,Non-classical Monocytes,441,aSLE
GSM4029946_JB19008,Plasma Cells,36,aSLE
GSM4029946_JB19008,pDCs,58,aSLE
GSM4029947_JB19009,B Cells,603,aHD
GSM4029947_JB19009,CD4 T Cells,2387,aHD
GSM4029947_JB19009,CD8 T Cells,777,aHD
GSM4029947_JB19009,Classical Monocytes,508,aHD
GSM4029947_JB19009,NK Cells,1225,aHD
GSM4029947_JB19009,Non-classical Monocytes,187,aHD
GSM4029947_JB19009,Plasma Cells,17,aHD
GSM4029947_JB19009,pDCs,22,aHD
GSM4029948_JB19010,B Cells,499,aHD
GSM4029948_JB19010,CD4 T Cells,2155,aHD
GSM4029948_JB19010,CD8 T Cells,944,aHD
GSM4029948_JB19010,Classical Monocytes,1688,aHD
GSM4029948_JB19010,NK Cells,1038,aHD
GSM4029948_JB19010,Non-classical Monocytes,474,aHD
GSM4029948_JB19010,Plasma Cells,11,aHD
GSM4029948_JB19010,pDCs,128,aHD
GSM4029949_JB19011,B Cells,491,aHD
GSM4029949_JB19011,CD4 T Cells,5176,aHD
GSM4029949_JB19011,CD8 T Cells,1245,aHD
GSM4029949_JB19011,Classical Monocytes,408,aHD
GSM4029949_JB19011,NK Cells,1470,aHD
GSM4029949_JB19011,Non-classical Monocytes,187,aHD
