cluster,assigned_cell_type,marker,n_cells,mean_expression,fraction_expressing
0,Ribosomal/Low-quality,CD3D,19692,1.7060584777070573,0.8390717042453788
0,Ribosomal/Low-quality,CD3E,19692,1.7060712678704155,0.8441499085923218
0,Ribosomal/Low-quality,IL7R,19692,1.2457106311147397,0.6666666666666666
0,Ribosomal/Low-quality,CCR7,19692,0.9840212040786067,0.5736339630306724
0,Ribosomal/Low-quality,TCF7,19692,0.7861235477945898,0.4877107454803981
0,Ribosomal/Low-quality,CD4,19692,0.1560833578020873,0.10598212472069876
0,Ribosomal/Low-quality,CD8A,19692,0.3012977821929121,0.19231159861872843
0,Ribosomal/Low-quality,CD8B,19692,0.550046822270702,0.28498882795043673
0,Ribosomal/Low-quality,MS4A1,19692,0.012691667357547821,0.008836075563680683
0,Ribosomal/Low-quality,CD79A,19692,0.06600986064848512,0.04793824903514118
0,Ribosomal/Low-quality,CD37,19692,1.250510925179256,0.6983546617915904
0,Ribosomal/Low-quality,NKG7,19692,0.1764795325004834,0.12314645541336583
0,Ribosomal/Low-quality,GNLY,19692,0.1982273626940148,0.1369591712370506
0,Ribosomal/Low-quality,KLRD1,19692,0.017773781605132974,0.013203331302051594
0,Ribosomal/Low-quality,LYZ,19692,0.440946073959374,0.28696932764574445
0,Ribosomal/Low-quality,LST1,19692,0.1682598178533914,0.11954093032703636
0,Ribosomal/Low-quality,FCGR3A,19692,0.028840619251177414,0.0213792403006297
0,Ribosomal/Low-quality,S100A8,19692,0.36920405577141024,0.24416006500101564
0,Ribosomal/Low-quality,S100A9,19692,0.39596680485933455,0.2606134470851107
0,Ribosomal/Low-quality,FCER1A,19692,0.004836114764019844,0.003656307129798903
0,Ribosomal/Low-quality,CD1C,19692,0.003538216114431626,0.0025898842169408895
0,Ribosomal/Low-quality,GZMB,19692,0.0388987563760838,0.02894576477757465
0,Ribosomal/Low-quality,TCF4,19692,0.004839052411566995,0.0033516148689823277
0,Ribosomal/Low-quality,PLD4,19692,0.004285565160310247,0.0031992687385740404
0,Ribosomal/Low-quality,IGJ,19692,0.09354338848975866,0.0667783871622994
0,Ribosomal/Low-quality,MZB1,19692,0.015414899456871493,0.011425959780621572
0,Ribosomal/Low-quality,IGLL5,19692,0.14898697644768752,0.10268129189518586
0,Ribosomal/Low-quality,ISG15,19692,0.419276248587236,0.26767215112736137
0,Ribosomal/Low-quality,IFIT1,19692,0.02604036206894475,0.01858622790981109
0,Ribosomal/Low-quality,HBA1,19692,0.12502524825147854,0.08241925655088361
0,Ribosomal/Low-quality,HBA2,19692,0.276843944095679,0.1542250660166565
0,Ribosomal/Low-quality,HBB,19692,0.40788059235648266,0.21211659557180582
0,Ribosomal/Low-quality,ALAS2,19692,0.0060717729674154685,0.004570383912248629
0,Ribosomal/Low-quality,PPBP,19692,0.03944401212056284,0.027523867560430633
0,Ribosomal/Low-quality,PF4,19692,0.02288131317168795,0.015691651432053626
0,Ribosomal/Low-quality,TUBB1,19692,0.009128629026218277,0.006754011781434085
0,Ribosomal/Low-quality,LTB,19692,2.4319648509366516,0.937995124923827
0,Ribosomal/Low-quality,JUNB,19692,3.055391045331519,0.9360146252285192
1,Classical Monocytes,CD3D,11492,0.13730196609673,0.09119387399930386
1,Classical Monocytes,CD3E,11492,0.1037864405136676,0.07309432648799165
1,Classical Monocytes,IL7R,11492,0.06732999203286436,0.046119039331709015
1,Classical Monocytes,CCR7,11492,0.025877783123599583,0.01809954751131222
1,Classical Monocytes,TCF7,11492,0.0525294415344148,0.03680821441002437
1,Classical Monocytes,CD4,11492,0.43626175507036935,0.2835015663069962
1,Classical Monocytes,CD8A,11492,0.025534123457187648,0.01870866689871215
1,Classical Monocytes,CD8B,11492,0.03230490730255272,0.02297250261051166
1,Classical Monocytes,MS4A1,11492,0.01245791398914608,0.008440654368256178
1,Classical Monocytes,CD79A,11492,0.020356645245523847,0.014009745910198398
1,Classical Monocytes,CD37,11492,1.3469152643607545,0.6981378350156631
1,Classical Monocytes,NKG7,11492,0.3107002820188145,0.19909502262443438
1,Classical Monocytes,GNLY,11492,0.2902312214537195,0.17942916811695092
1,Classical Monocytes,KLRD1,11492,0.02036042332524752,0.014444831186912635
1,Classical Monocytes,LYZ,11492,5.0879047803873805,0.9999129829446571
1,Classical Monocytes,LST1,11492,2.491330911712368,0.9513574660633484
1,Classical Monocytes,FCGR3A,11492,0.12531882904669653,0.0840584754611904
1,Classical Monocytes,S100A8,11492,4.794233052978688,0.997128437173686
1,Classical Monocytes,S100A9,11492,4.966467106877575,0.9985207100591716
1,Classical Monocytes,FCER1A,11492,0.01689717449504575,0.011747302471284372
1,Classical Monocytes,CD1C,11492,0.02911571499635814,0.022189349112426034
1,Classical Monocytes,GZMB,11492,0.06730878340152345,0.045422902888966235
1,Classical Monocytes,TCF4,11492,0.06116767722971963,0.04394361294813783
1,Classical Monocytes,PLD4,11492,0.024755684369082574,0.01836059867734076
1,Classical Monocytes,IGJ,11492,0.11249116718706834,0.07309432648799165
1,Classical Monocytes,MZB1,11492,0.017342484540902817,0.011834319526627219
1,Classical Monocytes,IGLL5,11492,0.18013449486771652,0.11294813783501566
1,Classical Monocytes,ISG15,11492,0.9574445557799689,0.42229376957883746
1,Classical Monocytes,IFIT1,11492,0.10910943154669621,0.07379046293073442
1,Classical Monocytes,HBA1,11492,0.3713626894559173,0.20414201183431951
1,Classical Monocytes,HBA2,11492,0.7050662555275086,0.3082144100243648
1,Classical Monocytes,HBB,11492,0.8957579152543828,0.36303515489035854
1,Classical Monocytes,ALAS2,11492,0.014429655554939387,0.010268012530455969
1,Classical Monocytes,PPBP,11492,0.10312269863001859,0.06239122868082144
1,Classical Monocytes,PF4,11492,0.05273375788549907,0.0342847198050818
1,Classical Monocytes,TUBB1,11492,0.02656894731907491,0.01801253045596937
1,Classical Monocytes,LTB,11492,0.30350688288135474,0.19552732335537765
1,Classical Monocytes,JUNB,11492,2.5243488758999506,0.9337800208840933
2,CD4 T Cells,CD3D,10455,1.770564683648971,0.8831181252989001
2,CD4 T Cells,CD3E,10455,1.7213801250396192,0.8742228598756576
2,CD4 T Cells,IL7R,10455,1.6015360875799005,0.7910090865614539
2,CD4 T Cells,CCR7,10455,0.4107355247525608,0.27709230033476806
2,CD4 T Cells,TCF7,10455,0.6094997840484098,0.41979913916786227
2,CD4 T Cells,CD4,10455,0.2220896766893833,0.1694882831181253
2,CD4 T Cells,CD8A,10455,0.1436988563528476,0.09392635102821617
2,CD4 T Cells,CD8B,10455,0.2009826811633573,0.11707317073170732
2,CD4 T Cells,MS4A1,10455,0.016622433891597403,0.011860353897656623
2,CD4 T Cells,CD79A,10455,0.03563421937280269,0.026398852223816355
2,CD4 T Cells,CD37,10455,1.3182386117566436,0.757819225251076
2,CD4 T Cells,NKG7,10455,0.26238164142921516,0.17972262075561932
2,CD4 T Cells,GNLY,10455,0.262302136754716,0.17532281205164993
2,CD4 T Cells,KLRD1,10455,0.03567444043316834,0.02659014825442372
2,CD4 T Cells,LYZ,10455,0.4812055822139377,0.3284552845528455
2,CD4 T Cells,LST1,10455,0.26037073350591217,0.1945480631276901
2,CD4 T Cells,FCGR3A,10455,0.03419733284649696,0.027450980392156862
2,CD4 T Cells,S100A8,10455,0.4273282058098737,0.29564801530368245
2,CD4 T Cells,S100A9,10455,0.4434251716665991,0.305117168818747
2,CD4 T Cells,FCER1A,10455,0.003674041292759746,0.0031563845050215206
2,CD4 T Cells,CD1C,10455,0.0026100545280690057,0.0021999043519846965
2,CD4 T Cells,GZMB,10455,0.04167128849519833,0.032615973218555715
2,CD4 T Cells,TCF4,10455,0.0031332807356179017,0.0023912003825920613
2,CD4 T Cells,PLD4,10455,0.0034596020442227435,0.002773792443806791
2,CD4 T Cells,IGJ,10455,0.0899836839984217,0.06963175514108082
2,CD4 T Cells,MZB1,10455,0.01711991132303381,0.013773314203730272
2,CD4 T Cells,IGLL5,10455,0.13581321536496974,0.10138689622190339
2,CD4 T Cells,ISG15,10455,0.5237470668049762,0.335246293639407
2,CD4 T Cells,IFIT1,10455,0.03143185894777762,0.024677187948350072
2,CD4 T Cells,HBA1,10455,0.1886740676955365,0.12615973218555715
2,CD4 T Cells,HBA2,10455,0.4234144758146269,0.21807747489239598
2,CD4 T Cells,HBB,10455,0.5860607703156245,0.2839789574366332
2,CD4 T Cells,ALAS2,10455,0.012534932004726999,0.01013868962219034
2,CD4 T Cells,PPBP,10455,0.04629307022965849,0.03529411764705882
2,CD4 T Cells,PF4,10455,0.01996252599200354,0.015016738402678144
2,CD4 T Cells,TUBB1,10455,0.012571701691060588,0.009947393591582974
2,CD4 T Cells,LTB,10455,2.8449418815968994,0.9710186513629843
2,CD4 T Cells,JUNB,10455,3.7017741506547805,0.9943567670970828
3,NK Cells,CD3D,7850,2.062818305993536,0.8384713375796178
3,NK Cells,CD3E,7850,1.87016267551738,0.8426751592356688
3,NK Cells,IL7R,7850,0.33376584719320773,0.19477707006369427
3,NK Cells,CCR7,7850,0.04080029864220103,0.027898089171974522
3,NK Cells,TCF7,7850,0.23883346166200697,0.15605095541401273
3,NK Cells,CD4,7850,0.04569436475729487,0.03146496815286624
3,NK Cells,CD8A,7850,1.0940195917855402,0.5412738853503185
3,NK Cells,CD8B,7850,0.9227951041756163,0.4592356687898089
3,NK Cells,MS4A1,7850,0.013103454758407204,0.008662420382165605
3,NK Cells,CD79A,7850,0.020872984403257917,0.014012738853503185
3,NK Cells,CD37,7850,1.2852335318638262,0.6821656050955414
3,NK Cells,NKG7,7850,3.8653275091481056,0.9964331210191083
3,NK Cells,GNLY,7850,2.5129430213589576,0.7078980891719745
3,NK Cells,KLRD1,7850,1.1724215196424228,0.6025477707006369
3,NK Cells,LYZ,7850,0.48263134867522367,0.28853503184713375
3,NK Cells,LST1,7850,0.17003671395171222,0.11528662420382166
3,NK Cells,FCGR3A,7850,0.8158354682375671,0.4278980891719745
3,NK Cells,S100A8,7850,0.43409760767487204,0.26
3,NK Cells,S100A9,7850,0.49474481797142394,0.2954140127388535
3,NK Cells,FCER1A,7850,0.003180848990276361,0.002038216560509554
3,NK Cells,CD1C,7850,0.0058578598954875,0.004076433121019108
3,NK Cells,GZMB,7850,1.7122771136699968,0.736687898089172
3,NK Cells,TCF4,7850,0.00640342097373525,0.004331210191082803
3,NK Cells,PLD4,7850,0.004957257235885425,0.0031847133757961785
3,NK Cells,IGJ,7850,0.10979202230265186,0.07503184713375796
3,NK Cells,MZB1,7850,0.02116968710711048,0.014394904458598727
3,NK Cells,IGLL5,7850,0.12541837302362843,0.0797452229299363
3,NK Cells,ISG15,7850,0.8389311029728811,0.43248407643312103
3,NK Cells,IFIT1,7850,0.05037298718075844,0.03656050955414013
3,NK Cells,HBA1,7850,0.4398066318794421,0.23579617834394903
3,NK Cells,HBA2,7850,0.7091692972107299,0.3185987261146497
3,NK Cells,HBB,7850,0.9274599775083505,0.3686624203821656
3,NK Cells,ALAS2,7850,0.014427351184711334,0.009936305732484076
3,NK Cells,PPBP,7850,0.05219925224401389,0.03503184713375796
3,NK Cells,PF4,7850,0.030036300006945422,0.020127388535031848
3,NK Cells,TUBB1,7850,0.015035900617860684,0.010573248407643312
3,NK Cells,LTB,7850,0.5409951084092923,0.29859872611464966
3,NK Cells,JUNB,7850,2.8430067644073707,0.9471337579617835
4,Ribosomal/Low-quality,CD3D,6657,1.820780644684345,0.8838816283611236
4,Ribosomal/Low-quality,CD3E,6657,1.723219642459012,0.860898302538681
4,Ribosomal/Low-quality,IL7R,6657,1.4732672539634069,0.7459816734264684
4,Ribosomal/Low-quality,CCR7,6657,0.5619602247063097,0.3696860447649091
4,Ribosomal/Low-quality,TCF7,6657,0.6662436224272861,0.43998798257473337
4,Ribosomal/Low-quality,CD4,6657,0.2722600882379647,0.19843773471533724
4,Ribosomal/Low-quality,CD8A,6657,0.040097568125378825,0.029743127534925643
4,Ribosomal/Low-quality,CD8B,6657,0.0589756642946596,0.038455760853237195
4,Ribosomal/Low-quality,MS4A1,6657,0.01487464826529997,0.011116118371638877
4,Ribosomal/Low-quality,CD79A,6657,0.025704123056273356,0.01832657353162085
4,Ribosomal/Low-quality,CD37,6657,1.3684875524060154,0.765209553853087
4,Ribosomal/Low-quality,NKG7,6657,0.17141200360976774,0.124530569325522
4,Ribosomal/Low-quality,GNLY,6657,0.19877173902574058,0.1416554003304792
4,Ribosomal/Low-quality,KLRD1,6657,0.016024903177015232,0.012468078714135496
4,Ribosomal/Low-quality,LYZ,6657,0.46294563466119787,0.3100495718792249
4,Ribosomal/Low-quality,LST1,6657,0.19809059926083591,0.1473636773321316
4,Ribosomal/Low-quality,FCGR3A,6657,0.03226216665452462,0.025537028691602823
4,Ribosomal/Low-quality,S100A8,6657,0.39975680363183624,0.27174402884182064
4,Ribosomal/Low-quality,S100A9,6657,0.4316817295252247,0.28946973111010965
4,Ribosomal/Low-quality,FCER1A,6657,0.00516447022420715,0.00405588102748986
4,Ribosomal/Low-quality,CD1C,6657,0.002809309119556479,0.002253267237494367
4,Ribosomal/Low-quality,GZMB,6657,0.04146702546193755,0.03124530569325522
4,Ribosomal/Low-quality,TCF4,6657,0.0033976907609765085,0.0028541385008261978
4,Ribosomal/Low-quality,PLD4,6657,0.006154313448475738,0.004806970106654649
4,Ribosomal/Low-quality,IGJ,6657,0.09105123316040085,0.06894997746732763
4,Ribosomal/Low-quality,MZB1,6657,0.013910183054881177,0.010815682739972961
4,Ribosomal/Low-quality,IGLL5,6657,0.1393155331849443,0.1010965900555806
4,Ribosomal/Low-quality,ISG15,6657,0.4556293539838317,0.2968304040859246
4,Ribosomal/Low-quality,IFIT1,6657,0.025772189116252335,0.020279405137449302
4,Ribosomal/Low-quality,HBA1,6657,0.1861190572325059,0.12377948024635722
4,Ribosomal/Low-quality,HBA2,6657,0.3992472325912087,0.20564818987531922
4,Ribosomal/Low-quality,HBB,6657,0.5429257597671859,0.2592759501276851
4,Ribosomal/Low-quality,ALAS2,6657,0.011367334955283359,0.009313504581643383
4,Ribosomal/Low-quality,PPBP,6657,0.043057793707429994,0.030794652245756348
4,Ribosomal/Low-quality,PF4,6657,0.02146399834142785,0.015923088478293525
4,Ribosomal/Low-quality,TUBB1,6657,0.010945556712469325,0.008261979870812678
4,Ribosomal/Low-quality,LTB,6657,2.825744947299095,0.9744629713083972
4,Ribosomal/Low-quality,JUNB,6657,3.0145433527742473,0.9559861799609434
5,Non-classical Monocytes,CD3D,4847,0.14770601508124037,0.13864245925314628
5,Non-classical Monocytes,CD3E,4847,0.10722002858645355,0.10480709717350939
5,Non-classical Monocytes,IL7R,4847,0.07593610443748197,0.07447905921188364
5,Non-classical Monocytes,CCR7,4847,0.03135247763122557,0.031772230245512685
5,Non-classical Monocytes,TCF7,4847,0.07541852969348074,0.07530431194553332
5,Non-classical Monocytes,CD4,4847,0.4713752914549814,0.4031359603878688
5,Non-classical Monocytes,CD8A,4847,0.02862799156565555,0.030534351145038167
5,Non-classical Monocytes,CD8B,4847,0.047033684024226426,0.045182587167319994
5,Non-classical Monocytes,MS4A1,4847,0.009240092334979485,0.009284093253558903
5,Non-classical Monocytes,CD79A,4847,0.029654896988533245,0.028677532494326387
5,Non-classical Monocytes,CD37,4847,1.7059041925169696,0.8974623478440272
5,Non-classical Monocytes,NKG7,4847,0.3956613745951569,0.325149577057974
5,Non-classical Monocytes,GNLY,4847,0.25014701615984425,0.21559727666597894
5,Non-classical Monocytes,KLRD1,4847,0.027520179662454586,0.027852279760676706
5,Non-classical Monocytes,LYZ,4847,3.643977496509383,0.9884464617289045
5,Non-classical Monocytes,LST1,4847,3.1998726976503162,0.991128533113266
5,Non-classical Monocytes,FCGR3A,4847,1.6866876382495242,0.6408087476789767
5,Non-classical Monocytes,S100A8,4847,2.199420948593745,0.843820920156798
5,Non-classical Monocytes,S100A9,4847,2.66256786789111,0.9325355890241387
5,Non-classical Monocytes,FCER1A,4847,0.2512723908722954,0.11264699814318135
5,Non-classical Monocytes,CD1C,4847,0.1650114267763217,0.11883639364555396
5,Non-classical Monocytes,GZMB,4847,0.07363295900051879,0.06849597689292346
5,Non-classical Monocytes,TCF4,4847,0.07897497804872715,0.07901794924695688
5,Non-classical Monocytes,PLD4,4847,0.22335385875355615,0.20115535382710956
5,Non-classical Monocytes,IGJ,4847,0.12634770576182114,0.11863008046214153
5,Non-classical Monocytes,MZB1,4847,0.02067701909894768,0.020837631524654426
5,Non-classical Monocytes,IGLL5,4847,0.19872637599405368,0.17371570043325768
5,Non-classical Monocytes,ISG15,4847,1.434226557750763,0.6655663296884671
5,Non-classical Monocytes,IFIT1,4847,0.2690163458502856,0.20280585929440892
5,Non-classical Monocytes,HBA1,4847,0.4902212512488215,0.32246750567361254
5,Non-classical Monocytes,HBA2,4847,0.8894273281798354,0.4332576851660821
5,Non-classical Monocytes,HBB,4847,1.1231795379936953,0.5009284093253559
5,Non-classical Monocytes,ALAS2,4847,0.025614445974882397,0.024344955642665568
5,Non-classical Monocytes,PPBP,4847,0.2689824564655663,0.12688260779863833
5,Non-classical Monocytes,PF4,4847,0.18453399980587148,0.09263461935217661
5,Non-classical Monocytes,TUBB1,4847,0.12446222025290062,0.07159067464410976
5,Non-classical Monocytes,LTB,4847,0.6482914734100691,0.48999381060449765
5,Non-classical Monocytes,JUNB,4847,3.0834147014002076,0.9886527749123168
6,NK Cells,CD3D,4516,0.2429993508517267,0.13596102745792737
6,NK Cells,CD3E,4516,0.6555027966482434,0.3421169176262179
6,NK Cells,IL7R,4516,0.17681951317985675,0.10938883968113375
6,NK Cells,CCR7,4516,0.07379197502843672,0.048715677590788306
6,NK Cells,TCF7,4516,0.2775010948322641,0.17227635075287864
6,NK Cells,CD4,4516,0.022329224143226765,0.015057573073516387
6,NK Cells,CD8A,4516,0.31181853124005693,0.17404782993799822
6,NK Cells,CD8B,4516,0.07866155362108093,0.050487156775907885
6,NK Cells,MS4A1,4516,0.01287471456164486,0.007971656333038087
6,NK Cells,CD79A,4516,0.027398788514551173,0.017493356953055803
