cluster,assigned_cell_type,excluded,n_cells,median_n_genes_by_counts,median_total_counts,median_pct_counts_mt,median_doublet_score,fraction_CD3D_and_CD3E
0,Ribosomal/Low-quality,True,19692,936.0,3201.0,2.057596486944313,0.05911792305286205,0.7203432866138534
1,Classical Monocytes,False,11492,1093.0,2952.5,4.526498627532254,0.028812572759022125,0.012443438914027148
2,CD4 T Cells,False,10455,1092.0,3718.0,2.3950553695596186,0.06560636182902585,0.7826877092300335
3,NK Cells,False,7850,1011.0,2777.5,2.8023598820058995,0.03675651592782357,0.7389808917197452
4,Ribosomal/Low-quality,True,6657,1053.0,3590.0,2.098391233387736,0.08049189491335941,0.7707676130389064
5,Non-classical Monocytes,False,4847,1710.0,5676.0,3.330007483162883,0.03331962155491568,0.024344955642665568
6,NK Cells,False,4516,1014.0,2396.5,3.0977118899458125,0.0213430504945341,0.07617360496014172
7,CD8 T Cells,False,4249,1022.0,3054.0,2.8950542822677927,0.04893660953954162,0.8152506472111085
8,B Cells,False,3126,896.0,2928.5,3.244115460376158,0.012872628726287262,0.03230966090850928
9,RBCs,True,1093,254.0,5975.0,0.07272727272727272,0.017319394601341864,0.07593778591033852
10,pDCs,False,457,1706.0,5555.0,2.247191011235955,0.07767784137367129,0.05908096280087528
11,Platelets,True,297,837.0,2282.0,2.235469448584203,0.07984092994799631,0.26936026936026936
12,Plasma Cells,False,222,2441.0,11203.0,3.439340734906866,0.09702209414024973,0.14414414414414414
13,CD8 T Cells,False,138,2340.5,7739.5,2.9144983624310674,0.08016641243067786,0.9855072463768116
14,Classical Monocytes,False,54,1219.5,5105.0,2.7237605842880486,0.07117488396156112,0.0
