sample,cluster,assigned_cell_type,excluded,n_cells
GSM4029940_JB19001,0,Ribosomal/Low-quality,True,1942
GSM4029940_JB19001,1,Classical Monocytes,False,492
GSM4029940_JB19001,10,pDCs,False,37
GSM4029940_JB19001,11,Platelets,True,27
GSM4029940_JB19001,12,Plasma Cells,False,22
GSM4029940_JB19001,13,CD8 T Cells,False,13
GSM4029940_JB19001,14,Classical Monocytes,False,1
GSM4029940_JB19001,2,CD4 T Cells,False,1065
GSM4029940_JB19001,3,NK Cells,False,1029
GSM4029940_JB19001,4,Ribosomal/Low-quality,True,721
GSM4029940_JB19001,5,Non-classical Monocytes,False,327
GSM4029940_JB19001,6,NK Cells,False,347
GSM4029940_JB19001,7,CD8 T Cells,False,599
GSM4029940_JB19001,8,B Cells,False,346
GSM4029940_JB19001,9,RBCs,True,7
GSM4029942_JB19003,0,Ribosomal/Low-quality,True,971
GSM4029942_JB19003,1,Classical Monocytes,False,1897
GSM4029942_JB19003,10,pDCs,False,47
GSM4029942_JB19003,11,Platelets,True,21
GSM4029942_JB19003,12,Plasma Cells,False,2
GSM4029942_JB19003,13,CD8 T Cells,False,4
GSM4029942_JB19003,2,CD4 T Cells,False,890
GSM4029942_JB19003,3,NK Cells,False,770
GSM4029942_JB19003,4,Ribosomal/Low-quality,True,456
GSM4029942_JB19003,5,Non-classical Monocytes,False,541
GSM4029942_JB19003,6,NK Cells,False,470
GSM4029942_JB19003,7,CD8 T Cells,False,490
GSM4029942_JB19003,8,B Cells,False,405
GSM4029942_JB19003,9,RBCs,True,2
GSM4029943_JB19004,0,Ribosomal/Low-quality,True,574
GSM4029943_JB19004,1,Classical Monocytes,False,521
GSM4029943_JB19004,10,pDCs,False,18
GSM4029943_JB19004,11,Platelets,True,28
GSM4029943_JB19004,12,Plasma Cells,False,18
GSM4029943_JB19004,13,CD8 T Cells,False,28
GSM4029943_JB19004,14,Classical Monocytes,False,6
GSM4029943_JB19004,2,CD4 T Cells,False,259
GSM4029943_JB19004,3,NK Cells,False,1207
GSM4029943_JB19004,4,Ribosomal/Low-quality,True,129
GSM4029943_JB19004,5,Non-classical Monocytes,False,353
GSM4029943_JB19004,6,NK Cells,False,455
GSM4029943_JB19004,7,CD8 T Cells,False,437
GSM4029943_JB19004,8,B Cells,False,64
GSM4029943_JB19004,9,RBCs,True,93
GSM4029944_JB19006,0,Ribosomal/Low-quality,True,333
GSM4029944_JB19006,1,Classical Monocytes,False,1273
GSM4029944_JB19006,10,pDCs,False,19
GSM4029944_JB19006,11,Platelets,True,15
GSM4029944_JB19006,12,Plasma Cells,False,31
GSM4029944_JB19006,13,CD8 T Cells,False,12
GSM4029944_JB19006,14,Classical Monocytes,False,20
GSM4029944_JB19006,2,CD4 T Cells,False,397
GSM4029944_JB19006,3,NK Cells,False,643
GSM4029944_JB19006,4,Ribosomal/Low-quality,True,197
GSM4029944_JB19006,5,Non-classical Monocytes,False,879
GSM4029944_JB19006,6,NK Cells,False,84
GSM4029944_JB19006,7,CD8 T Cells,False,241
GSM4029944_JB19006,8,B Cells,False,55
GSM4029944_JB19006,9,RBCs,True,225
GSM4029945_JB19007,0,Ribosomal/Low-quality,True,2450
GSM4029945_JB19007,1,Classical Monocytes,False,1186
GSM4029945_JB19007,10,pDCs,False,26
GSM4029945_JB19007,11,Platelets,True,11
GSM4029945_JB19007,12,Plasma Cells,False,47
GSM4029945_JB19007,13,CD8 T Cells,False,21
GSM4029945_JB19007,14,Classical Monocytes,False,1
GSM4029945_JB19007,2,CD4 T Cells,False,1179
GSM4029945_JB19007,3,NK Cells,False,217
GSM4029945_JB19007,4,Ribosomal/Low-quality,True,830
GSM4029945_JB19007,5,Non-classical Monocytes,False,667
GSM4029945_JB19007,6,NK Cells,False,113
GSM4029945_JB19007,7,CD8 T Cells,False,265
GSM4029945_JB19007,8,B Cells,False,273
GSM4029945_JB19007,9,RBCs,True,21
GSM4029946_JB19008,0,Ribosomal/Low-quality,True,1364
GSM4029946_JB19008,1,Classical Monocytes,False,1267
GSM4029946_JB19008,10,pDCs,False,58
GSM4029946_JB19008,11,Platelets,True,71
GSM4029946_JB19008,12,Plasma Cells,False,36
GSM4029946_JB19008,13,CD8 T Cells,False,8
GSM4029946_JB19008,14,Classical Monocytes,False,1
GSM4029946_JB19008,2,CD4 T Cells,False,720
GSM4029946_JB19008,3,NK Cells,False,621
GSM4029946_JB19008,4,Ribosomal/Low-quality,True,476
GSM4029946_JB19008,5,Non-classical Monocytes,False,441
GSM4029946_JB19008,6,NK Cells,False,604
GSM4029946_JB19008,7,CD8 T Cells,False,277
GSM4029946_JB19008,8,B Cells,False,95
GSM4029946_JB19008,9,RBCs,True,9
GSM4029947_JB19009,0,Ribosomal/Low-quality,True,1415
GSM4029947_JB19009,1,Classical Monocytes,False,508
GSM4029947_JB19009,10,pDCs,False,22
GSM4029947_JB19009,11,Platelets,True,14
GSM4029947_JB19009,12,Plasma Cells,False,17
GSM4029947_JB19009,13,CD8 T Cells,False,16
GSM4029947_JB19009,2,CD4 T Cells,False,1259
GSM4029947_JB19009,3,NK Cells,False,751
GSM4029947_JB19009,4,Ribosomal/Low-quality,True,724
GSM4029947_JB19009,5,Non-classical Monocytes,False,187
GSM4029947_JB19009,6,NK Cells,False,474
GSM4029947_JB19009,7,CD8 T Cells,False,484
GSM4029947_JB19009,8,B Cells,False,603
GSM4029947_JB19009,9,RBCs,True,3
GSM4029948_JB19010,0,Ribosomal/Low-quality,True,1799
GSM4029948_JB19010,1,Classical Monocytes,False,1684
GSM4029948_JB19010,10,pDCs,False,128
GSM4029948_JB19010,11,Platelets,True,25
GSM4029948_JB19010,12,Plasma Cells,False,11
GSM4029948_JB19010,13,CD8 T Cells,False,6
GSM4029948_JB19010,14,Classical Monocytes,False,4
GSM4029948_JB19010,2,CD4 T Cells,False,1106
GSM4029948_JB19010,3,NK Cells,False,341
GSM4029948_JB19010,4,Ribosomal/Low-quality,True,718
GSM4029948_JB19010,5,Non-classical Monocytes,False,474
GSM4029948_JB19010,6,NK Cells,False,697
GSM4029948_JB19010,7,CD8 T Cells,False,352
GSM4029948_JB19010,8,B Cells,False,499
GSM4029948_JB19010,9,RBCs,True,32
GSM4029949_JB19011,0,Ribosomal/Low-quality,True,6037
GSM4029949_JB19011,1,Classical Monocytes,False,407
GSM4029949_JB19011,10,pDCs,False,58
GSM4029949_JB19011,11,Platelets,True,41
GSM4029949_JB19011,12,Plasma Cells,False,30
GSM4029949_JB19011,13,CD8 T Cells,False,7
GSM4029949_JB19011,14,Classical Monocytes,False,1
GSM4029949_JB19011,2,CD4 T Cells,False,1566
GSM4029949_JB19011,3,NK Cells,False,745
GSM4029949_JB19011,4,Ribosomal/Low-quality,True,1426
GSM4029949_JB19011,5,Non-classical Monocytes,False,187
GSM4029949_JB19011,6,NK Cells,False,725
