cell_type,marker,absolute_mean_difference,absolute_fraction_difference
B Cells,CD79A,3.403528214818152e-08,1.1102230246251565e-16
B Cells,MS4A1,1.1478565431488619e-08,0.0
B Cells,CD37,1.1232596364152414e-07,1.1102230246251565e-16
CD4 T Cells,CD3D,8.317855515471706e-09,0.0
CD4 T Cells,IL7R,1.7125147033780763e-07,0.0
CD4 T Cells,LTB,2.7119970713584962e-08,1.1102230246251565e-16
CD8 T Cells,CD3D,1.1169587077475285e-07,1.1102230246251565e-16
CD8 T Cells,CD8A,1.048889575194778e-08,5.551115123125783e-17
CD8 T Cells,CD8B,3.7723340784445725e-08,5.551115123125783e-17
Classical Monocytes,LYZ,2.4000858722672547e-07,0.0
Classical Monocytes,S100A8,3.797589194221018e-07,0.0
Classical Monocytes,S100A9,2.1169302488743824e-07,1.1102230246251565e-16
NK Cells,NKG7,8.35506157592647e-08,0.0
NK Cells,GNLY,1.3727239878136288e-07,0.0
NK Cells,KLRD1,2.5105191037155805e-08,0.0
Non-classical Monocytes,LYZ,1.4554994320903347e-07,1.1102230246251565e-16
Non-classical Monocytes,FCGR3A,6.965147680837447e-08,0.0
Non-classical Monocytes,LST1,3.4512159796662445e-08,0.0
Plasma Cells,IGJ,1.422993767263847e-07,0.0
Plasma Cells,MZB1,3.0500394787580376e-07,0.0
Plasma Cells,IGLL5,9.316581905949306e-08,0.0
pDCs,GZMB,1.4320765862052554e-07,0.0
pDCs,TCF4,1.8455267536410247e-08,0.0
pDCs,PLD4,5.49093115420618e-08,0.0
