sample_file,n_cells_before_doublet_filter,n_predicted_doublets,predicted_doublet_fraction,n_cells_after_doublet_filter
GSM4029940_JB19001.h5ad,7202,227,0.031519022493751735,6975
GSM4029942_JB19003.h5ad,7193,227,0.03155845961351314,6966
GSM4029943_JB19004.h5ad,4322,132,0.03054141601110597,4190
GSM4029944_JB19006.h5ad,4521,97,0.021455430214554302,4424
GSM4029945_JB19007.h5ad,7468,161,0.021558650241028387,7307
GSM4029946_JB19008.h5ad,6212,164,0.026400515132002575,6048
GSM4029947_JB19009.h5ad,6654,177,0.02660054102795311,6477
GSM4029948_JB19010.h5ad,8144,268,0.032907662082514735,7876
GSM4029949_JB19011.h5ad,12272,4,0.0003259452411994785,12268
GSM4029950_JB19013.h5ad,4589,83,0.018086729134887774,4506
GSM4029951_JB19014.h5ad,3731,40,0.010720986330742428,3691
GSM4029952_JB19015.h5ad,4564,147,0.032208588957055216,4417
