cluster,assigned_cell_type,marker_panel,n_markers_detected,mean_rank_score,mean_log2fc,markers_with_positive_score
5,Non-classical Monocytes,ISG,8,27.958006124999997,2.0583904750000004,8
1,Classical Monocytes,ISG,8,14.490473875,1.0086885425,8
3,NK Cells,ISG,8,5.3078603125,0.32033067125000003,7
12,Plasma Cells,ISG,8,4.219675206,0.43762082,5
13,CD8 T Cells,ISG,8,3.9330766825000003,0.857420325,8
14,Classical Monocytes,ISG,8,2.58428065125,1.5668723725000002,8
10,pDCs,ISG,8,-0.0836774874999997,-0.7485437625,3
7,CD8 T Cells,ISG,8,-1.01425441,-0.29704572687499997,2
6,NK Cells,ISG,8,-1.797632525,-0.3155665855,1
11,Platelets,ISG,8,-2.3056300375,-1.44538105375,0
9,RBCs,ISG,8,-5.625791525,-1.9508712425,0
2,CD4 T Cells,ISG,8,-5.6416886375,-0.6247802825000001,0
4,Ribosomal/Low-quality,ISG,8,-7.0757056625,-0.939499505,0
8,B Cells,ISG,8,-7.8743394250000005,-1.47041419125,0
0,Ribosomal/Low-quality,ISG,8,-16.2631844375,-1.2684539,0
5,Non-classical Monocytes,cDC,4,38.383172,4.622669,4
1,Classical Monocytes,cDC,4,38.080195315,1.4213240024999998,3
10,pDCs,cDC,4,10.5363205725,1.8174223074999998,3
14,Classical Monocytes,cDC,4,2.16270080625,-5.0045901125,3
11,Platelets,cDC,4,2.1172771624999998,-5.957798185,2
12,Plasma Cells,cDC,4,0.09978225850000001,-1.961451225,1
13,CD8 T Cells,cDC,4,-0.497981745,-7.7022776,0
9,RBCs,cDC,4,-3.62382179,-3.12933995,0
8,B Cells,cDC,4,-5.06398475,-1.563449125,1
6,NK Cells,cDC,4,-6.3081913,-2.9193076500000004,0
7,CD8 T Cells,cDC,4,-7.46034295,-2.9781146,0
3,NK Cells,cDC,4,-9.09369555,-2.761408625,0
4,Ribosomal/Low-quality,cDC,4,-10.496535374999999,-3.04542115,0
2,CD4 T Cells,cDC,4,-13.09017825,-3.1673563999999996,0
0,Ribosomal/Low-quality,cDC,4,-20.845667275,-3.4769871500000002,0
