sample,n_cells,median_genes_per_cell,median_umis_per_cell,median_pct_mitochondrial,retained_predicted_doublets
GSM4029940_JB19001,6975,1011.0,3244.0,2.172328327744569,0
GSM4029942_JB19003,6966,1039.5,3336.5,3.2103459606628175,0
GSM4029943_JB19004,4190,1372.5,3894.5,1.9516645762852258,0
GSM4029944_JB19006,4424,1374.0,4007.0,1.824000046694401,0
GSM4029945_JB19007,7307,1128.0,3827.0,3.005544207761891,0
GSM4029946_JB19008,6048,1074.0,3321.5,3.2200649880704812,0
GSM4029947_JB19009,6477,957.0,2997.0,3.40393343419062,0
GSM4029948_JB19010,7876,967.0,3039.5,3.321136197686286,0
GSM4029949_JB19011,12268,844.0,2591.0,2.014565251975324,0
GSM4029950_JB19013,4506,1095.0,3333.5,2.1155052300418737,0
GSM4029951_JB19014,3691,1252.0,4107.0,2.5439407955596667,0
GSM4029952_JB19015,4417,987.0,3683.0,3.430079155672823,0
