sample,min_genes,max_pct_mitochondrial,n_cells_total,n_cells_retained,fraction_retained
GSM4029940_JB19001,100,10.0,7221,7161,0.9916909015371832
GSM4029940_JB19001,100,15.0,7221,7202,0.9973687854867747
GSM4029940_JB19001,100,20.0,7221,7210,0.9984766652818169
GSM4029940_JB19001,100,25.0,7221,7214,0.9990306051793381
GSM4029940_JB19001,200,10.0,7221,7149,0.9900290818446199
GSM4029940_JB19001,200,15.0,7221,7190,0.9957069657942114
GSM4029940_JB19001,200,20.0,7221,7198,0.9968148455892536
GSM4029940_JB19001,200,25.0,7221,7202,0.9973687854867747
GSM4029940_JB19001,300,10.0,7221,7149,0.9900290818446199
GSM4029940_JB19001,300,15.0,7221,7190,0.9957069657942114
GSM4029940_JB19001,300,20.0,7221,7198,0.9968148455892536
GSM4029940_JB19001,300,25.0,7221,7202,0.9973687854867747
GSM4029940_JB19001,500,10.0,7221,7073,0.9795042237917186
GSM4029940_JB19001,500,15.0,7221,7113,0.9850436227669298
GSM4029940_JB19001,500,20.0,7221,7119,0.9858745326132115
GSM4029940_JB19001,500,25.0,7221,7123,0.9864284725107326
GSM4029942_JB19003,100,10.0,7206,7125,0.988759367194005
GSM4029942_JB19003,100,15.0,7206,7194,0.9983347210657785
GSM4029942_JB19003,100,20.0,7206,7201,0.9993061337774077
GSM4029942_JB19003,100,25.0,7206,7203,0.9995836802664446
GSM4029942_JB19003,200,10.0,7206,7115,0.9873716347488204
GSM4029942_JB19003,200,15.0,7206,7184,0.9969469886205939
GSM4029942_JB19003,200,20.0,7206,7191,0.9979184013322231
GSM4029942_JB19003,200,25.0,7206,7193,0.9981959478212601
GSM4029942_JB19003,300,10.0,7206,7114,0.987232861504302
GSM4029942_JB19003,300,15.0,7206,7183,0.9968082153760754
GSM4029942_JB19003,300,20.0,7206,7190,0.9977796280877047
GSM4029942_JB19003,300,25.0,7206,7192,0.9980571745767416
GSM4029942_JB19003,500,10.0,7206,7085,0.9832084374132667
GSM4029942_JB19003,500,15.0,7206,7153,0.9926450180405217
GSM4029942_JB19003,500,20.0,7206,7160,0.993616430752151
GSM4029942_JB19003,500,25.0,7206,7162,0.9938939772411879
GSM4029943_JB19004,100,10.0,4454,4412,0.9905702739110912
GSM4029943_JB19004,100,15.0,4454,4431,0.9948361023798833
GSM4029943_JB19004,100,20.0,4454,4434,0.9955096542433768
GSM4029943_JB19004,100,25.0,4454,4435,0.9957341715312079
GSM4029943_JB19004,200,10.0,4454,4299,0.9651998203861697
GSM4029943_JB19004,200,15.0,4454,4318,0.9694656488549618
GSM4029943_JB19004,200,20.0,4454,4321,0.9701392007184553
GSM4029943_JB19004,200,25.0,4454,4322,0.9703637180062865
GSM4029943_JB19004,300,10.0,4454,4250,0.9541984732824428
GSM4029943_JB19004,300,15.0,4454,4269,0.9584643017512349
GSM4029943_JB19004,300,20.0,4454,4272,0.9591378536147284
GSM4029943_JB19004,300,25.0,4454,4273,0.9593623709025595
GSM4029943_JB19004,500,10.0,4454,4226,0.9488100583744948
GSM4029943_JB19004,500,15.0,4454,4245,0.9530758868432869
GSM4029943_JB19004,500,20.0,4454,4248,0.9537494387067804
GSM4029943_JB19004,500,25.0,4454,4249,0.9539739559946115
GSM4029944_JB19006,100,10.0,4825,4743,0.9830051813471503
GSM4029944_JB19006,100,15.0,4825,4749,0.9842487046632125
GSM4029944_JB19006,100,20.0,4825,4751,0.9846632124352331
GSM4029944_JB19006,100,25.0,4825,4751,0.9846632124352331
GSM4029944_JB19006,200,10.0,4825,4513,0.9353367875647668
GSM4029944_JB19006,200,15.0,4825,4519,0.936580310880829
GSM4029944_JB19006,200,20.0,4825,4521,0.9369948186528497
GSM4029944_JB19006,200,25.0,4825,4521,0.9369948186528497
GSM4029944_JB19006,300,10.0,4825,4397,0.9112953367875648
GSM4029944_JB19006,300,15.0,4825,4403,0.912538860103627
GSM4029944_JB19006,300,20.0,4825,4405,0.9129533678756476
GSM4029944_JB19006,300,25.0,4825,4405,0.9129533678756476
GSM4029944_JB19006,500,10.0,4825,4305,0.8922279792746114
GSM4029944_JB19006,500,15.0,4825,4311,0.8934715025906735
GSM4029944_JB19006,500,20.0,4825,4313,0.8938860103626943
GSM4029944_JB19006,500,25.0,4825,4313,0.8938860103626943
GSM4029945_JB19007,100,10.0,7486,7431,0.9926529521773978
GSM4029945_JB19007,100,15.0,7486,7458,0.996259684744857
GSM4029945_JB19007,100,20.0,7486,7468,0.9975955116216938
GSM4029945_JB19007,100,25.0,7486,7474,0.9983970077477959
GSM4029945_JB19007,200,10.0,7486,7425,0.9918514560512958
GSM4029945_JB19007,200,15.0,7486,7452,0.995458188618755
GSM4029945_JB19007,200,20.0,7486,7462,0.9967940154955918
GSM4029945_JB19007,200,25.0,7486,7468,0.9975955116216938
GSM4029945_JB19007,300,10.0,7486,7420,0.9911835426128773
GSM4029945_JB19007,300,15.0,7486,7447,0.9947902751803366
GSM4029945_JB19007,300,20.0,7486,7457,0.9961261020571733
GSM4029945_JB19007,300,25.0,7486,7463,0.9969275981832755
GSM4029945_JB19007,500,10.0,7486,7383,0.9862409831685813
GSM4029945_JB19007,500,15.0,7486,7409,0.989714133048357
GSM4029945_JB19007,500,20.0,7486,7418,0.99091637723751
GSM4029945_JB19007,500,25.0,7486,7423,0.9915842906759283
GSM4029946_JB19008,100,10.0,6220,6139,0.9869774919614148
GSM4029946_JB19008,100,15.0,6220,6204,0.997427652733119
GSM4029946_JB19008,100,20.0,6220,6214,0.9990353697749196
GSM4029946_JB19008,100,25.0,6220,6217,0.9995176848874598
GSM4029946_JB19008,200,10.0,6220,6134,0.9861736334405145
GSM4029946_JB19008,200,15.0,6220,6199,0.9966237942122187
GSM4029946_JB19008,200,20.0,6220,6209,0.9982315112540193
GSM4029946_JB19008,200,25.0,6220,6212,0.9987138263665595
GSM4029946_JB19008,300,10.0,6220,6132,0.9858520900321543
GSM4029946_JB19008,300,15.0,6220,6197,0.9963022508038585
GSM4029946_JB19008,300,20.0,6220,6207,0.9979099678456592
GSM4029946_JB19008,300,25.0,6220,6210,0.9983922829581994
GSM4029946_JB19008,500,10.0,6220,6062,0.9745980707395498
GSM4029946_JB19008,500,15.0,6220,6127,0.985048231511254
GSM4029946_JB19008,500,20.0,6220,6136,0.9864951768488746
GSM4029946_JB19008,500,25.0,6220,6139,0.9869774919614148
GSM4029947_JB19009,100,10.0,6666,6518,0.9777977797779778
GSM4029947_JB19009,100,15.0,6666,6618,0.9927992799279928
GSM4029947_JB19009,100,20.0,6666,6643,0.9965496549654965
GSM4029947_JB19009,100,25.0,6666,6654,0.9981998199819982
GSM4029947_JB19009,200,10.0,6666,6518,0.9777977797779778
GSM4029947_JB19009,200,15.0,6666,6618,0.9927992799279928
GSM4029947_JB19009,200,20.0,6666,6643,0.9965496549654965
GSM4029947_JB19009,200,25.0,6666,6654,0.9981998199819982
GSM4029947_JB19009,300,10.0,6666,6518,0.9777977797779778
GSM4029947_JB19009,300,15.0,6666,6618,0.9927992799279928
GSM4029947_JB19009,300,20.0,6666,6643,0.9965496549654965
GSM4029947_JB19009,300,25.0,6666,6654,0.9981998199819982
GSM4029947_JB19009,500,10.0,6666,6421,0.9632463246324633
GSM4029947_JB19009,500,15.0,6666,6510,0.9765976597659766
GSM4029947_JB19009,500,20.0,6666,6532,0.9798979897989799
GSM4029947_JB19009,500,25.0,6666,6539,0.980948094809481
GSM4029948_JB19010,100,10.0,8228,8102,0.9846864365580943
GSM4029948_JB19010,100,15.0,8228,8180,0.9941662615459407
GSM4029948_JB19010,100,20.0,8228,8200,0.9965969859017987
GSM4029948_JB19010,100,25.0,8228,8203,0.9969615945551774
GSM4029948_JB19010,200,10.0,8228,8043,0.977515799708313
GSM4029948_JB19010,200,15.0,8228,8121,0.9869956246961594
GSM4029948_JB19010,200,20.0,8228,8141,0.9894263490520175
GSM4029948_JB19010,200,25.0,8228,8144,0.9897909577053962
GSM4029948_JB19010,300,10.0,8228,8024,0.9752066115702479
GSM4029948_JB19010,300,15.0,8228,8102,0.9846864365580943
GSM4029948_JB19010,300,20.0,8228,8122,0.9871171609139524
GSM4029948_JB19010,300,25.0,8228,8125,0.987481769567331
GSM4029948_JB19010,500,10.0,8228,7945,0.9656052503646086
GSM4029948_JB19010,500,15.0,8228,8011,0.9736266407389402
GSM4029948_JB19010,500,20.0,8228,8025,0.9753281477880409
GSM4029948_JB19010,500,25.0,8228,8026,0.9754496840058338
GSM4029949_JB19011,100,10.0,12297,12231,0.9946328372773847
GSM4029949_JB19011,100,15.0,12297,12264,0.9973164186386924
GSM4029949_JB19011,100,20.0,12297,12276,0.9982922664064406
GSM4029949_JB19011,100,25.0,12297,12281,0.9986988696430024
GSM4029949_JB19011,200,10.0,12297,12222,0.9939009514515735
GSM4029949_JB19011,200,15.0,12297,12255,0.9965845328128812
GSM4029949_JB19011,200,20.0,12297,12267,0.9975603805806295
GSM4029949_JB19011,200,25.0,12297,12272,0.9979669838171912
GSM4029949_JB19011,300,10.0,12297,12220,0.9937383101569488
GSM4029949_JB19011,300,15.0,12297,12253,0.9964218915182564
GSM4029949_JB19011,300,20.0,12297,12265,0.9973977392860047
GSM4029949_JB19011,300,25.0,12297,12270,0.9978043425225664
GSM4029949_JB19011,500,10.0,12297,11997,0.9756038058062942
GSM4029949_JB19011,500,15.0,12297,12016,0.9771488981052289
GSM4029949_JB19011,500,20.0,12297,12022,0.9776368219891031
GSM4029949_JB19011,500,25.0,12297,12024,0.9777994632837277
GSM4029950_JB19013,100,10.0,4592,4579,0.9971689895470384
GSM4029950_JB19013,100,15.0,4592,4585,0.9984756097560976
GSM4029950_JB19013,100,20.0,4592,4588,0.9991289198606271
GSM4029950_JB19013,100,25.0,4592,4589,0.9993466898954704
GSM4029950_JB19013,200,10.0,4592,4579,0.9971689895470384
GSM4029950_JB19013,200,15.0,4592,4585,0.9984756097560976
GSM4029950_JB19013,200,20.0,4592,4588,0.9991289198606271
GSM4029950_JB19013,200,25.0,4592,4589,0.9993466898954704
GSM4029950_JB19013,300,10.0,4592,4579,0.9971689895470384
GSM4029950_JB19013,300,15.0,4592,4585,0.9984756097560976
GSM4029950_JB19013,300,20.0,4592,4588,0.9991289198606271
GSM4029950_JB19013,300,25.0,4592,4589,0.9993466898954704
GSM4029950_JB19013,500,10.0,4592,4556,0.9921602787456446
GSM4029950_JB19013,500,15.0,4592,4562,0.9934668989547039
GSM4029950_JB19013,500,20.0,4592,4564,0.9939024390243902
GSM4029950_JB19013,500,25.0,4592,4565,0.9941202090592335
GSM4029951_JB19014,100,10.0,3782,3725,0.9849286092014807
GSM4029951_JB19014,100,15.0,3782,3743,0.9896879957694341
GSM4029951_JB19014,100,20.0,3782,3746,0.9904812268640931
GSM4029951_JB19014,100,25.0,3782,3747,0.9907456372289793
GSM4029951_JB19014,200,10.0,3782,3709,0.9806980433632998
GSM4029951_JB19014,200,15.0,3782,3727,0.9854574299312533
GSM4029951_JB19014,200,20.0,3782,3730,0.9862506610259122
GSM4029951_JB19014,200,25.0,3782,3731,0.9865150713907985
GSM4029951_JB19014,300,10.0,3782,3708,0.9804336329984136
GSM4029951_JB19014,300,15.0,3782,3726,0.985193019566367
GSM4029951_JB19014,300,20.0,3782,3729,0.985986250661026
GSM4029951_JB19014,300,25.0,3782,3730,0.9862506610259122
GSM4029951_JB19014,500,10.0,3782,3685,0.9743521946060285
GSM4029951_JB19014,500,15.0,3782,3698,0.9777895293495505
GSM4029951_JB19014,500,20.0,3782,3701,0.9785827604442094
GSM4029951_JB19014,500,25.0,3782,3702,0.9788471708090957
GSM4029952_JB19015,100,10.0,6249,5563,0.8902224355896944
GSM4029952_JB19015,100,15.0,6249,5595,0.8953432549207874
GSM4029952_JB19015,100,20.0,6249,5600,0.8961433829412706
GSM4029952_JB19015,100,25.0,6249,5603,0.8966234597535606
GSM4029952_JB19015,200,10.0,6249,4524,0.7239558329332694
GSM4029952_JB19015,200,15.0,6249,4556,0.7290766522643622
GSM4029952_JB19015,200,20.0,6249,4561,0.7298767802848456
GSM4029952_JB19015,200,25.0,6249,4564,0.7303568570971355
GSM4029952_JB19015,300,10.0,6249,3947,0.6316210593694991
GSM4029952_JB19015,300,15.0,6249,3978,0.6365818530964954
GSM4029952_JB19015,300,20.0,6249,3983,0.6373819811169787
GSM4029952_JB19015,300,25.0,6249,3986,0.6378620579292686
GSM4029952_JB19015,500,10.0,6249,3824,0.6119379100656105
GSM4029952_JB19015,500,15.0,6249,3850,0.6160985757721236
