sample,cell_type,n_cells,proportion_within_sample
GSM4029940_JB19001,B Cells,346,0.08087891538101917
GSM4029940_JB19001,CD4 T Cells,1065,0.24894810659186536
GSM4029940_JB19001,CD8 T Cells,612,0.14305750350631136
GSM4029940_JB19001,Classical Monocytes,493,0.11524076671341749
GSM4029940_JB19001,NK Cells,1376,0.32164562879850395
GSM4029940_JB19001,Non-classical Monocytes,327,0.07643758765778401
GSM4029940_JB19001,Plasma Cells,22,0.005142589995324918
GSM4029940_JB19001,pDCs,37,0.008648901355773725
GSM4029942_JB19003,B Cells,405,0.07342277012327773
GSM4029942_JB19003,CD4 T Cells,890,0.16134880348078318
GSM4029942_JB19003,CD8 T Cells,494,0.08955765047135605
GSM4029942_JB19003,Classical Monocytes,1897,0.34390862944162437
GSM4029942_JB19003,NK Cells,1240,0.22480058013052936
GSM4029942_JB19003,Non-classical Monocytes,541,0.09807831762146484
GSM4029942_JB19003,Plasma Cells,2,0.00036258158085569254
GSM4029942_JB19003,pDCs,47,0.008520667150108775
GSM4029943_JB19004,B Cells,64,0.019013666072489603
GSM4029943_JB19004,CD4 T Cells,259,0.07694592988710636
GSM4029943_JB19004,CD8 T Cells,465,0.13814616755793227
GSM4029943_JB19004,Classical Monocytes,527,0.15656565656565657
GSM4029943_JB19004,NK Cells,1662,0.49376114081996436
GSM4029943_JB19004,Non-classical Monocytes,353,0.10487225193107547
GSM4029943_JB19004,Plasma Cells,18,0.0053475935828877
GSM4029943_JB19004,pDCs,18,0.0053475935828877
GSM4029944_JB19006,B Cells,55,0.0150519978106185
GSM4029944_JB19006,CD4 T Cells,397,0.10864805692391899
GSM4029944_JB19006,CD8 T Cells,253,0.0692391899288451
GSM4029944_JB19006,Classical Monocytes,1293,0.35385878489326766
GSM4029944_JB19006,NK Cells,727,0.19896004378763
GSM4029944_JB19006,Non-classical Monocytes,879,0.24055829228243022
GSM4029944_JB19006,Plasma Cells,31,0.008483853311439518
GSM4029944_JB19006,pDCs,19,0.005199781061850027
GSM4029945_JB19007,B Cells,273,0.06833541927409262
GSM4029945_JB19007,CD4 T Cells,1179,0.2951188986232791
GSM4029945_JB19007,CD8 T Cells,286,0.07158948685857322
GSM4029945_JB19007,Classical Monocytes,1187,0.29712140175219026
GSM4029945_JB19007,NK Cells,330,0.08260325406758448
GSM4029945_JB19007,Non-classical Monocytes,667,0.1669586983729662
GSM4029945_JB19007,Plasma Cells,47,0.011764705882352941
GSM4029945_JB19007,pDCs,26,0.006508135168961202
GSM4029946_JB19008,B Cells,95,0.023013565891472867
GSM4029946_JB19008,CD4 T Cells,720,0.1744186046511628
GSM4029946_JB19008,CD8 T Cells,285,0.0690406976744186
GSM4029946_JB19008,Classical Monocytes,1268,0.3071705426356589
GSM4029946_JB19008,NK Cells,1225,0.2967538759689923
GSM4029946_JB19008,Non-classical Monocytes,441,0.1068313953488372
GSM4029946_JB19008,Plasma Cells,36,0.00872093023255814
GSM4029946_JB19008,pDCs,58,0.014050387596899225
GSM4029947_JB19009,B Cells,603,0.13955102985420043
GSM4029947_JB19009,CD4 T Cells,1259,0.2913677389493173
GSM4029947_JB19009,CD8 T Cells,500,0.11571395510298542
GSM4029947_JB19009,Classical Monocytes,508,0.11756537838463318
GSM4029947_JB19009,NK Cells,1225,0.28349919000231427
GSM4029947_JB19009,Non-classical Monocytes,187,0.043277019208516544
GSM4029947_JB19009,Plasma Cells,17,0.003934274473501504
GSM4029947_JB19009,pDCs,22,0.0050914140245313586
GSM4029948_JB19010,B Cells,499,0.0941154281403244
GSM4029948_JB19010,CD4 T Cells,1106,0.2086005281026028
GSM4029948_JB19010,CD8 T Cells,358,0.06752168992832894
GSM4029948_JB19010,Classical Monocytes,1688,0.31837042625424367
GSM4029948_JB19010,NK Cells,1038,0.19577517917766882
GSM4029948_JB19010,Non-classical Monocytes,474,0.08940022632968692
GSM4029948_JB19010,Plasma Cells,11,0.002074688796680498
GSM4029948_JB19010,pDCs,128,0.024141833270463976
GSM4029949_JB19011,B Cells,491,0.10339018740787534
GSM4029949_JB19011,CD4 T Cells,1566,0.3297536323436513
GSM4029949_JB19011,CD8 T Cells,539,0.1134975784375658
GSM4029949_JB19011,Classical Monocytes,408,0.08591282375236892
GSM4029949_JB19011,NK Cells,1470,0.30953885028427036
GSM4029949_JB19011,Non-classical Monocytes,187,0.03937671088650242
GSM4029949_JB19011,Plasma Cells,30,0.006317119393556538
GSM4029949_JB19011,pDCs,58,0.012213097494209308
GSM4029950_JB19013,B Cells,141,0.04889042995839112
GSM4029950_JB19013,CD4 T Cells,481,0.16678224687933427
GSM4029950_JB19013,CD8 T Cells,245,0.08495145631067962
GSM4029950_JB19013,Classical Monocytes,580,0.20110957004160887
GSM4029950_JB19013,NK Cells,1217,0.42198335644937585
GSM4029950_JB19013,Non-classical Monocytes,205,0.07108183079056865
GSM4029950_JB19013,Plasma Cells,4,0.0013869625520110957
GSM4029950_JB19013,pDCs,11,0.0038141470180305132
GSM4029951_JB19014,B Cells,22,0.009159034138218152
GSM4029951_JB19014,CD4 T Cells,940,0.3913405495420483
GSM4029951_JB19014,CD8 T Cells,178,0.07410491257285595
GSM4029951_JB19014,Classical Monocytes,910,0.37885095753538717
GSM4029951_JB19014,NK Cells,64,0.026644462947543714
GSM4029951_JB19014,Non-classical Monocytes,268,0.1115736885928393
GSM4029951_JB19014,Plasma Cells,3,0.0012489592006661116
GSM4029951_JB19014,pDCs,17,0.007077435470441299
GSM4029952_JB19015,B Cells,132,0.04695837780149413
GSM4029952_JB19015,CD4 T Cells,593,0.21095695482034862
GSM4029952_JB19015,CD8 T Cells,172,0.06118818925649235
GSM4029952_JB19015,Classical Monocytes,787,0.27997154037709
GSM4029952_JB19015,NK Cells,792,0.28175026680896476
GSM4029952_JB19015,Non-classical Monocytes,318,0.11312700106723586
GSM4029952_JB19015,Plasma Cells,1,0.0003557452863749555
GSM4029952_JB19015,pDCs,16,0.005691924581999288
