group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL21,161.36044,0.93884814,0.0,0.0
0,RPL32,157.20543,0.9453729,0.0,0.0
0,RPL34,152.78342,0.9324529,0.0,0.0
0,RPL31,151.30623,1.075348,0.0,0.0
0,RPS6,150.0208,1.0898226,0.0,0.0
0,RPS3A,146.32114,0.94433093,0.0,0.0
0,RPS14,142.17528,0.82131803,0.0,0.0
0,RPL13,141.31285,0.871593,0.0,0.0
0,RPS27,141.25372,0.9178979,0.0,0.0
0,RPS13,139.26483,0.8573824,0.0,0.0
0,RPL35A,136.72188,0.8381671,0.0,0.0
0,RPS25,136.00346,0.9861923,0.0,0.0
0,RPS27A,135.05823,0.88716245,0.0,0.0
0,RPL7,133.06404,0.7893762,0.0,0.0
0,RPS12,131.68335,0.93189114,0.0,0.0
0,RPL11,131.2352,0.7853383,0.0,0.0
0,RPS23,130.74358,0.88001317,0.0,0.0
0,RPL30,129.40176,0.9034196,0.0,0.0
0,RPL3,129.23164,0.9902369,0.0,0.0
0,RPS8,128.25851,0.9504127,0.0,0.0
1,S100A9,169.3327,7.4000607,0.0,0.0
1,S100A8,168.89278,7.3592854,0.0,0.0
1,LYZ,167.20183,7.2633963,0.0,0.0
1,S100A6,158.20114,3.033516,0.0,0.0
1,TYROBP,156.2125,5.158729,0.0,0.0
1,CTSS,155.64046,4.41455,0.0,0.0
1,FTL,154.47784,2.972132,0.0,0.0
1,NEAT1,153.72499,3.7094307,0.0,0.0
1,FCN1,153.11504,5.5988517,0.0,0.0
1,GPX1,152.00279,4.19561,0.0,0.0
1,MNDA,151.28291,5.7836294,0.0,0.0
1,CSTA,150.30598,5.6526036,0.0,0.0
1,S100A12,150.16995,7.0884576,0.0,0.0
1,VCAN,149.27974,6.4737973,0.0,0.0
1,CST3,149.07338,5.300109,0.0,0.0
1,FTH1,146.11751,2.1746118,0.0,0.0
1,LGALS1,143.00482,3.8983424,0.0,0.0
1,S100A4,142.72447,2.7246802,0.0,0.0
1,S100A11,141.73262,3.6122155,0.0,0.0
1,LST1,140.8993,4.3604836,0.0,0.0
2,LTB,95.24124,2.2406437,0.0,0.0
2,JUNB,82.93541,1.2079017,0.0,0.0
2,IL32,79.148994,1.8408958,0.0,0.0
2,IL7R,78.37702,2.0222833,0.0,0.0
2,ZFP36L2,77.90814,1.3618999,0.0,0.0
2,CD69,76.37024,1.6516521,0.0,0.0
2,JUN,69.30388,1.5863034,0.0,0.0
2,RPL41,68.24345,0.41798654,0.0,0.0
2,EEF1A1,67.37647,0.5446778,0.0,0.0
2,TNFAIP3,66.746,1.5205767,0.0,0.0
2,RPS29,62.012985,0.6747055,0.0,0.0
2,RPSA,61.393745,0.87175727,0.0,0.0
2,RPS18,59.724598,0.588363,0.0,0.0
2,RPL10,59.695496,0.48517957,0.0,0.0
2,RPLP0,59.42713,0.77376467,0.0,0.0
2,RPL36,59.275883,0.51470363,0.0,0.0
2,CXCR4,59.0684,1.1499361,0.0,0.0
2,RPL13A,58.99427,0.50209486,0.0,0.0
2,RPL23A,58.985123,0.60441524,0.0,0.0
2,LDHB,58.8626,1.2217168,0.0,0.0
3,CCL5,130.88647,5.406249,0.0,0.0
3,NKG7,129.28789,5.6326776,0.0,0.0
3,GZMH,124.19543,5.8089,0.0,0.0
3,B2M,119.11492,0.99895346,0.0,0.0
3,CST7,117.844505,4.3745017,0.0,0.0
3,GZMA,111.88334,4.1865134,0.0,0.0
3,HLA-C,105.99434,1.3373272,0.0,0.0
3,FGFBP2,103.40966,4.915754,0.0,0.0
3,CTSW,99.46989,3.2215533,0.0,0.0
3,HLA-B,94.62404,1.252941,0.0,0.0
3,IL32,93.83725,2.2900724,0.0,0.0
3,GZMB,91.900345,4.04067,0.0,0.0
3,HLA-A,88.77981,1.0368508,0.0,0.0
3,PRF1,84.51464,3.5598457,0.0,0.0
3,HCST,84.41727,1.7724426,0.0,0.0
3,CCL4,82.99677,3.701506,0.0,0.0
3,GNLY,79.47995,3.9233909,0.0,0.0
3,PFN1,79.32251,1.015722,0.0,0.0
3,CD99,78.60123,1.9957741,0.0,0.0
3,CD52,77.67829,1.2026857,0.0,0.0
4,LTB,72.548416,2.0690584,0.0,0.0
4,RPS29,63.363853,0.7481294,0.0,0.0
4,RPS4X,59.437515,0.65374744,0.0,0.0
4,RPS8,59.324005,0.69135326,0.0,0.0
4,RPS6,58.941174,0.7142404,0.0,0.0
4,RPL36,58.88966,0.5887964,0.0,0.0
4,RPS18,58.292866,0.65163803,0.0,0.0
4,LDHB,58.191685,1.3891456,0.0,0.0
4,RPS12,57.719833,0.6456619,0.0,0.0
4,RPS15A,57.589226,0.59940195,0.0,0.0
4,RPL13A,57.492355,0.5553323,0.0,0.0
4,RPL11,57.404537,0.54995346,0.0,0.0
4,RPL13,57.26917,0.5802747,0.0,0.0
4,EEF1A1,56.204075,0.5442477,0.0,0.0
4,RPS25,55.993587,0.6648609,0.0,0.0
4,RPL34,55.9446,0.56550777,0.0,0.0
4,RPL41,55.43769,0.41230938,0.0,0.0
4,RPL30,54.099247,0.6090914,0.0,0.0
4,RPL32,52.028206,0.53297573,0.0,0.0
4,RPL10,51.70518,0.4923646,0.0,0.0
5,LST1,105.60269,4.912997,0.0,0.0
5,CST3,105.58583,5.205971,0.0,0.0
5,FTH1,104.089615,2.520724,0.0,0.0
5,COTL1,103.74311,3.405085,0.0,0.0
5,AIF1,103.64258,4.467951,0.0,0.0
5,FCER1G,101.03438,4.3620024,0.0,0.0
5,SAT1,100.29538,3.693176,0.0,0.0
5,HLA-DPA1,99.39841,4.0571256,0.0,0.0
5,PSAP,98.57043,3.497994,0.0,0.0
5,HLA-DRB1,98.17848,4.129245,0.0,0.0
5,FTL,97.17025,2.7239022,0.0,0.0
5,HLA-DRA,97.020035,4.481773,0.0,0.0
5,S100A11,96.195595,3.5032218,0.0,0.0
5,SPI1,95.78619,4.294656,0.0,0.0
5,CD74,94.42856,3.3754272,0.0,0.0
