cohort,sample,n_cells,retained_after_annotation,excluded_by_annotation,excluded_fraction
child,GSM4029896_JB17001,4548,3405,1143,0.25131926121372034
child,GSM4029897_JB17002,5038,3215,1823,0.3618499404525605
child,GSM4029898_JB17003,3810,2673,1137,0.2984251968503937
child,GSM4029899_JB17004,5995,3762,2233,0.3724770642201835
child,GSM4029900_JB17005,4138,2579,1559,0.3767520541324311
child,GSM4029901_JB17006,5315,3904,1411,0.26547507055503294
child,GSM4029902_JB17007,3817,2307,1510,0.3955986376735656
child,GSM4029903_JB17008,6043,3183,2860,0.47327486347840475
child,GSM4029904_JB17015,12449,7063,5386,0.43264519238493054
child,GSM4029905_JB17016,9644,7871,1773,0.18384487764413107
child,GSM4029906_JB17014,13558,6590,6968,0.5139401091606431
child,GSM4029907_JB17010,12312,7683,4629,0.37597465886939574
child,GSM4029908_JB17019,5265,2609,2656,0.5044634377967712
child,GSM4029909_JB17020,5161,3221,1940,0.3758961441581089
child,GSM4029910_JB17021,4342,3696,646,0.1487793643482266
child,GSM4029911_JB17022,6264,2438,3826,0.6107918263090677
child,GSM4029912_JB17023,5477,2012,3465,0.6326456089099872
child,GSM4029913_JB17024,5950,3145,2805,0.4714285714285714
child,GSM4029914_JB17017,8540,3539,5001,0.5855971896955503
child,GSM4029915_JB17018,8529,3908,4621,0.5417985695861179
child,GSM4029916_JB18063,3009,2632,377,0.12529079428381523
child,GSM4029917_JB18064,6689,4459,2230,0.33338316639258486
child,GSM4029918_JB18065,5444,2665,2779,0.5104702424687729
child,GSM4029919_JB18066,2736,2000,736,0.26900584795321636
child,GSM4029920_JB18067,4931,2160,2771,0.5619549787061447
child,GSM4029921_JB18068,3604,2345,1259,0.34933407325194227
child,GSM4029922_JB18069,5911,3183,2728,0.4615124344442565
child,GSM4029923_JB18070,5346,3410,1936,0.36213991769547327
child,GSM4029924_JB18071,5433,3727,1706,0.3140069942941285
child,GSM4029925_JB18072,4826,3595,1231,0.25507666804807294
child,GSM4029926_JB18073,5538,3400,2138,0.38605994944023114
child,GSM4029927_JB18074,5839,3948,1891,0.32385682479876693
child,GSM4029928_JB18075,4672,3500,1172,0.2508561643835616
child,GSM4029929_JB18076,5547,3013,2534,0.45682350820263207
child,GSM4029930_JB18077,7705,3098,4607,0.5979234263465282
child,GSM4029931_JB18078,7025,2804,4221,0.6008540925266904
child,GSM4029932_JB18079,7480,3224,4256,0.5689839572192513
child,GSM4029933_JB18080,4393,1956,2437,0.5547461871158661
child,GSM4029934_JB18081,6494,4865,1629,0.2508469356328919
child,GSM4029935_JB18082,7422,4339,3083,0.41538668822419833
child,GSM4029936_JB18085,6150,2950,3200,0.5203252032520326
child,GSM4029937_JB18086,6505,3261,3244,0.49869331283627977
child,GSM4029938_JB18083,7108,4078,3030,0.42628024760832867
child,GSM4029939_JB18084,7127,3875,3252,0.4562929703942753
adult,GSM4029940_JB19001,6975,4278,2697,0.38666666666666666
adult,GSM4029942_JB19003,6966,5516,1450,0.20815389032443296
adult,GSM4029943_JB19004,4190,3366,824,0.19665871121718376
adult,GSM4029944_JB19006,4424,3654,770,0.17405063291139242
adult,GSM4029945_JB19007,7307,3995,3312,0.45326399343095664
adult,GSM4029946_JB19008,6048,4128,1920,0.31746031746031744
adult,GSM4029947_JB19009,6477,4321,2156,0.3328701559363903
adult,GSM4029948_JB19010,7876,5302,2574,0.3268156424581006
adult,GSM4029949_JB19011,12268,4749,7519,0.6128953374633193
adult,GSM4029950_JB19013,4506,2884,1622,0.35996449178872614
adult,GSM4029951_JB19014,3691,2402,1289,0.3492278515307505
adult,GSM4029952_JB19015,4417,2811,1606,0.3635952003622368
