cluster,assigned_cell_type,marker,n_cells,mean_expression,fraction_expressing
0,Ribosomal/Low-quality,CD3D,62716,1.772886876921864,0.8510268512022451
0,Ribosomal/Low-quality,CD3E,62716,1.7235432702182423,0.8438516487020856
0,Ribosomal/Low-quality,IL7R,62716,1.431470121368856,0.7195771413993239
0,Ribosomal/Low-quality,CCR7,62716,0.8830170338964255,0.5202340710504496
0,Ribosomal/Low-quality,TCF7,62716,0.8242862677211489,0.506808469927929
0,Ribosomal/Low-quality,CD4,62716,0.15447194092971223,0.10852095159130047
0,Ribosomal/Low-quality,CD8A,62716,0.2637245013100037,0.16585879201479686
0,Ribosomal/Low-quality,CD8B,62716,0.5081163916060402,0.2657376108170164
0,Ribosomal/Low-quality,MS4A1,62716,0.027636344701106836,0.01929332227820652
0,Ribosomal/Low-quality,CD79A,62716,0.09914144879321418,0.07132151285158492
0,Ribosomal/Low-quality,CD37,62716,1.333849704983519,0.7295745902162127
0,Ribosomal/Low-quality,NKG7,62716,0.25799759156192714,0.17875821162063907
0,Ribosomal/Low-quality,GNLY,62716,0.30766043127043086,0.2085113846546336
0,Ribosomal/Low-quality,KLRD1,62716,0.01895739403380158,0.013393711333630971
0,Ribosomal/Low-quality,LYZ,62716,0.506568726936966,0.31719178519038205
0,Ribosomal/Low-quality,LST1,62716,0.2030147479363444,0.14143121372536513
0,Ribosomal/Low-quality,FCGR3A,62716,0.026585963251327813,0.01886281012819695
0,Ribosomal/Low-quality,S100A8,62716,0.4956880147479248,0.3075610689457236
0,Ribosomal/Low-quality,S100A9,62716,0.6626408285007496,0.39380700299764015
0,Ribosomal/Low-quality,FCER1A,62716,0.005217633890067066,0.003810829772306907
0,Ribosomal/Low-quality,CD1C,62716,0.003544499135243968,0.0025990177945022005
0,Ribosomal/Low-quality,GZMB,62716,0.06016450137103332,0.04368901077874864
0,Ribosomal/Low-quality,TCF4,62716,0.008449324517463252,0.006106894572357931
0,Ribosomal/Low-quality,PLD4,62716,0.0047869216221861025,0.0035078767778557304
0,Ribosomal/Low-quality,IGJ,62716,0.13219204207727728,0.08828688054085082
0,Ribosomal/Low-quality,MZB1,62716,0.03128056216946259,0.0220996237004911
0,Ribosomal/Low-quality,IGLL5,62716,0.17153103816789803,0.11057784297467951
0,Ribosomal/Low-quality,ISG15,62716,0.5452310634199945,0.32744435231838764
