cluster,assigned_cell_type,excluded,n_cells,median_n_genes_by_counts,median_total_counts,median_pct_counts_mt,median_doublet_score,fraction_CD3D_and_CD3E
0,Ribosomal/Low-quality,True,62716,904.0,3249.0,2.3257377264455936,0.05549212148892441,0.7309458511384654
1,Ribosomal/Low-quality,True,50269,1064.0,3825.0,2.4625784645098987,0.06498673740053049,0.8057053054566432
2,Classical Monocytes,False,37329,1135.0,3185.0,4.519774011299435,0.027457222443294866,0.024672506630233865
3,B Cells,False,29889,907.0,2790.0,3.115124153498871,0.02016184336853655,0.02067650306132691
4,CD4 T Cells,False,28319,1124.0,3761.0,2.272727272727273,0.06334519572953737,0.8084325011476394
5,CD8 T Cells,False,25501,978.0,2631.0,2.942285929837797,0.03369503141062251,0.775851927375397
6,NK Cells,False,16526,1058.0,2521.0,3.096793591061626,0.022808378588052753,0.11321553915042963
7,Non-classical Monocytes,False,14201,1566.0,4991.0,3.3798677443056575,0.030927835051546393,0.029293711710442927
8,cDCs,False,2167,2330.0,9604.0,3.2925867507886437,0.07905405405405405,0.09367789570835255
9,RBCs,True,1472,328.0,5668.5,0.16542600680819516,0.015960185344087868,0.08423913043478261
10,Platelets,True,1382,1329.5,3959.5,4.40581451547196,0.06379542395693136,0.20188133140376266
11,Plasma Cells,False,1373,2519.0,10759.0,3.729146221786065,0.08663967611336029,0.20611798980335033
12,IFN-stimulated T Cells,False,1182,1056.5,3492.5,1.745796674342616,0.04960715449897633,0.8240270727580372
13,pDCs,False,803,1780.0,5914.0,2.420064535054268,0.08934337997847147,0.0722291407222914
