sample,cluster,assigned_cell_type,excluded,n_cells
GSM4029896_JB17001,0,Ribosomal/Low-quality,True,619
GSM4029896_JB17001,1,Ribosomal/Low-quality,True,504
GSM4029896_JB17001,10,Platelets,True,15
GSM4029896_JB17001,11,Plasma Cells,False,6
GSM4029896_JB17001,12,IFN-stimulated T Cells,False,29
GSM4029896_JB17001,13,pDCs,False,8
GSM4029896_JB17001,2,Classical Monocytes,False,949
GSM4029896_JB17001,3,B Cells,False,1419
GSM4029896_JB17001,4,CD4 T Cells,False,253
GSM4029896_JB17001,5,CD8 T Cells,False,168
GSM4029896_JB17001,6,NK Cells,False,90
GSM4029896_JB17001,7,Non-classical Monocytes,False,412
GSM4029896_JB17001,8,cDCs,False,71
GSM4029896_JB17001,9,RBCs,True,5
GSM4029897_JB17002,0,Ribosomal/Low-quality,True,865
GSM4029897_JB17002,1,Ribosomal/Low-quality,True,947
GSM4029897_JB17002,10,Platelets,True,5
GSM4029897_JB17002,11,Plasma Cells,False,2
GSM4029897_JB17002,12,IFN-stimulated T Cells,False,29
GSM4029897_JB17002,13,pDCs,False,25
GSM4029897_JB17002,2,Classical Monocytes,False,907
GSM4029897_JB17002,3,B Cells,False,994
GSM4029897_JB17002,4,CD4 T Cells,False,451
GSM4029897_JB17002,5,CD8 T Cells,False,294
GSM4029897_JB17002,6,NK Cells,False,108
GSM4029897_JB17002,7,Non-classical Monocytes,False,351
GSM4029897_JB17002,8,cDCs,False,54
GSM4029897_JB17002,9,RBCs,True,6
GSM4029898_JB17003,0,Ribosomal/Low-quality,True,562
GSM4029898_JB17003,1,Ribosomal/Low-quality,True,566
GSM4029898_JB17003,10,Platelets,True,7
GSM4029898_JB17003,11,Plasma Cells,False,15
GSM4029898_JB17003,12,IFN-stimulated T Cells,False,55
GSM4029898_JB17003,13,pDCs,False,5
GSM4029898_JB17003,2,Classical Monocytes,False,841
GSM4029898_JB17003,3,B Cells,False,401
GSM4029898_JB17003,4,CD4 T Cells,False,301
GSM4029898_JB17003,5,CD8 T Cells,False,308
GSM4029898_JB17003,6,NK Cells,False,160
GSM4029898_JB17003,7,Non-classical Monocytes,False,551
GSM4029898_JB17003,8,cDCs,False,36
GSM4029898_JB17003,9,RBCs,True,2
GSM4029899_JB17004,0,Ribosomal/Low-quality,True,1198
GSM4029899_JB17004,1,Ribosomal/Low-quality,True,1010
GSM4029899_JB17004,10,Platelets,True,22
GSM4029899_JB17004,11,Plasma Cells,False,2
GSM4029899_JB17004,12,IFN-stimulated T Cells,False,28
GSM4029899_JB17004,13,pDCs,False,42
GSM4029899_JB17004,2,Classical Monocytes,False,1472
GSM4029899_JB17004,3,B Cells,False,444
GSM4029899_JB17004,4,CD4 T Cells,False,520
GSM4029899_JB17004,5,CD8 T Cells,False,345
GSM4029899_JB17004,6,NK Cells,False,264
GSM4029899_JB17004,7,Non-classical Monocytes,False,592
GSM4029899_JB17004,8,cDCs,False,53
GSM4029899_JB17004,9,RBCs,True,3
GSM4029900_JB17005,0,Ribosomal/Low-quality,True,787
GSM4029900_JB17005,1,Ribosomal/Low-quality,True,748
GSM4029900_JB17005,10,Platelets,True,23
GSM4029900_JB17005,11,Plasma Cells,False,4
GSM4029900_JB17005,12,IFN-stimulated T Cells,False,1
GSM4029900_JB17005,13,pDCs,False,13
GSM4029900_JB17005,2,Classical Monocytes,False,879
GSM4029900_JB17005,3,B Cells,False,389
GSM4029900_JB17005,4,CD4 T Cells,False,439
GSM4029900_JB17005,5,CD8 T Cells,False,243
GSM4029900_JB17005,6,NK Cells,False,182
