cell_type,marker,absolute_mean_difference,absolute_fraction_difference
B Cells,CD79A,1.6986595685608563e-08,0.0
B Cells,MS4A1,1.325335374779968e-07,0.0
B Cells,CD37,3.26350835244682e-08,0.0
CD4 T Cells,CD3D,3.661226744000601e-08,1.1102230246251565e-16
CD4 T Cells,IL7R,6.053442147546662e-08,0.0
CD4 T Cells,LTB,2.479194627369452e-08,0.0
CD8 T Cells,CD3D,2.2413272393606576e-07,0.0
CD8 T Cells,CD8A,2.3373453839070635e-08,0.0
CD8 T Cells,CD8B,5.008931269756545e-09,0.0
Classical Monocytes,LYZ,3.277512981014752e-07,0.0
Classical Monocytes,S100A8,1.4755139510214121e-07,1.1102230246251565e-16
Classical Monocytes,S100A9,3.6697198169122203e-07,1.1102230246251565e-16
IFN-stimulated T Cells,ISG15,1.475492306113324e-07,0.0
IFN-stimulated T Cells,IFIT1,3.429032013890776e-08,0.0
IFN-stimulated T Cells,CD3D,2.2944258493140524e-08,0.0
NK Cells,NKG7,3.232305854083961e-07,1.1102230246251565e-16
NK Cells,GNLY,2.006237664886612e-07,0.0
NK Cells,KLRD1,5.8722801954402826e-08,0.0
Non-classical Monocytes,LYZ,8.388972849715515e-08,1.1102230246251565e-16
Non-classical Monocytes,FCGR3A,7.176397542885127e-08,0.0
Non-classical Monocytes,LST1,5.929405100246754e-08,0.0
Plasma Cells,IGJ,5.022765758866399e-08,1.1102230246251565e-16
Plasma Cells,MZB1,1.3520660324672917e-07,1.1102230246251565e-16
Plasma Cells,IGLL5,1.2259542359061015e-07,1.1102230246251565e-16
cDCs,FCER1A,1.3835319112587285e-08,0.0
cDCs,CD1C,5.336087249840915e-08,0.0
pDCs,GZMB,3.8598275686752e-09,0.0
pDCs,TCF4,3.737352227695112e-08,0.0
pDCs,PLD4,1.2607532884345574e-07,0.0
