sample_file,n_cells_before_doublet_filter,n_predicted_doublets,predicted_doublet_fraction,n_cells_after_doublet_filter
GSM4029896_JB17001.h5ad,4640,92,0.019827586206896553,4548
GSM4029897_JB17002.h5ad,5193,155,0.02984787213556711,5038
GSM4029898_JB17003.h5ad,3893,83,0.02132031852042127,3810
GSM4029899_JB17004.h5ad,6171,176,0.0285204991087344,5995
GSM4029900_JB17005.h5ad,4223,85,0.020127871181624436,4138
GSM4029901_JB17006.h5ad,5437,122,0.022438844951259886,5315
GSM4029902_JB17007.h5ad,3897,80,0.020528611752630228,3817
GSM4029903_JB17008.h5ad,6250,207,0.03312,6043
GSM4029904_JB17015.h5ad,13460,1011,0.075111441307578,12449
GSM4029905_JB17016.h5ad,10160,516,0.05078740157480315,9644
GSM4029906_JB17014.h5ad,13561,3,0.0002212226237003171,13558
GSM4029907_JB17010.h5ad,13444,1132,0.08420113061588813,12312
GSM4029908_JB17019.h5ad,5418,153,0.02823920265780731,5265
GSM4029909_JB17020.h5ad,5325,164,0.0307981220657277,5161
GSM4029910_JB17021.h5ad,4461,119,0.026675633266083836,4342
GSM4029911_JB17022.h5ad,6429,165,0.025664955669622024,6264
GSM4029912_JB17023.h5ad,5564,87,0.01563623292595255,5477
GSM4029913_JB17024.h5ad,6141,191,0.031102426314932423,5950
GSM4029914_JB17017.h5ad,8863,323,0.036443642107638494,8540
GSM4029915_JB17018.h5ad,9001,472,0.05243861793134096,8529
GSM4029916_JB18063.h5ad,3051,42,0.01376597836774828,3009
GSM4029917_JB18064.h5ad,6704,15,0.002237470167064439,6689
GSM4029918_JB18065.h5ad,5457,13,0.0023822613157412497,5444
GSM4029919_JB18066.h5ad,2788,52,0.018651362984218076,2736
GSM4029920_JB18067.h5ad,5008,77,0.015375399361022364,4931
GSM4029921_JB18068.h5ad,3647,43,0.011790512750205649,3604
GSM4029922_JB18069.h5ad,6029,118,0.01957206833637419,5911
GSM4029923_JB18070.h5ad,5507,161,0.029235518431087706,5346
GSM4029924_JB18071.h5ad,5579,146,0.02616956443807134,5433
GSM4029925_JB18072.h5ad,4915,89,0.018107833163784334,4826
GSM4029926_JB18073.h5ad,5674,136,0.02396898131829397,5538
GSM4029927_JB18074.h5ad,6023,184,0.030549560019923625,5839
GSM4029928_JB18075.h5ad,4748,76,0.016006739679865205,4672
GSM4029929_JB18076.h5ad,5759,212,0.036811946518492795,5547
GSM4029930_JB18077.h5ad,7940,235,0.02959697732997481,7705
GSM4029931_JB18078.h5ad,7178,153,0.021315129562552243,7025
GSM4029932_JB18079.h5ad,7647,167,0.021838629527919446,7480
GSM4029933_JB18080.h5ad,4453,60,0.013474062429822591,4393
GSM4029934_JB18081.h5ad,6646,152,0.022870899789346977,6494
GSM4029935_JB18082.h5ad,7651,229,0.029930728009410535,7422
GSM4029936_JB18085.h5ad,6270,120,0.019138755980861243,6150
GSM4029937_JB18086.h5ad,6662,157,0.023566496547583308,6505
GSM4029938_JB18083.h5ad,7388,280,0.03789929615592853,7108
GSM4029939_JB18084.h5ad,7320,193,0.026366120218579234,7127
