sample,n_cells,median_genes_per_cell,median_umis_per_cell,median_pct_mitochondrial,retained_predicted_doublets
GSM4029896_JB17001,4548,919.5,2330.0,2.2883697114754877,0
GSM4029897_JB17002,5038,875.0,2291.0,2.7024671114629273,0
GSM4029898_JB17003,3810,1132.0,2866.5,2.1201635110942094,0
GSM4029899_JB17004,5995,1011.0,2613.0,2.0895522388059704,0
GSM4029900_JB17005,4138,939.0,2754.0,3.9675310673098427,0
GSM4029901_JB17006,5315,992.0,2894.0,3.3416458852867827,0
GSM4029902_JB17007,3817,1030.0,2776.0,1.813941435605079,0
GSM4029903_JB17008,6043,1010.0,2910.0,1.7459514170040487,0
GSM4029904_JB17015,12449,885.0,3357.0,4.962455109369899,0
GSM4029905_JB17016,9644,1138.0,3491.0,1.9137582112118552,0
GSM4029906_JB17014,13558,943.0,3474.0,3.2423712648917498,0
GSM4029907_JB17010,12312,891.0,2959.0,4.513581612586037,0
GSM4029908_JB17019,5265,1218.0,5425.0,2.612160566706021,0
GSM4029909_JB17020,5161,1305.0,5024.0,4.519774011299435,0
GSM4029910_JB17021,4342,1472.0,4468.0,2.7020501955185434,0
GSM4029911_JB17022,6264,1098.0,4434.0,2.1547809801695768,0
GSM4029912_JB17023,5477,1247.0,4626.0,2.5841597988545884,0
GSM4029913_JB17024,5950,1427.0,5236.5,2.7007909570878486,0
GSM4029914_JB17017,8540,957.0,3994.0,3.8138495306012485,0
GSM4029915_JB17018,8529,1138.0,4282.0,3.030722391364517,0
GSM4029916_JB18063,3009,1319.0,3434.0,1.4993481095176011,0
GSM4029917_JB18064,6689,1051.0,2888.0,1.3988657844990549,0
GSM4029918_JB18065,5444,866.0,2644.0,2.8060236314477596,0
GSM4029919_JB18066,2736,1028.0,2885.0,2.114049314810897,0
GSM4029920_JB18067,4931,814.0,2724.0,4.003681546249425,0
GSM4029921_JB18068,3604,1062.0,2958.5,2.264814190751239,0
GSM4029922_JB18069,5911,1049.0,3147.0,3.3684210526315788,0
GSM4029923_JB18070,5346,992.0,2717.0,2.654196031389014,0
GSM4029924_JB18071,5433,1103.0,3204.0,2.476780185758514,0
GSM4029925_JB18072,4826,899.0,2797.0,3.1948891561339785,0
GSM4029926_JB18073,5538,1078.0,3398.0,1.7117133168774212,0
GSM4029927_JB18074,5839,1221.0,3513.0,1.8434670116429495,0
GSM4029928_JB18075,4672,950.0,2906.0,2.9839658077046725,0
GSM4029929_JB18076,5547,908.0,2884.0,3.0011723329425557,0
GSM4029930_JB18077,7705,1035.0,3535.0,2.4623115577889445,0
GSM4029931_JB18078,7025,1059.0,3606.0,2.2063595068137576,0
GSM4029932_JB18079,7480,907.0,3183.5,2.2272545317919743,0
GSM4029933_JB18080,4393,1113.0,3422.0,2.2066405444421533,0
GSM4029934_JB18081,6494,931.0,2669.5,2.1002866279214194,0
GSM4029935_JB18082,7422,940.0,3124.5,3.122683986279594,0
GSM4029936_JB18085,6150,1083.5,3826.0,3.2832589815576947,0
GSM4029937_JB18086,6505,968.0,3276.0,2.55653883972468,0
GSM4029938_JB18083,7108,1071.0,3250.0,2.842566154161168,0
GSM4029939_JB18084,7127,1062.0,3345.0,2.7748507200562,0
