sample,min_genes,max_pct_mitochondrial,n_cells_total,n_cells_retained,fraction_retained
GSM4029896_JB17001,100,10.0,4644,4600,0.9905254091300603
GSM4029896_JB17001,100,15.0,4644,4632,0.9974160206718347
GSM4029896_JB17001,100,20.0,4644,4641,0.9993540051679587
GSM4029896_JB17001,100,25.0,4644,4641,0.9993540051679587
GSM4029896_JB17001,200,10.0,4644,4599,0.9903100775193798
GSM4029896_JB17001,200,15.0,4644,4631,0.9972006890611542
GSM4029896_JB17001,200,20.0,4644,4640,0.9991386735572783
GSM4029896_JB17001,200,25.0,4644,4640,0.9991386735572783
GSM4029896_JB17001,300,10.0,4644,4598,0.9900947459086994
GSM4029896_JB17001,300,15.0,4644,4630,0.9969853574504737
GSM4029896_JB17001,300,20.0,4644,4639,0.9989233419465977
GSM4029896_JB17001,300,25.0,4644,4639,0.9989233419465977
GSM4029896_JB17001,500,10.0,4644,4380,0.9431524547803618
GSM4029896_JB17001,500,15.0,4644,4398,0.9470284237726099
GSM4029896_JB17001,500,20.0,4644,4399,0.9472437553832903
GSM4029896_JB17001,500,25.0,4644,4399,0.9472437553832903
GSM4029897_JB17002,100,10.0,5205,5160,0.9913544668587896
GSM4029897_JB17002,100,15.0,5205,5190,0.9971181556195965
GSM4029897_JB17002,100,20.0,5205,5196,0.9982708933717579
GSM4029897_JB17002,100,25.0,5205,5197,0.9984630163304515
GSM4029897_JB17002,200,10.0,5205,5156,0.9905859750240154
GSM4029897_JB17002,200,15.0,5205,5186,0.9963496637848223
GSM4029897_JB17002,200,20.0,5205,5192,0.9975024015369837
GSM4029897_JB17002,200,25.0,5205,5193,0.9976945244956772
GSM4029897_JB17002,300,10.0,5205,5156,0.9905859750240154
GSM4029897_JB17002,300,15.0,5205,5186,0.9963496637848223
GSM4029897_JB17002,300,20.0,5205,5192,0.9975024015369837
GSM4029897_JB17002,300,25.0,5205,5193,0.9976945244956772
GSM4029897_JB17002,500,10.0,5205,4946,0.950240153698367
GSM4029897_JB17002,500,15.0,5205,4966,0.9540826128722383
GSM4029897_JB17002,500,20.0,5205,4967,0.9542747358309318
GSM4029897_JB17002,500,25.0,5205,4967,0.9542747358309318
GSM4029898_JB17003,100,10.0,3894,3879,0.9961479198767335
GSM4029898_JB17003,100,15.0,3894,3890,0.9989727786337956
GSM4029898_JB17003,100,20.0,3894,3893,0.9997431946584489
GSM4029898_JB17003,100,25.0,3894,3893,0.9997431946584489
GSM4029898_JB17003,200,10.0,3894,3879,0.9961479198767335
GSM4029898_JB17003,200,15.0,3894,3890,0.9989727786337956
GSM4029898_JB17003,200,20.0,3894,3893,0.9997431946584489
GSM4029898_JB17003,200,25.0,3894,3893,0.9997431946584489
GSM4029898_JB17003,300,10.0,3894,3879,0.9961479198767335
GSM4029898_JB17003,300,15.0,3894,3890,0.9989727786337956
GSM4029898_JB17003,300,20.0,3894,3893,0.9997431946584489
GSM4029898_JB17003,300,25.0,3894,3893,0.9997431946584489
GSM4029898_JB17003,500,10.0,3894,3877,0.9956343091936313
GSM4029898_JB17003,500,15.0,3894,3886,0.9979455572675912
GSM4029898_JB17003,500,20.0,3894,3889,0.9987159732922445
GSM4029898_JB17003,500,25.0,3894,3889,0.9987159732922445
GSM4029899_JB17004,100,10.0,6171,6160,0.9982174688057041
GSM4029899_JB17004,100,15.0,6171,6169,0.999675903419219
GSM4029899_JB17004,100,20.0,6171,6171,1.0
GSM4029899_JB17004,100,25.0,6171,6171,1.0
GSM4029899_JB17004,200,10.0,6171,6160,0.9982174688057041
GSM4029899_JB17004,200,15.0,6171,6169,0.999675903419219
GSM4029899_JB17004,200,20.0,6171,6171,1.0
GSM4029899_JB17004,200,25.0,6171,6171,1.0
GSM4029899_JB17004,300,10.0,6171,6160,0.9982174688057041
GSM4029899_JB17004,300,15.0,6171,6169,0.999675903419219
GSM4029899_JB17004,300,20.0,6171,6171,1.0
GSM4029899_JB17004,300,25.0,6171,6171,1.0
GSM4029899_JB17004,500,10.0,6171,6058,0.9816885431858694
GSM4029899_JB17004,500,15.0,6171,6065,0.9828228812186032
GSM4029899_JB17004,500,20.0,6171,6066,0.9829849295089936
GSM4029899_JB17004,500,25.0,6171,6066,0.9829849295089936
GSM4029900_JB17005,100,10.0,4234,4109,0.9704770902220122
GSM4029900_JB17005,100,15.0,4234,4197,0.9912612187057156
GSM4029900_JB17005,100,20.0,4234,4213,0.995040151157298
GSM4029900_JB17005,100,25.0,4234,4224,0.997638167217761
GSM4029900_JB17005,200,10.0,4234,4108,0.9702409069437884
GSM4029900_JB17005,200,15.0,4234,4196,0.9910250354274918
GSM4029900_JB17005,200,20.0,4234,4212,0.9948039678790742
GSM4029900_JB17005,200,25.0,4234,4223,0.997401983939537
GSM4029900_JB17005,300,10.0,4234,4106,0.9697685403873406
GSM4029900_JB17005,300,15.0,4234,4194,0.990552668871044
GSM4029900_JB17005,300,20.0,4234,4210,0.9943316013226263
GSM4029900_JB17005,300,25.0,4234,4221,0.9969296173830893
GSM4029900_JB17005,500,10.0,4234,4034,0.9527633443552197
GSM4029900_JB17005,500,15.0,4234,4109,0.9704770902220122
GSM4029900_JB17005,500,20.0,4234,4124,0.9740198393953708
GSM4029900_JB17005,500,25.0,4234,4128,0.9749645725082664
GSM4029901_JB17006,100,10.0,5438,5363,0.9862081647664582
GSM4029901_JB17006,100,15.0,5438,5419,0.9965060684075028
GSM4029901_JB17006,100,20.0,5438,5433,0.9990805443177638
GSM4029901_JB17006,100,25.0,5438,5437,0.9998161088635528
GSM4029901_JB17006,200,10.0,5438,5363,0.9862081647664582
GSM4029901_JB17006,200,15.0,5438,5419,0.9965060684075028
GSM4029901_JB17006,200,20.0,5438,5433,0.9990805443177638
GSM4029901_JB17006,200,25.0,5438,5437,0.9998161088635528
GSM4029901_JB17006,300,10.0,5438,5363,0.9862081647664582
GSM4029901_JB17006,300,15.0,5438,5419,0.9965060684075028
GSM4029901_JB17006,300,20.0,5438,5433,0.9990805443177638
GSM4029901_JB17006,300,25.0,5438,5437,0.9998161088635528
GSM4029901_JB17006,500,10.0,5438,5266,0.9683707245310776
GSM4029901_JB17006,500,15.0,5438,5309,0.9762780433983081
GSM4029901_JB17006,500,20.0,5438,5317,0.977749172489886
GSM4029901_JB17006,500,25.0,5438,5319,0.9781169547627805
GSM4029902_JB17007,100,10.0,3974,3935,0.9901862103673881
GSM4029902_JB17007,100,15.0,3974,3941,0.9916960241570206
GSM4029902_JB17007,100,20.0,3974,3944,0.9924509310518369
GSM4029902_JB17007,100,25.0,3974,3944,0.9924509310518369
GSM4029902_JB17007,200,10.0,3974,3888,0.9783593356819326
GSM4029902_JB17007,200,15.0,3974,3894,0.9798691494715652
GSM4029902_JB17007,200,20.0,3974,3897,0.9806240563663815
GSM4029902_JB17007,200,25.0,3974,3897,0.9806240563663815
GSM4029902_JB17007,300,10.0,3974,3875,0.9750880724710619
GSM4029902_JB17007,300,15.0,3974,3881,0.9765978862606945
GSM4029902_JB17007,300,20.0,3974,3884,0.9773527931555108
GSM4029902_JB17007,300,25.0,3974,3884,0.9773527931555108
GSM4029902_JB17007,500,10.0,3974,3768,0.9481630598892803
GSM4029902_JB17007,500,15.0,3974,3773,0.9494212380473075
GSM4029902_JB17007,500,20.0,3974,3775,0.9499245093105184
GSM4029902_JB17007,500,25.0,3974,3775,0.9499245093105184
GSM4029903_JB17008,100,10.0,6260,6238,0.9964856230031949
GSM4029903_JB17008,100,15.0,6260,6248,0.9980830670926517
GSM4029903_JB17008,100,20.0,6260,6253,0.9988817891373802
GSM4029903_JB17008,100,25.0,6260,6258,0.9996805111821087
GSM4029903_JB17008,200,10.0,6260,6230,0.9952076677316294
GSM4029903_JB17008,200,15.0,6260,6240,0.9968051118210862
GSM4029903_JB17008,200,20.0,6260,6245,0.9976038338658147
GSM4029903_JB17008,200,25.0,6260,6250,0.9984025559105432
GSM4029903_JB17008,300,10.0,6260,6224,0.9942492012779552
GSM4029903_JB17008,300,15.0,6260,6234,0.9958466453674122
GSM4029903_JB17008,300,20.0,6260,6239,0.9966453674121406
GSM4029903_JB17008,300,25.0,6260,6244,0.997444089456869
GSM4029903_JB17008,500,10.0,6260,6166,0.9849840255591055
GSM4029903_JB17008,500,15.0,6260,6176,0.9865814696485623
GSM4029903_JB17008,500,20.0,6260,6181,0.9873801916932907
GSM4029903_JB17008,500,25.0,6260,6186,0.9881789137380191
GSM4029904_JB17015,100,10.0,13538,12843,0.9486630226030432
GSM4029904_JB17015,100,15.0,13538,13409,0.9904712660658886
GSM4029904_JB17015,100,20.0,13538,13477,0.9954941645737923
GSM4029904_JB17015,100,25.0,13538,13489,0.9963805584281282
GSM4029904_JB17015,200,10.0,13538,12814,0.9465209041217314
GSM4029904_JB17015,200,15.0,13538,13380,0.9883291475845768
GSM4029904_JB17015,200,20.0,13538,13448,0.9933520460924804
GSM4029904_JB17015,200,25.0,13538,13460,0.9942384399468164
GSM4029904_JB17015,300,10.0,13538,12809,0.9461515733490915
GSM4029904_JB17015,300,15.0,13538,13375,0.9879598168119368
GSM4029904_JB17015,300,20.0,13538,13443,0.9929827153198405
GSM4029904_JB17015,300,25.0,13538,13455,0.9938691091741764
GSM4029904_JB17015,500,10.0,13538,12681,0.936696705569508
GSM4029904_JB17015,500,15.0,13538,13228,0.9771014920963215
GSM4029904_JB17015,500,20.0,13538,13292,0.9818289259861132
GSM4029904_JB17015,500,25.0,13538,13303,0.9826414536859212
GSM4029905_JB17016,100,10.0,10253,10202,0.9950258460938262
GSM4029905_JB17016,100,15.0,10253,10222,0.9969764946844826
GSM4029905_JB17016,100,20.0,10253,10230,0.9977567541207452
GSM4029905_JB17016,100,25.0,10253,10235,0.9982444162684092
GSM4029905_JB17016,200,10.0,10253,10127,0.9877109138788647
GSM4029905_JB17016,200,15.0,10253,10147,0.9896615624695211
GSM4029905_JB17016,200,20.0,10253,10155,0.9904418219057837
GSM4029905_JB17016,200,25.0,10253,10160,0.9909294840534477
GSM4029905_JB17016,300,10.0,10253,10066,0.9817614356773627
GSM4029905_JB17016,300,15.0,10253,10086,0.9837120842680191
GSM4029905_JB17016,300,20.0,10253,10094,0.9844923437042816
GSM4029905_JB17016,300,25.0,10253,10099,0.9849800058519458
GSM4029905_JB17016,500,10.0,10253,9994,0.9747391007509997
GSM4029905_JB17016,500,15.0,10253,10014,0.9766897493416561
GSM4029905_JB17016,500,20.0,10253,10022,0.9774700087779187
GSM4029905_JB17016,500,25.0,10253,10027,0.9779576709255827
GSM4029906_JB17014,100,10.0,13834,13652,0.98684400751771
GSM4029906_JB17014,100,15.0,13834,13679,0.9887957206881596
GSM4029906_JB17014,100,20.0,13834,13682,0.9890125777070985
GSM4029906_JB17014,100,25.0,13834,13682,0.9890125777070985
GSM4029906_JB17014,200,10.0,13834,13531,0.9780974410871766
GSM4029906_JB17014,200,15.0,13834,13558,0.9800491542576262
GSM4029906_JB17014,200,20.0,13834,13561,0.980266011276565
GSM4029906_JB17014,200,25.0,13834,13561,0.980266011276565
GSM4029906_JB17014,300,10.0,13834,13524,0.9775914413763193
GSM4029906_JB17014,300,15.0,13834,13551,0.9795431545467689
GSM4029906_JB17014,300,20.0,13834,13554,0.9797600115657077
GSM4029906_JB17014,300,25.0,13834,13554,0.9797600115657077
GSM4029906_JB17014,500,10.0,13834,13444,0.97180858753795
GSM4029906_JB17014,500,15.0,13834,13468,0.9735434436894608
GSM4029906_JB17014,500,20.0,13834,13471,0.9737603007083996
GSM4029906_JB17014,500,25.0,13834,13471,0.9737603007083996
GSM4029907_JB17010,100,10.0,13454,13188,0.9802289281997919
GSM4029907_JB17010,100,15.0,13454,13404,0.9962836331202616
GSM4029907_JB17010,100,20.0,13454,13438,0.9988107625984837
GSM4029907_JB17010,100,25.0,13454,13445,0.9993310539616471
GSM4029907_JB17010,200,10.0,13454,13187,0.9801546008621971
GSM4029907_JB17010,200,15.0,13454,13403,0.9962093057826669
GSM4029907_JB17010,200,20.0,13454,13437,0.998736435260889
GSM4029907_JB17010,200,25.0,13454,13444,0.9992567266240523
GSM4029907_JB17010,300,10.0,13454,13187,0.9801546008621971
GSM4029907_JB17010,300,15.0,13454,13403,0.9962093057826669
GSM4029907_JB17010,300,20.0,13454,13437,0.998736435260889
GSM4029907_JB17010,300,25.0,13454,13444,0.9992567266240523
GSM4029907_JB17010,500,10.0,13454,13099,0.9736137951538576
GSM4029907_JB17010,500,15.0,13454,13304,0.9888508993607849
GSM4029907_JB17010,500,20.0,13454,13338,0.9913780288390069
GSM4029907_JB17010,500,25.0,13454,13345,0.9918983202021704
GSM4029908_JB17019,100,10.0,5545,5164,0.9312894499549144
GSM4029908_JB17019,100,15.0,5545,5446,0.98214607754734
GSM4029908_JB17019,100,20.0,5545,5507,0.9931469792605951
GSM4029908_JB17019,100,25.0,5545,5525,0.9963931469792606
GSM4029908_JB17019,200,10.0,5545,5057,0.9119927862939585
GSM4029908_JB17019,200,15.0,5545,5339,0.9628494138863841
GSM4029908_JB17019,200,20.0,5545,5400,0.9738503155996393
GSM4029908_JB17019,200,25.0,5545,5418,0.9770964833183048
GSM4029908_JB17019,300,10.0,5545,4920,0.8872858431018936
GSM4029908_JB17019,300,15.0,5545,5202,0.9381424706943192
GSM4029908_JB17019,300,20.0,5545,5263,0.9491433724075744
GSM4029908_JB17019,300,25.0,5545,5281,0.9523895401262399
GSM4029908_JB17019,500,10.0,5545,4671,0.842380522993688
GSM4029908_JB17019,500,15.0,5545,4953,0.8932371505861136
GSM4029908_JB17019,500,20.0,5545,5014,0.9042380522993688
GSM4029908_JB17019,500,25.0,5545,5032,0.9074842200180343
GSM4029909_JB17020,100,10.0,5350,5193,0.9706542056074766
GSM4029909_JB17020,100,15.0,5350,5298,0.9902803738317757
GSM4029909_JB17020,100,20.0,5350,5313,0.9930841121495327
GSM4029909_JB17020,100,25.0,5350,5325,0.9953271028037384
GSM4029909_JB17020,200,10.0,5350,5193,0.9706542056074766
GSM4029909_JB17020,200,15.0,5350,5298,0.9902803738317757
GSM4029909_JB17020,200,20.0,5350,5313,0.9930841121495327
GSM4029909_JB17020,200,25.0,5350,5325,0.9953271028037384
GSM4029909_JB17020,300,10.0,5350,5193,0.9706542056074766
