sample,cell_type,n_cells,proportion_within_sample
GSM4029896_JB17001,B Cells,1419,0.4167400881057269
GSM4029896_JB17001,CD4 T Cells,253,0.07430249632892805
GSM4029896_JB17001,CD8 T Cells,168,0.04933920704845815
GSM4029896_JB17001,Classical Monocytes,949,0.27870778267254037
GSM4029896_JB17001,IFN-stimulated T Cells,29,0.008516886930983847
GSM4029896_JB17001,NK Cells,90,0.02643171806167401
GSM4029896_JB17001,Non-classical Monocytes,412,0.1209985315712188
GSM4029896_JB17001,Plasma Cells,6,0.001762114537444934
GSM4029896_JB17001,cDCs,71,0.020851688693098384
GSM4029896_JB17001,pDCs,8,0.0023494860499265785
GSM4029897_JB17002,B Cells,994,0.3091757387247278
GSM4029897_JB17002,CD4 T Cells,451,0.14027993779160186
GSM4029897_JB17002,CD8 T Cells,294,0.09144634525660965
GSM4029897_JB17002,Classical Monocytes,907,0.28211508553654746
GSM4029897_JB17002,IFN-stimulated T Cells,29,0.009020217729393468
GSM4029897_JB17002,NK Cells,108,0.03359253499222395
GSM4029897_JB17002,Non-classical Monocytes,351,0.10917573872472784
GSM4029897_JB17002,Plasma Cells,2,0.0006220839813374805
GSM4029897_JB17002,cDCs,54,0.016796267496111975
GSM4029897_JB17002,pDCs,25,0.007776049766718507
GSM4029898_JB17003,B Cells,401,0.15001870557426114
GSM4029898_JB17003,CD4 T Cells,301,0.1126075570520015
GSM4029898_JB17003,CD8 T Cells,308,0.11522633744855967
GSM4029898_JB17003,Classical Monocytes,841,0.31462775907220353
GSM4029898_JB17003,IFN-stimulated T Cells,55,0.0205761316872428
GSM4029898_JB17003,NK Cells,160,0.05985783763561541
GSM4029898_JB17003,Non-classical Monocytes,551,0.20613542835765059
GSM4029898_JB17003,Plasma Cells,15,0.005611672278338945
GSM4029898_JB17003,cDCs,36,0.013468013468013467
GSM4029898_JB17003,pDCs,5,0.0018705574261129816
GSM4029899_JB17004,B Cells,444,0.11802232854864433
GSM4029899_JB17004,CD4 T Cells,520,0.13822434875066453
GSM4029899_JB17004,CD8 T Cells,345,0.09170653907496013
GSM4029899_JB17004,Classical Monocytes,1472,0.39128123338649656
GSM4029899_JB17004,IFN-stimulated T Cells,28,0.007442849548112706
GSM4029899_JB17004,NK Cells,264,0.07017543859649122
GSM4029899_JB17004,Non-classical Monocytes,592,0.1573631047315258
GSM4029899_JB17004,Plasma Cells,2,0.000531632110579479
GSM4029899_JB17004,cDCs,53,0.014088250930356193
GSM4029899_JB17004,pDCs,42,0.011164274322169059
GSM4029900_JB17005,B Cells,389,0.1508336564559907
GSM4029900_JB17005,CD4 T Cells,439,0.17022101589763475
GSM4029900_JB17005,CD8 T Cells,243,0.09422256688639008
GSM4029900_JB17005,Classical Monocytes,879,0.3408297789841024
GSM4029900_JB17005,IFN-stimulated T Cells,1,0.00038774718883288094
GSM4029900_JB17005,NK Cells,182,0.07056998836758434
GSM4029900_JB17005,Non-classical Monocytes,350,0.13571151609150833
GSM4029900_JB17005,Plasma Cells,4,0.0015509887553315238
GSM4029900_JB17005,cDCs,79,0.030632027917797598
GSM4029900_JB17005,pDCs,13,0.005040713454827452
GSM4029901_JB17006,B Cells,394,0.10092213114754098
GSM4029901_JB17006,CD4 T Cells,691,0.17699795081967212
GSM4029901_JB17006,CD8 T Cells,303,0.0776127049180328
GSM4029901_JB17006,Classical Monocytes,1798,0.4605532786885246
GSM4029901_JB17006,IFN-stimulated T Cells,2,0.0005122950819672131
GSM4029901_JB17006,NK Cells,123,0.0315061475409836
GSM4029901_JB17006,Non-classical Monocytes,525,0.13447745901639344
GSM4029901_JB17006,cDCs,60,0.015368852459016393
GSM4029901_JB17006,pDCs,8,0.0020491803278688526
GSM4029902_JB17007,B Cells,401,0.17381881231035978
GSM4029902_JB17007,CD4 T Cells,326,0.14130905938448202
GSM4029902_JB17007,CD8 T Cells,447,0.19375812743823148
GSM4029902_JB17007,Classical Monocytes,559,0.2423060251408756
GSM4029902_JB17007,IFN-stimulated T Cells,40,0.017338534893801473
GSM4029902_JB17007,NK Cells,188,0.08149111400086692
GSM4029902_JB17007,Non-classical Monocytes,301,0.1304724750758561
GSM4029902_JB17007,Plasma Cells,2,0.0008669267446900737
GSM4029902_JB17007,cDCs,34,0.014737754659731253
GSM4029902_JB17007,pDCs,9,0.0039011703511053317
GSM4029903_JB17008,B Cells,547,0.17185045554508324
GSM4029903_JB17008,CD4 T Cells,774,0.24316682375117812
GSM4029903_JB17008,CD8 T Cells,960,0.3016022620169651
GSM4029903_JB17008,Classical Monocytes,229,0.07194470625196356
GSM4029903_JB17008,IFN-stimulated T Cells,44,0.013823437009110902
GSM4029903_JB17008,NK Cells,492,0.15457115928369464
GSM4029903_JB17008,Non-classical Monocytes,111,0.034872761545711596
GSM4029903_JB17008,Plasma Cells,6,0.001885014137606032
GSM4029903_JB17008,cDCs,12,0.003770028275212064
GSM4029903_JB17008,pDCs,8,0.0025133521834747093
GSM4029904_JB17015,B Cells,1339,0.18957949879654537
GSM4029904_JB17015,CD4 T Cells,849,0.12020387937137193
GSM4029904_JB17015,CD8 T Cells,707,0.10009910802775025
GSM4029904_JB17015,Classical Monocytes,2574,0.36443437632733966
GSM4029904_JB17015,IFN-stimulated T Cells,53,0.007503893529661617
GSM4029904_JB17015,NK Cells,464,0.06569446410873567
GSM4029904_JB17015,Non-classical Monocytes,979,0.1386096559535608
GSM4029904_JB17015,Plasma Cells,19,0.0026900750389352965
GSM4029904_JB17015,cDCs,65,0.009202888291094436
GSM4029904_JB17015,pDCs,14,0.0019821605550049554
GSM4029905_JB17016,B Cells,1626,0.206581120569178
GSM4029905_JB17016,CD4 T Cells,366,0.04649980942701055
GSM4029905_JB17016,CD8 T Cells,782,0.09935205183585313
GSM4029905_JB17016,Classical Monocytes,2724,0.3460805488502096
GSM4029905_JB17016,IFN-stimulated T Cells,12,0.00152458391563969
GSM4029905_JB17016,NK Cells,882,0.11205691779951721
GSM4029905_JB17016,Non-classical Monocytes,1291,0.1640198195909033
GSM4029905_JB17016,Plasma Cells,120,0.0152458391563969
GSM4029905_JB17016,cDCs,48,0.00609833566255876
GSM4029905_JB17016,pDCs,20,0.002540973192732817
GSM4029906_JB17014,B Cells,727,0.1103186646433991
GSM4029906_JB17014,CD4 T Cells,1326,0.20121396054628224
GSM4029906_JB17014,CD8 T Cells,915,0.13884673748103188
GSM4029906_JB17014,Classical Monocytes,1961,0.29757207890743553
GSM4029906_JB17014,IFN-stimulated T Cells,85,0.012898330804248861
GSM4029906_JB17014,NK Cells,743,0.11274658573596358
GSM4029906_JB17014,Non-classical Monocytes,679,0.10303490136570562
GSM4029906_JB17014,Plasma Cells,12,0.0018209408194233688
GSM4029906_JB17014,cDCs,117,0.017754172989377846
GSM4029906_JB17014,pDCs,25,0.0037936267071320183
GSM4029907_JB17010,B Cells,1754,0.2282962384485227
GSM4029907_JB17010,CD4 T Cells,913,0.1188337888845503
GSM4029907_JB17010,CD8 T Cells,2068,0.26916569048548744
