group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL21,244.0927,0.7418646,0.0,0.0
0,RPL32,243.00471,0.71772337,0.0,0.0
0,RPL31,235.794,0.8789448,0.0,0.0
0,RPL13,233.8882,0.7191151,0.0,0.0
0,RPS6,230.31262,0.8725521,0.0,0.0
0,RPS12,221.76428,0.83719176,0.0,0.0
0,RPL34,220.47774,0.6881449,0.0,0.0
0,RPL11,218.37994,0.63838047,0.0,0.0
0,RPS25,217.57773,0.8172291,0.0,0.0
0,RPS13,216.79391,0.72708994,0.0,0.0
0,RPL35A,216.75574,0.6899368,0.0,0.0
0,RPS27A,216.71692,0.73525137,0.0,0.0
0,RPL30,215.76662,0.83437425,0.0,0.0
0,RPS15A,212.91133,0.6968819,0.0,0.0
0,RPS3A,210.92584,0.8300692,0.0,0.0
0,RPLP2,210.48997,0.6941903,0.0,0.0
0,RPS14,209.22383,0.6259808,0.0,0.0
0,RPS27,206.46187,0.6876119,0.0,0.0
0,RPS29,201.92145,0.7646139,0.0,0.0
0,RPL7,200.50511,0.64326924,0.0,0.0
1,JUNB,197.54298,1.5455979,0.0,0.0
1,RPS6,167.89272,0.7203036,0.0,0.0
1,RPL13,162.20758,0.568145,0.0,0.0
1,RPS12,161.42363,0.67352617,0.0,0.0
1,RPL3,159.64032,0.7298836,0.0,0.0
1,RPS3,158.16632,0.63476974,0.0,0.0
1,RPL31,157.08273,0.68157655,0.0,0.0
1,EEF1A1,156.15262,0.598999,0.0,0.0
1,RPL32,155.5579,0.52371335,0.0,0.0
1,RPS14,153.75996,0.50965166,0.0,0.0
1,RPS18,153.6935,0.5814936,0.0,0.0
1,RPS4X,150.34183,0.6177162,0.0,0.0
1,RPS25,148.56525,0.64136815,0.0,0.0
1,RPL34,147.81885,0.5237977,0.0,0.0
1,RPL21,144.91046,0.5027972,0.0,0.0
1,RPS28,143.36812,0.4642636,0.0,0.0
1,RPL10,142.56941,0.46173972,0.0,0.0
1,RPS2,141.55396,0.5074316,0.0,0.0
1,RPS15A,141.09624,0.5340093,0.0,0.0
1,RPS29,140.86942,0.6267164,0.0,0.0
2,S100A9,302.76367,6.8987412,0.0,0.0
2,S100A8,301.98346,6.879853,0.0,0.0
2,LYZ,299.59973,6.8605776,0.0,0.0
2,S100A6,287.03836,3.2600012,0.0,0.0
2,FTL,282.90787,2.988861,0.0,0.0
2,TYROBP,282.2359,5.1076393,0.0,0.0
2,NEAT1,280.38403,3.7383342,0.0,0.0
2,CTSS,278.4863,4.2110357,0.0,0.0
2,FCN1,275.3521,5.4096437,0.0,0.0
2,CST3,275.15344,5.3020687,0.0,0.0
2,S100A12,274.50534,6.378289,0.0,0.0
2,GPX1,272.1034,3.9428267,0.0,0.0
2,LGALS1,270.6067,4.4098444,0.0,0.0
2,CSTA,266.00354,5.3613005,0.0,0.0
2,VCAN,265.5163,5.9492955,0.0,0.0
2,S100A4,263.67303,3.1994035,0.0,0.0
2,LST1,262.31592,4.382889,0.0,0.0
2,SRGN,259.53165,2.9365313,0.0,0.0
2,FTH1,257.75647,1.9822947,0.0,0.0
2,MNDA,257.73373,5.2835283,0.0,0.0
3,CD74,276.6637,4.7220488,0.0,0.0
3,CD79A,269.56393,6.9900017,0.0,0.0
3,HLA-DRA,266.31213,4.9971037,0.0,0.0
3,HLA-DPB1,254.98318,4.1785893,0.0,0.0
3,CD37,249.1526,2.5880585,0.0,0.0
3,HLA-DRB1,248.50775,4.233891,0.0,0.0
3,HLA-DPA1,247.6873,4.1656113,0.0,0.0
3,HLA-DQB1,245.0575,4.6915746,0.0,0.0
3,MS4A1,234.75188,7.3778706,0.0,0.0
