group,field,source_value,missing_or_not_reported,n_donors,group_total
aHD,Race,AA,False,2,5
aHD,Race,H,False,2,5
aHD,Race,C,False,1,5
aHD,Ethnicity,NH,False,3,5
aHD,Ethnicity,H,False,2,5
aHD,MMF,ND,True,5,5
aHD,OS,ND,True,5,5
aHD,MTX,ND,True,5,5
aHD,Plaquenil,ND,True,5,5
aHD,Collection_year,2018,False,5,5
aSLE,Race,H,False,2,7
aSLE,Race,C,False,2,7
aSLE,Race,not reported,True,2,7
aSLE,Race,AA,False,1,7
aSLE,Ethnicity,H,False,4,7
aSLE,Ethnicity,NH,False,2,7
aSLE,Ethnicity,not reported,True,1,7
aSLE,MMF,0,False,6,7
aSLE,MMF,1,False,1,7
aSLE,OS,1,False,4,7
aSLE,OS,0,False,3,7
aSLE,MTX,0,False,6,7
aSLE,MTX,1,False,1,7
aSLE,Plaquenil,1,False,5,7
aSLE,Plaquenil,0,False,2,7
aSLE,Collection_year,2018,False,7,7
cHD,Race,C,False,4,11
cHD,Race,AA,False,4,11
cHD,Race,H,False,3,11
cHD,Ethnicity,NH,False,8,11
cHD,Ethnicity,H,False,3,11
cHD,MMF,ND,True,11,11
cHD,OS,ND,True,11,11
cHD,MTX,ND,True,11,11
cHD,Plaquenil,ND,True,11,11
cHD,Collection_year,2018,False,8,11
cHD,Collection_year,2017,False,3,11
cSLE,Race,H,False,14,33
cSLE,Race,AA,False,12,33
cSLE,Race,As,False,4,33
cSLE,Race,C,False,3,33
cSLE,Ethnicity,NH,False,18,33
cSLE,Ethnicity,H,False,15,33
cSLE,MMF,0,False,17,33
cSLE,MMF,1,False,16,33
cSLE,OS,1,False,20,33
cSLE,OS,0,False,13,33
cSLE,MTX,0,False,32,33
cSLE,MTX,1,False,1,33
cSLE,Plaquenil,1,False,21,33
cSLE,Plaquenil,0,False,12,33
cSLE,Collection_year,2017,False,13,33
cSLE,Collection_year,2018,False,8,33
cSLE,Collection_year,2014,False,7,33
cSLE,Collection_year,2016,False,5,33
