interaction_id,source_primary,target_primary,ligand_complex_primary,receptor_complex_primary,interaction_coef_primary,interaction_ci95_low_primary,interaction_ci95_high_primary,n_observations_primary,interaction_p_value_primary,fdr_q_value_primary,n_cHD_primary,mean_cHD_primary,n_cSLE_primary,mean_cSLE_primary,n_aHD_primary,mean_aHD_primary,n_aSLE_primary,mean_aSLE_primary,source_sensitivity,target_sensitivity,ligand_complex_sensitivity,receptor_complex_sensitivity,interaction_coef_sensitivity,interaction_ci95_low_sensitivity,interaction_ci95_high_sensitivity,n_observations_sensitivity,interaction_p_value_sensitivity,fdr_q_value_sensitivity,n_cHD_sensitivity,mean_cHD_sensitivity,n_cSLE_sensitivity,mean_cSLE_sensitivity,n_aHD_sensitivity,mean_aHD_sensitivity,n_aSLE_sensitivity,mean_aSLE_sensitivity
NK Cells|CD8 T Cells|LCK|CD8A_CD8B,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.3709022534530245,-0.5288192006969757,-0.21298530620907327,56,4.156464976513509e-06,0.001002619075903565,11,0.4116891810007433,33,0.30743641966182006,5,0.3000237059236722,7,0.5666731980377735,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.3386769115213632,-0.4725923660846578,-0.2047614569580686,56,7.165700531838347e-07,0.0002484468525972,11,0.5699098388956658,33,0.4468870314459156,5,0.5025135756992594,7,0.7181676797708724
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2786078745038154,-0.39449205976630103,-0.1627236892413298,55,2.4514034587201872e-06,0.001002619075903565,11,0.9111971897590002,32,0.675268549141254,5,0.8271275842468622,7,0.8698068181329314,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2245958432201745,-0.3159615979717637,-0.1332300884685854,55,1.4500789062093817e-06,0.0002484468525972,11,0.941663074545086,32,0.7560138516272722,5,0.8934965989027269,7,0.9324432192050875
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2826151149676057,-0.4022303636536167,-0.16299986628159474,55,3.6423863057842448e-06,0.001002619075903565,11,0.8500943333395938,32,0.6283635827216776,5,0.7667218155189108,7,0.8276061798686002,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2477856980452391,-0.3483080570443128,-0.1472633390461653,55,1.356622563093213e-06,0.0002484468525972,11,0.8994939376814703,32,0.7049789355819216,5,0.8503277065620181,7,0.9035984025077084
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.40258005748475245,0.23153181922492078,0.5736282957445842,53,3.969330316884271e-06,0.001002619075903565,11,0.23949496308222767,32,0.42373129717300684,5,0.5523988389128482,5,0.33405511551887496,CD4 T Cells,NK Cells,CD48,CD244,0.1699643827292457,-0.0480779271868526,0.388006692645344,53,0.126563309758013,0.4549198686406903,11,0.3483156207329801,32,0.4305153711961181,5,0.4759998148337971,5,0.3882351825676894
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2853884587906127,-0.4097561653646453,-0.16102075221658008,55,6.873808210363625e-06,0.001019901293212703,11,0.8400557467920048,32,0.6232156992041832,5,0.7218137650597051,7,0.7903621762624962,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.244192202788619,-0.3448123611713068,-0.1435720444059312,55,1.968993599119779e-06,0.0002530156774868,11,0.892700741730053,32,0.7055195252182118,5,0.8181822835792006,7,0.8751932698559786
CD4 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.3380432830895402,-0.4860892779540733,-0.18999728822500708,56,7.62982604459915e-06,0.0010654827664634341,11,0.512264230502195,33,0.4142647872608883,5,0.26946338640043005,7,0.5095072262486634,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.2666366939272386,-0.3962913659616629,-0.1369820218928144,56,5.561239062682612e-05,0.0040835383974555,11,0.6495732848233357,33,0.571282466468439,5,0.4815143510688314,7,0.6698602266411735
Non-classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.22046738571078917,-0.32778968228138766,-0.11314508914019065,56,5.666953001394427e-05,0.0038438132643743915,11,0.6657383484096715,33,0.5607458556350101,5,0.5112340833242648,7,0.6267089762603926,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.162461444297818,-0.2385777205234061,-0.08634516807223,56,2.872852397980947e-05,0.0024610768876036,11,0.770513002970144,33,0.7054588683509346,5,0.6722090443296096,7,0.7696163540082183
Classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.281542182394484,-0.424397102033939,-0.138687262755029,56,0.0001121187056441546,0.005432036881616796,11,0.474375310774505,33,0.40595030418472117,5,0.24099600599363563,7,0.45411318179833576,Classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.2461049089865135,-0.3752345674846644,-0.1169752504883626,56,0.0001873834121851,0.0120393842328981,11,0.6220809725638495,33,0.5552588301909839,5,0.4421596916950062,7,0.6214424583086541
CD8 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD8 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.2960852188142947,-0.45977299401393323,-0.13239744361465625,56,0.0003922201416585579,0.012755213921882417,11,0.5334343919096358,33,0.4702633928549484,5,0.3539332160418637,7,0.5868474358014709,CD8 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.2265438739973734,-0.3706829805761909,-0.0824047674185559,56,0.002066662762895,0.0379380235760023,11,0.6678300521085118,33,0.6294784419131588,5,0.5450672810801207,7,0.7332595448821412
CD8 T Cells|NK Cells|CD48|CD244,CD8 T Cells,NK Cells,CD48,CD244,0.3685104597405967,0.16446628500959531,0.5725546344715982,53,0.00040049238952197605,0.012848228820610421,11,0.24376150424945955,32,0.4186182889344334,5,0.5564496890144579,5,0.36279601395883504,CD8 T Cells,NK Cells,CD48,CD244,0.1609189479961114,-0.0746821142869825,0.3965200102792053,53,0.1806736085856499,0.5382537725036332,11,0.342741323523956,32,0.4325534386630901,5,0.486862808761931,5,0.4157559759049537
Non-classical Monocytes|NK Cells|BAG6|NCR3,Non-classical Monocytes,NK Cells,BAG6,NCR3,-0.20211346970140454,-0.3152401247020909,-0.08898681470071818,55,0.00046230730810906573,0.014070737813473361,11,0.41100998725749255,33,0.23896367335717839,5,0.0038646498590787946,6,0.03393180566016918,Non-classical Monocytes,NK Cells,BAG6,NCR3,-0.2252013118233925,-0.3795664156112569,-0.0708362080355281,55,0.0042448757811017,0.0623418698137131,11,0.41631734247967,33,0.2399829089619554,5,0.03167920320242,6,0.0805460815080979
Non-classical Monocytes|Non-classical Monocytes|CD52|SIGLEC10,Non-classical Monocytes,Non-classical Monocytes,CD52,SIGLEC10,-0.31756281441756373,-0.506101997824869,-0.12902363101025846,55,0.0009626107894905715,0.021973442444717467,11,0.872314366531855,32,0.5696946306642994,5,0.7439057103848759,7,0.7588487889348839,Non-classical Monocytes,Non-classical Monocytes,CD52,SIGLEC10,-0.2690226931223556,-0.4125080972100348,-0.1255372890346764,55,0.0002380707194671,0.0134610019451615,11,0.9121649276205258,32,0.6617450437605878,5,0.832613490131678,7,0.8512162993940956
