interaction_id,source_primary,target_primary,ligand_complex_primary,receptor_complex_primary,interaction_coef_primary,interaction_ci95_low_primary,interaction_ci95_high_primary,n_observations_primary,interaction_p_value_primary,fdr_q_value_primary,n_cHD_primary,mean_cHD_primary,n_cSLE_primary,mean_cSLE_primary,n_aHD_primary,mean_aHD_primary,n_aSLE_primary,mean_aSLE_primary,source_female,target_female,ligand_complex_female,receptor_complex_female,interaction_coef_female,interaction_ci95_low_female,interaction_ci95_high_female,n_observations_female,interaction_p_value_female,fdr_q_value_female,n_cHD_female,mean_cHD_female,n_cSLE_female,mean_cSLE_female,n_aHD_female,mean_aHD_female,n_aSLE_female,mean_aSLE_female
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.3220652674780353,-0.4306674410985377,-0.2134630938575329,56,6.15934657730052e-09,1.4622288774511436e-05,11,0.6655895952955124,33,0.4407838370552549,5,0.5867941950125122,7,0.68405370425029,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.31768763000634515,-0.4292725708776893,-0.20610268913500102,52,2.4036567287808322e-08,5.7038774173969145e-05,10,0.6672240557868528,30,0.4467959350182855,5,0.5867941950125122,7,0.68405370425029
CD8 T Cells|Non-classical Monocytes|IL16|CD4,CD8 T Cells,Non-classical Monocytes,IL16,CD4,-0.35067926773196334,-0.48675482142746274,-0.21460371403646394,56,4.394842468689828e-07,0.0005216678010334827,11,0.3153551812168114,33,0.1265819022008632,5,0.2558882703593863,7,0.4177942590754015,CD8 T Cells,Non-classical Monocytes,IL16,CD4,-0.3305554411728929,-0.4687805061576623,-0.19233037618812354,52,2.7708344097182865e-06,0.0016437975135653734,10,0.3043785089541214,30,0.13572905649724368,5,0.2558882703593863,7,0.4177942590754015
CD8 T Cells|Classical Monocytes|IL16|CD4,CD8 T Cells,Classical Monocytes,IL16,CD4,-0.2830855924696821,-0.40535604500602684,-0.16081513993333743,56,5.68469831682003e-06,0.001002619075903565,11,0.27831914717433165,33,0.07081979234532067,5,0.25034005189730146,7,0.3259262895379726,CD8 T Cells,Classical Monocytes,IL16,CD4,-0.268485732932643,-0.3960792968563543,-0.1408921690089317,52,3.7201298587399365e-05,0.0036782783978291118,10,0.2708012668718246,30,0.07790177157985273,5,0.25034005189730146,7,0.3259262895379726
Non-classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Non-classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.4548448904640047,0.2656103327187822,0.6440794482092272,56,2.4653235040736458e-06,0.001002619075903565,11,0.14342266025937783,33,0.30845465539638983,5,0.4639496577391998,7,0.17413676241220705,Non-classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.44243966147027897,0.2508811256754676,0.6339981972650903,52,5.985603537277641e-06,0.002294269877204561,10,0.14341128454095253,30,0.2960380506842388,5,0.4639496577391998,7,0.17413676241220705
NK Cells|CD8 T Cells|LCK|CD8A_CD8B,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.3709022534530245,-0.5288192006969757,-0.21298530620907327,56,4.156464976513509e-06,0.001002619075903565,11,0.4116891810007433,33,0.30743641966182006,5,0.3000237059236722,7,0.5666731980377735,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.36865778036949404,-0.5342727553133665,-0.20304280542562161,52,1.283694745755195e-05,0.002294269877204561,10,0.41642392130225786,30,0.31441563304686504,5,0.3000237059236722,7,0.5666731980377735
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2786078745038154,-0.39449205976630103,-0.1627236892413298,55,2.4514034587201872e-06,0.001002619075903565,11,0.9111971897590002,32,0.675268549141254,5,0.8271275842468622,7,0.8698068181329314,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2826853494549477,-0.4037690324159963,-0.16160166649389912,51,4.744337852161157e-06,0.002251662744635685,10,0.9148591000013091,29,0.6748529844324306,5,0.8271275842468622,7,0.8698068181329314
Classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.4022915853372883,0.22894386786775858,0.5756393028068181,56,5.4022350021856055e-06,0.001002619075903565,11,0.2011100585440565,33,0.3422717354141288,5,0.5137529906415061,7,0.25262308217429014,Classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.38703969752874323,0.21097319411775486,0.5631062009397316,52,1.6435983106817336e-05,0.002294269877204561,10,0.21269973937823342,30,0.3386095284397606,5,0.5137529906415061,7,0.25262308217429014
Non-classical Monocytes|NK Cells|CD48|CD2,Non-classical Monocytes,NK Cells,CD48,CD2,-0.3843420234711049,-0.5402872776087363,-0.22839676933347355,56,1.3617757137124808e-06,0.001002619075903565,11,0.5556362058137908,33,0.3642836343784136,5,0.5597028398780657,7,0.7526922919137934,Non-classical Monocytes,NK Cells,CD48,CD2,-0.39574857471840486,-0.5536744494010105,-0.23782270003579922,52,9.038222949575141e-07,0.0010723851529670905,10,0.5752693920453618,30,0.3725102693626846,5,0.5597028398780657,7,0.7526922919137934
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2826151149676057,-0.4022303636536167,-0.16299986628159474,55,3.6423863057842448e-06,0.001002619075903565,11,0.8500943333395938,32,0.6283635827216776,5,0.7667218155189108,7,0.8276061798686002,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2850269595701074,-0.4095492240409492,-0.16050469509926557,51,7.2475212570136025e-06,0.002294269877204561,10,0.8519294321838886,29,0.6277868369634707,5,0.7667218155189108,7,0.8276061798686002
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.31232444088690003,0.1804315994235948,0.4442172823502053,56,3.4634589319556545e-06,0.001002619075903565,11,0.27819559108237374,33,0.3503241539002543,5,0.39017808613883165,7,0.14998220806981216,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.31219528982155337,0.17482209546203456,0.4495684841810722,52,8.419560492661939e-06,0.002294269877204561,10,0.2745618311715062,30,0.34656124292404006,5,0.39017808613883165,7,0.14998220806981216
