interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.31768763000634515,-0.4292725708776893,-0.20610268913500102,52,2.4036567287808322e-08,5.7038774173969145e-05,10,0.6672240557868528,30,0.4467959350182855,5,0.5867941950125122,7,0.68405370425029
Non-classical Monocytes|NK Cells|CD48|CD2,Non-classical Monocytes,NK Cells,CD48,CD2,-0.39574857471840486,-0.5536744494010105,-0.23782270003579922,52,9.038222949575141e-07,0.0010723851529670905,10,0.5752693920453618,30,0.3725102693626846,5,0.5597028398780657,7,0.7526922919137934
NK Cells|CD8 T Cells|HLA-B|CD8B,NK Cells,CD8 T Cells,HLA-B,CD8B,-0.005486172992138494,-0.007776551264062809,-0.0031957947202141783,52,2.6696257465429297e-06,0.0016437975135653734,10,0.999381647733086,30,0.9974803536499536,5,0.9956257521143128,7,0.9992106310233188
CD8 T Cells|Non-classical Monocytes|IL16|CD4,CD8 T Cells,Non-classical Monocytes,IL16,CD4,-0.3305554411728929,-0.4687805061576623,-0.19233037618812354,52,2.7708344097182865e-06,0.0016437975135653734,10,0.3043785089541214,30,0.13572905649724368,5,0.2558882703593863,7,0.4177942590754015
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2826853494549477,-0.4037690324159963,-0.16160166649389912,51,4.744337852161157e-06,0.002251662744635685,10,0.9148591000013091,29,0.6748529844324306,5,0.8271275842468622,7,0.8698068181329314
Non-classical Monocytes|CD8 T Cells|CD48|CD2,Non-classical Monocytes,CD8 T Cells,CD48,CD2,-0.3060576809574864,-0.4446845857227889,-0.1674307761921839,52,1.5103813861759921e-05,0.002294269877204561,10,0.6437360118825726,30,0.494687152288338,5,0.5387818134511673,7,0.6957906348144192
Classical Monocytes|NK Cells|TGFB1|ITGB1,Classical Monocytes,NK Cells,TGFB1,ITGB1,-0.45485848982242694,-0.6607375818657321,-0.24897939777912184,51,1.4894567265502524e-05,0.002294269877204561,10,0.3771332451765483,30,0.17833250555857164,5,0.10293905296295303,6,0.35899680316740334
Classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.44721032370228536,-0.6462178243915546,-0.24820282301301605,51,1.0605864005754245e-05,0.002294269877204561,10,0.24153142379927947,29,0.2102554441104498,5,0.1524443772132305,7,0.5683787212266862
Non-classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Non-classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.44243966147027897,0.2508811256754676,0.6339981972650903,52,5.985603537277641e-06,0.002294269877204561,10,0.14341128454095253,30,0.2960380506842388,5,0.4639496577391998,7,0.17413676241220705
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.28795317485830985,-0.4164785768091658,-0.15942777290745394,51,1.1273846284053708e-05,0.002294269877204561,10,0.8429353668847867,29,0.6235306032292679,5,0.7218137650597051,7,0.7903621762624962
CD4 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.34422431349769794,-0.4992479723132568,-0.18920065468213912,52,1.3488421622926429e-05,0.002294269877204561,10,0.510519850279657,30,0.4063393766301923,5,0.26946338640043005,7,0.5095072262486634
NK Cells|CD8 T Cells|LCK|CD8A_CD8B,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.36865778036949404,-0.5342727553133665,-0.20304280542562161,52,1.283694745755195e-05,0.002294269877204561,10,0.41642392130225786,30,0.31441563304686504,5,0.3000237059236722,7,0.5666731980377735
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.39312751588101236,0.21968833423294537,0.5665666975290793,49,8.889054012886461e-06,0.002294269877204561,10,0.2500429519779052,29,0.4248267444649443,5,0.5523988389128482,5,0.33405511551887496
Classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.38703969752874323,0.21097319411775486,0.5631062009397316,52,1.6435983106817336e-05,0.002294269877204561,10,0.21269973937823342,30,0.3386095284397606,5,0.5137529906415061,7,0.25262308217429014
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2850269595701074,-0.4095492240409492,-0.16050469509926557,51,7.2475212570136025e-06,0.002294269877204561,10,0.8519294321838886,29,0.6277868369634707,5,0.7667218155189108,7,0.8276061798686002
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.31219528982155337,0.17482209546203456,0.4495684841810722,52,8.419560492661939e-06,0.002294269877204561,10,0.2745618311715062,30,0.34656124292404006,5,0.39017808613883165,7,0.14998220806981216
B Cells|B Cells|LTB|CD40,B Cells,B Cells,LTB,CD40,-0.36132426471674983,-0.5253276543455973,-0.1973208750879024,52,1.5738026228831716e-05,0.002294269877204561,10,0.7825190986815316,30,0.6115457650927133,5,0.6399719706540419,7,0.8303229017819733
