interaction_id,source_primary,target_primary,ligand_complex_primary,receptor_complex_primary,interaction_coef_primary,interaction_ci95_low_primary,interaction_ci95_high_primary,n_observations_primary,interaction_p_value_primary,fdr_q_value_primary,n_cHD_primary,mean_cHD_primary,n_cSLE_primary,mean_cSLE_primary,n_aHD_primary,mean_aHD_primary,n_aSLE_primary,mean_aSLE_primary,source_sensitivity,target_sensitivity,ligand_complex_sensitivity,receptor_complex_sensitivity,interaction_coef_sensitivity,interaction_ci95_low_sensitivity,interaction_ci95_high_sensitivity,n_observations_sensitivity,interaction_p_value_sensitivity,fdr_q_value_sensitivity,n_cHD_sensitivity,mean_cHD_sensitivity,n_cSLE_sensitivity,mean_cSLE_sensitivity,n_aHD_sensitivity,mean_aHD_sensitivity,n_aSLE_sensitivity,mean_aSLE_sensitivity
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.3220652674780353,-0.4306674410985377,-0.2134630938575329,56,6.15934657730052e-09,1.4622288774511436e-05,11,0.6655895952955124,33,0.4407838370552549,5,0.5867941950125122,7,0.68405370425029,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.2970727910324652,-0.4199407535455743,-0.174204828519356,56,2.1494206502168267e-06,0.0010583720732636,11,0.7168938225507969,33,0.5185404506706673,5,0.6043849111883637,7,0.7031043303406993
CD8 T Cells|Non-classical Monocytes|IL16|CD4,CD8 T Cells,Non-classical Monocytes,IL16,CD4,-0.35067926773196334,-0.48675482142746274,-0.21460371403646394,56,4.394842468689828e-07,0.0005216678010334827,11,0.3153551812168114,33,0.1265819022008632,5,0.2558882703593863,7,0.4177942590754015,CD8 T Cells,Non-classical Monocytes,IL16,CD4,-0.303199265289406,-0.4637048451892414,-0.1426936853895706,56,0.0002135497142451,0.0105811789783831,11,0.1670077780460252,33,0.0694109007214481,5,0.1254286459417813,7,0.3310310339066102
CD8 T Cells|Classical Monocytes|IL16|CD4,CD8 T Cells,Classical Monocytes,IL16,CD4,-0.2830855924696821,-0.40535604500602684,-0.16081513993333743,56,5.68469831682003e-06,0.001002619075903565,11,0.27831914717433165,33,0.07081979234532067,5,0.25034005189730146,7,0.3259262895379726,CD8 T Cells,Classical Monocytes,IL16,CD4,-0.1901461524156953,-0.351344793780299,-0.0289475110510916,56,0.0207816657679336,0.1810336439933056,11,0.1401214917285405,33,0.0406466392848249,5,0.1195778986989436,7,0.2102491986709233
Non-classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Non-classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.4548448904640047,0.2656103327187822,0.6440794482092272,56,2.4653235040736458e-06,0.001002619075903565,11,0.14342266025937783,33,0.30845465539638983,5,0.4639496577391998,7,0.17413676241220705,Non-classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.3940979613395661,0.2042267414666082,0.583969181212524,56,4.739514787630486e-05,0.004343221735438,11,0.1297084680213008,33,0.2601930028916643,5,0.4587823200991714,7,0.1951688936299687
NK Cells|CD8 T Cells|LCK|CD8A_CD8B,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.3709022534530245,-0.5288192006969757,-0.21298530620907327,56,4.156464976513509e-06,0.001002619075903565,11,0.4116891810007433,33,0.30743641966182006,5,0.3000237059236722,7,0.5666731980377735,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.4588420783362886,-0.6975570096884081,-0.2201271469841692,56,0.0001650138276211,0.0091045589380003,11,0.3570588614543883,33,0.2591677867955493,5,0.166616435587375,7,0.5275674392648246
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2786078745038154,-0.39449205976630103,-0.1627236892413298,55,2.4514034587201872e-06,0.001002619075903565,11,0.9111971897590002,32,0.675268549141254,5,0.8271275842468622,7,0.8698068181329314,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2813970020815293,-0.3985669810644777,-0.1642270230985808,55,2.512953082541338e-06,0.0010583720732636,11,0.909392681706466,32,0.6674090622839507,5,0.8254815384716299,7,0.8648949211306439
Classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.4022915853372883,0.22894386786775858,0.5756393028068181,56,5.4022350021856055e-06,0.001002619075903565,11,0.2011100585440565,33,0.3422717354141288,5,0.5137529906415061,7,0.25262308217429014,Classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.3909139727679548,0.1950529312628581,0.5867750142730515,56,9.15951034258473e-05,0.0064294673988087,11,0.1456516391986202,33,0.2737112282694702,5,0.5031982186151822,7,0.2403438349180774
Non-classical Monocytes|NK Cells|CD48|CD2,Non-classical Monocytes,NK Cells,CD48,CD2,-0.3843420234711049,-0.5402872776087363,-0.22839676933347355,56,1.3617757137124808e-06,0.001002619075903565,11,0.5556362058137908,33,0.3642836343784136,5,0.5597028398780657,7,0.7526922919137934,Non-classical Monocytes,NK Cells,CD48,CD2,-0.3787067259845953,-0.550638697506093,-0.2067747544630977,56,1.5807576829583037e-05,0.0024966091655222,11,0.5390642074021897,33,0.3566538421524482,5,0.5459690936899987,7,0.7422654544248525
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2826151149676057,-0.4022303636536167,-0.16299986628159474,55,3.6423863057842448e-06,0.001002619075903565,11,0.8500943333395938,32,0.6283635827216776,5,0.7667218155189108,7,0.8276061798686002,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2762399946078873,-0.4031564912837031,-0.1493234979320714,55,1.9904625290979945e-05,0.0029587640064886,11,0.8894844091865892,32,0.6602511782313376,5,0.7977013426169692,7,0.844708106269605
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.31232444088690003,0.1804315994235948,0.4442172823502053,56,3.4634589319556545e-06,0.001002619075903565,11,0.27819559108237374,33,0.3503241539002543,5,0.39017808613883165,7,0.14998220806981216,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.3664714545843465,0.2145896743077213,0.5183532348609716,56,2.254681194593067e-06,0.0010583720732636,11,0.2324843921965452,33,0.3462307994475615,5,0.3940637425604783,7,0.1413386952271481
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.40258005748475245,0.23153181922492078,0.5736282957445842,53,3.969330316884271e-06,0.001002619075903565,11,0.23949496308222767,32,0.42373129717300684,5,0.5523988389128482,5,0.33405511551887496,CD4 T Cells,NK Cells,CD48,CD244,0.3984408473775704,0.2308630095280921,0.5660186852270488,53,3.160537008850793e-06,0.0011409538601951,11,0.2402286151562105,32,0.4257647705009604,5,0.5524364407322481,5,0.3395317486994275
B Cells|B Cells|LTB|CD40,B Cells,B Cells,LTB,CD40,-0.3764563666674299,-0.5385724361942276,-0.21434029714063219,56,5.331225358733552e-06,0.001002619075903565,11,0.7878897721017986,33,0.6017843365623001,5,0.6399719706540419,7,0.8303229017819733,B Cells,B Cells,LTB,CD40,-0.3746674603213979,-0.5431448793440375,-0.2061900412987584,56,1.3086498977686838e-05,0.0022612287135158,11,0.7837260424354728,33,0.5913593956743218,5,0.6397879946882477,7,0.8220888082484946
Classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.46165618217592,-0.6596311661860459,-0.2636811981657941,55,4.867399212589843e-06,0.001002619075903565,11,0.26237759889251033,32,0.216655760730046,5,0.1524443772132305,7,0.5683787212266862,Classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.4477976147531642,-0.6474670944405811,-0.2481281350657473,55,1.1046711077639594e-05,0.0021473106840919,11,0.2243593466693486,32,0.1875824831573076,5,0.1401342206439307,7,0.5511549718850539
CD4 T Cells|Non-classical Monocytes|MFNG|NOTCH2,CD4 T Cells,Non-classical Monocytes,MFNG,NOTCH2,-0.2195250141625254,-0.314516119936891,-0.12453390838815984,56,5.9126651485467195e-06,0.001002619075903565,11,0.22598185896323322,33,0.10313751769333811,5,0.015579973877482356,7,0.11226064677011265,CD4 T Cells,Non-classical Monocytes,MFNG,NOTCH2,-0.1388215155747464,-0.2223428944808243,-0.0553001366686684,56,0.0011233057158663,0.0311933356482891,11,0.1487668095698274,33,0.0628538576532124,5,0.0040571370156271,7,0.0569657006737586
CD4 T Cells|Classical Monocytes|CALR|LRP1,CD4 T Cells,Classical Monocytes,CALR,LRP1,-0.37190152433385115,-0.5338472347221044,-0.20995581394559795,56,6.76424629862964e-06,0.001019901293212703,11,0.3411847738266606,33,0.21843828680388555,5,0.1222335514626431,7,0.37138858877371916,CD4 T Cells,Classical Monocytes,CALR,LRP1,-0.30943875231806,-0.4703487642524606,-0.1485287403836595,56,0.0001638254795011,0.0091045589380003,11,0.3934657991226482,33,0.2575070316377533,5,0.2079236694936637,7,0.381403654326829
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2853884587906127,-0.4097561653646453,-0.16102075221658008,55,6.873808210363625e-06,0.001019901293212703,11,0.8400557467920048,32,0.6232156992041832,5,0.7218137650597051,7,0.7903621762624962,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.3040065300917504,-0.4270061233378434,-0.1810069368456573,55,1.270852580234514e-06,0.0010583720732636,11,0.8920281523255682,32,0.6600519619297714,5,0.7451219947804345,7,0.817152334476388
CD4 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.3380432830895402,-0.4860892779540733,-0.18999728822500708,56,7.62982604459915e-06,0.0010654827664634341,11,0.512264230502195,33,0.4142647872608883,5,0.26946338640043005,7,0.5095072262486634,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.4099270749756887,-0.6411618854517244,-0.178692264499653,56,0.0005116665095979,0.0179580731910277,11,0.4485772152783347,33,0.3755570075187878,5,0.1097511598534944,7,0.4466580270696362
