sample,cell_type,n_cells
GSM4029940_JB19001,B Cells,346
GSM4029940_JB19001,CD4 T Cells,2658
GSM4029940_JB19001,CD8 T Cells,836
GSM4029940_JB19001,Classical Monocytes,493
GSM4029940_JB19001,NK Cells,1376
GSM4029940_JB19001,Non-classical Monocytes,327
GSM4029940_JB19001,Plasma Cells,22
GSM4029940_JB19001,pDCs,37
GSM4029942_JB19003,B Cells,405
GSM4029942_JB19003,CD4 T Cells,1551
GSM4029942_JB19003,CD8 T Cells,778
GSM4029942_JB19003,Classical Monocytes,1897
GSM4029942_JB19003,NK Cells,1240
GSM4029942_JB19003,Non-classical Monocytes,541
GSM4029942_JB19003,Plasma Cells,2
GSM4029942_JB19003,pDCs,47
GSM4029943_JB19004,B Cells,64
GSM4029943_JB19004,CD4 T Cells,525
GSM4029943_JB19004,CD8 T Cells,731
GSM4029943_JB19004,Classical Monocytes,527
GSM4029943_JB19004,NK Cells,1662
GSM4029943_JB19004,Non-classical Monocytes,353
GSM4029943_JB19004,Plasma Cells,18
GSM4029943_JB19004,pDCs,18
GSM4029944_JB19006,B Cells,55
GSM4029944_JB19006,CD4 T Cells,642
GSM4029944_JB19006,CD8 T Cells,333
GSM4029944_JB19006,Classical Monocytes,1293
GSM4029944_JB19006,NK Cells,727
GSM4029944_JB19006,Non-classical Monocytes,879
GSM4029944_JB19006,Plasma Cells,31
GSM4029944_JB19006,pDCs,19
GSM4029945_JB19007,B Cells,273
GSM4029945_JB19007,CD4 T Cells,2905
GSM4029945_JB19007,CD8 T Cells,921
GSM4029945_JB19007,Classical Monocytes,1187
GSM4029945_JB19007,NK Cells,330
GSM4029945_JB19007,Non-classical Monocytes,667
GSM4029945_JB19007,Plasma Cells,47
GSM4029945_JB19007,pDCs,26
GSM4029946_JB19008,B Cells,95
GSM4029946_JB19008,CD4 T Cells,1621
GSM4029946_JB19008,CD8 T Cells,698
GSM4029946_JB19008,Classical Monocytes,1268
GSM4029946_JB19008,NK Cells,1225
GSM4029946_JB19008,Non-classical Monocytes,441
GSM4029946_JB19008,Plasma Cells,36
GSM4029946_JB19008,pDCs,58
GSM4029947_JB19009,B Cells,603
GSM4029947_JB19009,CD4 T Cells,2387
GSM4029947_JB19009,CD8 T Cells,777
GSM4029947_JB19009,Classical Monocytes,508
GSM4029947_JB19009,NK Cells,1225
GSM4029947_JB19009,Non-classical Monocytes,187
GSM4029947_JB19009,Plasma Cells,17
GSM4029947_JB19009,pDCs,22
GSM4029948_JB19010,B Cells,499
GSM4029948_JB19010,CD4 T Cells,2155
GSM4029948_JB19010,CD8 T Cells,944
GSM4029948_JB19010,Classical Monocytes,1688
GSM4029948_JB19010,NK Cells,1038
GSM4029948_JB19010,Non-classical Monocytes,474
GSM4029948_JB19010,Plasma Cells,11
GSM4029948_JB19010,pDCs,128
GSM4029949_JB19011,B Cells,491
GSM4029949_JB19011,CD4 T Cells,5176
GSM4029949_JB19011,CD8 T Cells,1245
GSM4029949_JB19011,Classical Monocytes,408
GSM4029949_JB19011,NK Cells,1470
GSM4029949_JB19011,Non-classical Monocytes,187
GSM4029949_JB19011,Plasma Cells,30
GSM4029949_JB19011,pDCs,58
GSM4029950_JB19013,B Cells,141
GSM4029950_JB19013,CD4 T Cells,1059
GSM4029950_JB19013,CD8 T Cells,909
GSM4029950_JB19013,Classical Monocytes,580
GSM4029950_JB19013,NK Cells,1217
GSM4029950_JB19013,Non-classical Monocytes,205
GSM4029950_JB19013,Plasma Cells,4
GSM4029950_JB19013,pDCs,11
GSM4029951_JB19014,B Cells,22
GSM4029951_JB19014,CD4 T Cells,1657
GSM4029951_JB19014,CD8 T Cells,420
GSM4029951_JB19014,Classical Monocytes,910
GSM4029951_JB19014,NK Cells,64
GSM4029951_JB19014,Non-classical Monocytes,268
GSM4029951_JB19014,Plasma Cells,3
GSM4029951_JB19014,pDCs,17
GSM4029952_JB19015,B Cells,132
GSM4029952_JB19015,CD4 T Cells,1119
GSM4029952_JB19015,CD8 T Cells,229
GSM4029952_JB19015,Classical Monocytes,787
GSM4029952_JB19015,NK Cells,792
GSM4029952_JB19015,Non-classical Monocytes,318
GSM4029952_JB19015,Plasma Cells,1
GSM4029952_JB19015,pDCs,16
