cohort,sample,post_qc,original_retained,restored,primary_retained,unresolved_excluded,RBC_platelet_excluded
child,GSM4029896_JB17001,4548,3405,548,3953,575,20
child,GSM4029897_JB17002,5038,3215,953,4168,859,11
child,GSM4029898_JB17003,3810,2673,702,3375,426,9
child,GSM4029899_JB17004,5995,3762,1253,5015,955,25
child,GSM4029900_JB17005,4138,2579,885,3464,650,24
child,GSM4029901_JB17006,5315,3904,844,4748,539,28
child,GSM4029902_JB17007,3817,2307,946,3253,502,62
child,GSM4029903_JB17008,6043,3183,1974,5157,856,30
child,GSM4029904_JB17015,12449,7063,3536,10599,1688,162
child,GSM4029905_JB17016,9644,7871,871,8742,667,235
child,GSM4029906_JB17014,13558,6590,4882,11472,1896,190
child,GSM4029907_JB17010,12312,7683,2839,10522,1722,68
child,GSM4029908_JB17019,5265,2609,1538,4147,535,583
child,GSM4029909_JB17020,5161,3221,1522,4743,393,25
child,GSM4029910_JB17021,4342,3696,342,4038,260,44
child,GSM4029911_JB17022,6264,2438,3083,5521,724,19
child,GSM4029912_JB17023,5477,2012,2982,4994,469,14
child,GSM4029913_JB17024,5950,3145,2447,5592,307,51
child,GSM4029914_JB17017,8540,3539,3442,6981,1551,8
child,GSM4029915_JB17018,8529,3908,3226,7134,1340,55
child,GSM4029916_JB18063,3009,2632,193,2825,176,8
child,GSM4029917_JB18064,6689,4459,1151,5610,1031,48
child,GSM4029918_JB18065,5444,2665,1532,4197,1216,31
child,GSM4029919_JB18066,2736,2000,362,2362,296,78
child,GSM4029920_JB18067,4931,2160,1527,3687,1120,124
child,GSM4029921_JB18068,3604,2345,721,3066,406,132
child,GSM4029922_JB18069,5911,3183,1767,4950,942,19
child,GSM4029923_JB18070,5346,3410,1043,4453,828,65
child,GSM4029924_JB18071,5433,3727,1104,4831,588,14
child,GSM4029925_JB18072,4826,3595,627,4222,594,10
child,GSM4029926_JB18073,5538,3400,1671,5071,450,17
child,GSM4029927_JB18074,5839,3948,1325,5273,488,78
child,GSM4029928_JB18075,4672,3500,404,3904,544,224
child,GSM4029929_JB18076,5547,3013,1717,4730,780,37
child,GSM4029930_JB18077,7705,3098,3362,6460,1215,30
child,GSM4029931_JB18078,7025,2804,3058,5862,1109,54
child,GSM4029932_JB18079,7480,3224,2881,6105,1362,13
child,GSM4029933_JB18080,4393,1956,1753,3709,655,29
child,GSM4029934_JB18081,6494,4865,692,5557,892,45
child,GSM4029935_JB18082,7422,4339,2082,6421,981,20
child,GSM4029936_JB18085,6150,2950,2307,5257,877,16
child,GSM4029937_JB18086,6505,3261,2246,5507,972,26
child,GSM4029938_JB18083,7108,4078,2105,6183,883,42
child,GSM4029939_JB18084,7127,3875,2035,5910,1186,31
adult,GSM4029940_JB19001,6975,4278,1817,6095,846,34
adult,GSM4029942_JB19003,6966,5516,945,6461,482,23
adult,GSM4029943_JB19004,4190,3366,532,3898,171,121
adult,GSM4029944_JB19006,4424,3654,325,3979,205,240
adult,GSM4029945_JB19007,7307,3995,2361,6356,919,32
adult,GSM4029946_JB19008,6048,4128,1314,5442,526,80
adult,GSM4029947_JB19009,6477,4321,1405,5726,734,17
adult,GSM4029948_JB19010,7876,5302,1635,6937,882,57
adult,GSM4029949_JB19011,12268,4749,4316,9065,3147,56
adult,GSM4029950_JB19013,4506,2884,1242,4126,365,15
adult,GSM4029951_JB19014,3691,2402,959,3361,317,13
adult,GSM4029952_JB19015,4417,2811,583,3394,321,702
