sample,cell_type,n_cells
GSM4029896_JB17001,B Cells,1419
GSM4029896_JB17001,CD4 T Cells,574
GSM4029896_JB17001,CD8 T Cells,395
GSM4029896_JB17001,Classical Monocytes,949
GSM4029896_JB17001,IFN-stimulated T Cells,29
GSM4029896_JB17001,NK Cells,90
GSM4029896_JB17001,Non-classical Monocytes,412
GSM4029896_JB17001,Plasma Cells,6
GSM4029896_JB17001,cDCs,71
GSM4029896_JB17001,pDCs,8
GSM4029897_JB17002,B Cells,994
GSM4029897_JB17002,CD4 T Cells,874
GSM4029897_JB17002,CD8 T Cells,824
GSM4029897_JB17002,Classical Monocytes,907
GSM4029897_JB17002,IFN-stimulated T Cells,29
GSM4029897_JB17002,NK Cells,108
GSM4029897_JB17002,Non-classical Monocytes,351
GSM4029897_JB17002,Plasma Cells,2
GSM4029897_JB17002,cDCs,54
GSM4029897_JB17002,pDCs,25
GSM4029898_JB17003,B Cells,401
GSM4029898_JB17003,CD4 T Cells,646
GSM4029898_JB17003,CD8 T Cells,665
GSM4029898_JB17003,Classical Monocytes,841
GSM4029898_JB17003,IFN-stimulated T Cells,55
GSM4029898_JB17003,NK Cells,160
GSM4029898_JB17003,Non-classical Monocytes,551
GSM4029898_JB17003,Plasma Cells,15
GSM4029898_JB17003,cDCs,36
GSM4029898_JB17003,pDCs,5
GSM4029899_JB17004,B Cells,444
GSM4029899_JB17004,CD4 T Cells,1213
GSM4029899_JB17004,CD8 T Cells,905
GSM4029899_JB17004,Classical Monocytes,1472
GSM4029899_JB17004,IFN-stimulated T Cells,28
GSM4029899_JB17004,NK Cells,264
GSM4029899_JB17004,Non-classical Monocytes,592
GSM4029899_JB17004,Plasma Cells,2
GSM4029899_JB17004,cDCs,53
GSM4029899_JB17004,pDCs,42
GSM4029900_JB17005,B Cells,389
GSM4029900_JB17005,CD4 T Cells,943
GSM4029900_JB17005,CD8 T Cells,624
GSM4029900_JB17005,Classical Monocytes,879
GSM4029900_JB17005,IFN-stimulated T Cells,1
GSM4029900_JB17005,NK Cells,182
GSM4029900_JB17005,Non-classical Monocytes,350
GSM4029900_JB17005,Plasma Cells,4
GSM4029900_JB17005,cDCs,79
GSM4029900_JB17005,pDCs,13
GSM4029901_JB17006,B Cells,394
GSM4029901_JB17006,CD4 T Cells,872
GSM4029901_JB17006,CD8 T Cells,966
GSM4029901_JB17006,Classical Monocytes,1798
GSM4029901_JB17006,IFN-stimulated T Cells,2
GSM4029901_JB17006,NK Cells,123
GSM4029901_JB17006,Non-classical Monocytes,525
GSM4029901_JB17006,cDCs,60
GSM4029901_JB17006,pDCs,8
GSM4029902_JB17007,B Cells,401
GSM4029902_JB17007,CD4 T Cells,987
GSM4029902_JB17007,CD8 T Cells,732
GSM4029902_JB17007,Classical Monocytes,559
GSM4029902_JB17007,IFN-stimulated T Cells,40
GSM4029902_JB17007,NK Cells,188
GSM4029902_JB17007,Non-classical Monocytes,301
GSM4029902_JB17007,Plasma Cells,2
GSM4029902_JB17007,cDCs,34
