interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,r_squared,condition_number,interaction_p_value,fdr_q_value
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.30839797232150923,-0.43634742945643623,-0.18044851518658225,51,0.22976405120561916,12.159008301833843,2.3111099942085186e-06,0.002440239022542804
Classical Monocytes|NK Cells|TGFB1|ITGB1,Classical Monocytes,NK Cells,TGFB1,ITGB1,-0.43242850427231727,-0.6130892176677836,-0.25176779087685097,51,0.2941908249516312,12.459437084095054,2.7139605342720996e-06,0.002440239022542804
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.3683069228352762,0.21031986462528487,0.5262939810452676,52,0.278614178772453,12.33200631643905,4.896805318655098e-06,0.002440239022542804
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.28381054240627146,-0.40568867184830526,-0.16193241296423766,51,0.2830936757733741,12.159008301833843,5.017501211174673e-06,0.002440239022542804
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.39264649961828374,0.22290105320142387,0.5623919460351436,49,0.37192752685212815,12.48061481727165,5.796245951161795e-06,0.002440239022542804
Non-classical Monocytes|CD4 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD4 T Cells,SELPLG,ITGB2,0.2965718435490716,0.16829940166540183,0.42484428543274144,52,0.20259676984487818,12.33200631643905,5.855863809805315e-06,0.002440239022542804
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.28599878710806553,-0.4105362186781572,-0.16146135553797386,52,0.1906870445902712,12.33200631643905,6.762340917577049e-06,0.002440239022542804
Non-classical Monocytes|CD8 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD8 T Cells,SELPLG,ITGB2,-0.4046693863064509,-0.5835179544976561,-0.22582081811524565,52,0.4160126949764743,12.33200631643905,9.220614820572115e-06,0.0026088173612143113
Non-classical Monocytes|NK Cells|CD48|CD2,Non-classical Monocytes,NK Cells,CD48,CD2,-0.3927609035487814,-0.5664646052221957,-0.21905720187536715,52,0.3894678491168453,12.33200631643905,9.35066933201885e-06,0.0026088173612143113
CD4 T Cells|Non-classical Monocytes|ARF6|SMAP1,CD4 T Cells,Non-classical Monocytes,ARF6,SMAP1,-0.4636194987189636,-0.669659812429293,-0.25757918500863425,51,0.38489673505383903,12.159008301833843,1.0327859703936307e-05,0.0026088173612143113
CD8 T Cells|Non-classical Monocytes|PTPN6|CLEC12A,CD8 T Cells,Non-classical Monocytes,PTPN6,CLEC12A,-0.3805513295950646,-0.5509907115888059,-0.21011194760132337,52,0.2842518912387826,12.33200631643905,1.2079845710293776e-05,0.002773971842200189
Classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.43344802287574424,-0.6340276667807967,-0.23286837897069176,51,0.42113695631396075,12.159008301833843,2.2810730459635307e-05,0.004673656751050511
CD4 T Cells|B Cells|LTB|CD40,CD4 T Cells,B Cells,LTB,CD40,-0.28429911801395946,-0.41623115424197166,-0.15236708178594727,52,0.1976597463819615,12.33200631643905,2.4052865306277372e-05,0.004673656751050511
