interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
Classical Monocytes|B Cells|TNFSF13B|TNFRSF13B,Classical Monocytes,B Cells,TNFSF13B,TNFRSF13B,6,1.0,0.9999903861117253,0.9999998959842145,0.0,0.0
pDCs|NK Cells|HLA-DRA|LAG3,pDCs,NK Cells,HLA-DRA,LAG3,5,0.9999999999999999,0.9999840117977937,0.9999999374543203,1.4042654220543602e-24,1.7787362012688562e-21
Classical Monocytes|Classical Monocytes|HLA-C|LILRB1,Classical Monocytes,Classical Monocytes,HLA-C,LILRB1,5,0.9999999999999999,0.9999840117977937,0.9999999374543203,1.4042654220543602e-24,1.7787362012688562e-21
Non-classical Monocytes|Non-classical Monocytes|GRN|TNFRSF1A,Non-classical Monocytes,Non-classical Monocytes,GRN,TNFRSF1A,7,0.9549937104572925,0.7190474966653483,0.9935355045286379,0.0008055353363017574,0.25508618982888986
Classical Monocytes|pDCs|HLA-DMB|CD4,Classical Monocytes,pDCs,HLA-DMB,CD4,7,0.9549937104572925,0.7190474966653483,0.9935355045286379,0.0008055353363017574,0.25508618982888986
Non-classical Monocytes|CD8 T Cells|LGALS9|CD47,Non-classical Monocytes,CD8 T Cells,LGALS9,CD47,7,0.9549937104572925,0.7190474966653483,0.9935355045286379,0.0008055353363017574,0.25508618982888986
Classical Monocytes|NK Cells|CD58|CD2,Classical Monocytes,NK Cells,CD58,CD2,7,-0.9549937104572925,-0.9935355045286379,-0.7190474966653483,0.0008055353363017574,0.25508618982888986
Non-classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Non-classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,7,-0.9549937104572925,-0.9935355045286379,-0.7190474966653483,0.0008055353363017574,0.25508618982888986
Non-classical Monocytes|pDCs|HLA-DMA|CD4,Non-classical Monocytes,pDCs,HLA-DMA,CD4,7,-0.9549937104572925,-0.9935355045286379,-0.7190474966653483,0.0008055353363017574,0.25508618982888986
CD8 T Cells|CD4 T Cells|CALM1|PTPRA,CD8 T Cells,CD4 T Cells,CALM1,PTPRA,7,0.9549937104572925,0.7190474966653483,0.9935355045286379,0.0008055353363017574,0.25508618982888986
pDCs|CD4 T Cells|SELPLG|SELL,pDCs,CD4 T Cells,SELPLG,SELL,7,0.9549937104572925,0.7190474966653483,0.9935355045286379,0.0008055353363017574,0.25508618982888986
CD4 T Cells|Classical Monocytes|CCL5|CCR1,CD4 T Cells,Classical Monocytes,CCL5,CCR1,7,0.9549937104572925,0.7190474966653483,0.9935355045286379,0.0008055353363017574,0.25508618982888986
