interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,r_squared,condition_number,interaction_p_value,fdr_q_value
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2813970020815296,-0.3985669810644781,-0.1642270230985812,55,0.2862671881843817,12.658421525295251,2.5129530825412585e-06,0.0010583720732636266
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.3040065300917503,-0.4270061233378433,-0.18100693684565733,55,0.22977306055366653,12.658421525295251,1.270852580234509e-06,0.0010583720732636266
Classical Monocytes|NK Cells|TGFB1|ITGB1,Classical Monocytes,NK Cells,TGFB1,ITGB1,-0.4346183610100479,-0.6107741986310682,-0.25846252338902764,55,0.29935841683785613,12.96329824896671,1.3267959811462507e-06,0.0010583720732636266
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.36647145458434677,0.21458967430772158,0.518353234860972,56,0.27965220421754655,12.823253107384767,2.2546811945930496e-06,0.0010583720732636266
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.2970727910324653,-0.4199407535455746,-0.17420482851935604,56,0.1933847222323707,12.823253107384767,2.1494206502168386e-06,0.0010583720732636266
Non-classical Monocytes|CD4 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD4 T Cells,SELPLG,ITGB2,0.30794424018547706,0.18263909983100438,0.43324938053994977,56,0.21647831150890007,12.823253107384767,1.4593815491725207e-06,0.0010583720732636266
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.3984408473775701,0.2308630095280919,0.5660186852270482,53,0.3657946561402178,13.009914758945065,3.1605370088508175e-06,0.001140953860195145
CD4 T Cells|Classical Monocytes|ICAM2|ITGAM_ITGB2,CD4 T Cells,Classical Monocytes,ICAM2,ITGAM_ITGB2,-0.2770228183070236,-0.39589811622017634,-0.15814752039387084,56,0.17588903353454566,12.823253107384767,4.937376137392063e-06,0.001559593687398718
CD4 T Cells|Non-classical Monocytes|ARF6|SMAP1,CD4 T Cells,Non-classical Monocytes,ARF6,SMAP1,-0.46631170484674656,-0.6718928185492459,-0.2607305911442472,55,0.3357507663702517,12.658421525295251,8.760179206058717e-06,0.0020124520776100344
CD4 T Cells|B Cells|LTB|CD40,CD4 T Cells,B Cells,LTB,CD40,-0.2988156320264186,-0.4299698243005288,-0.16766143975230835,56,0.21115127423209767,12.823253107384767,7.988529774611389e-06,0.0020124520776100344
Non-classical Monocytes|CD8 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD8 T Cells,SELPLG,ITGB2,-0.40199990944577646,-0.5784500715365465,-0.22554974735500644,56,0.405887002568602,12.823253107384767,7.995147921020854e-06,0.0020124520776100344
Classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.44779761475316393,-0.6474670944405808,-0.24812813506574702,55,0.3915921030431948,12.658421525295251,1.1046711077639715e-05,0.002147310684091966
CD8 T Cells|Non-classical Monocytes|PTPN6|CLEC12A,CD8 T Cells,Non-classical Monocytes,PTPN6,CLEC12A,-0.3752485591776572,-0.5422557626779629,-0.2082413556773515,56,0.2776886553339232,12.823253107384767,1.0634946008607982e-05,0.002147310684091966
B Cells|B Cells|LTB|CD40,B Cells,B Cells,LTB,CD40,-0.37466746032139847,-0.5431448793440381,-0.20619004129875884,56,0.24018819302061845,12.823253107384767,1.3086498977686645e-05,0.002261228713515855
CD4 T Cells|Non-classical Monocytes|IL16|CD4,CD4 T Cells,Non-classical Monocytes,IL16,CD4,-0.37770369534227854,-0.5477629966452472,-0.20764439403930993,56,0.29232691415801215,12.823253107384767,1.3422410250390908e-05,0.002261228713515855
Non-classical Monocytes|NK Cells|CD48|CD2,Non-classical Monocytes,NK Cells,CD48,CD2,-0.37870672598459554,-0.5506386975060933,-0.20677475446309784,56,0.3824710531674054,12.823253107384767,1.5807576829583037e-05,0.002496609165522271
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2762399946078874,-0.40315649128370323,-0.14932349793207159,55,0.2565946739919984,12.658421525295251,1.9904625290979725e-05,0.0029587640064885744
Non-classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Non-classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.38668335680941085,-0.5650563980720468,-0.20831031554677495,55,0.32051378130263963,12.658421525295251,2.1484300794860417e-05,0.0030161571171451263
Classical Monocytes|Non-classical Monocytes|GNAI2|S1PR4,Classical Monocytes,Non-classical Monocytes,GNAI2,S1PR4,0.4199965980815563,0.22560758252143673,0.6143856136416759,56,0.34482794326285715,12.823253107384767,2.2886204457318342e-05,0.0030438651928233395
pDCs|B Cells|GNAI2|S1PR4,pDCs,B Cells,GNAI2,S1PR4,-0.38732924380084494,-0.5677024734990126,-0.2069560141026773,41,0.23424767337788,10.286080250568475,2.567524276918431e-05,0.0032440669238864377
Non-classical Monocytes|NK Cells|ADAM17|ITGB1,Non-classical Monocytes,NK Cells,ADAM17,ITGB1,0.4412637802778073,0.232097425099223,0.6504301354563917,56,0.3311288779500734,12.823253107384767,3.552633610280347e-05,0.0035963096013764575
Classical Monocytes|CD4 T Cells|CD48|CD2,Classical Monocytes,CD4 T Cells,CD48,CD2,-0.33260581575936754,-0.489793251877244,-0.17541837964149107,56,0.167603603279594,12.823253107384767,3.364942068646692e-05,0.0035963096013764575
CD4 T Cells|Classical Monocytes|LTB|TNFRSF1A,CD4 T Cells,Classical Monocytes,LTB,TNFRSF1A,-0.396071621508781,-0.5837778921793727,-0.20836535083818933,56,0.17987404859551115,12.823253107384767,3.5396220007079386e-05,0.0035963096013764575
NK Cells|Non-classical Monocytes|GNAI2|S1PR4,NK Cells,Non-classical Monocytes,GNAI2,S1PR4,-0.3367782643853595,-0.4964298481062665,-0.17712668066445253,56,0.3262373094068457,12.823253107384767,3.557884449323761e-05,0.0035963096013764575
B Cells|CD4 T Cells|FAM3C|CLEC2D,B Cells,CD4 T Cells,FAM3C,CLEC2D,0.11290351514459665,0.05942920195141749,0.1663778283377758,56,0.20251182271913815,12.823253107384767,3.500577111459401e-05,0.0035963096013764575
B Cells|pDCs|HLA-A|LILRB1,B Cells,pDCs,HLA-A,LILRB1,-0.4578683411288545,-0.676977589768399,-0.23875909248931002,43,0.22174037878012698,10.683833490877575,4.2089710086700204e-05,0.004090796053426593
CD8 T Cells|B Cells|SELPLG|SELL,CD8 T Cells,B Cells,SELPLG,SELL,0.2894851371657188,0.14989284609828174,0.4290774282331558,56,0.14954799482493641,12.823253107384767,4.8124340558869546e-05,0.0043432217354379766
Non-classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Non-classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.3940979613395664,0.20422674146660844,0.5839691812125244,56,0.20525323148502217,12.823253107384767,4.739514787630458e-05,0.0043432217354379766
CD8 T Cells|NK Cells|CD48|CD244,CD8 T Cells,NK Cells,CD48,CD244,0.39623598274618066,0.20392043976267515,0.5885515257296862,53,0.37103937942070275,13.009914758945065,5.38633632547721e-05,0.004537090631493637
CD4 T Cells|Non-classical Monocytes|PKM|CD44,CD4 T Cells,Non-classical Monocytes,PKM,CD44,-0.26290610599921493,-0.39038997013554133,-0.1354222418628885,56,0.23130399014014225,12.823253107384767,5.300304899336217e-05,0.004537090631493637
Non-classical Monocytes|CD8 T Cells|CD48|CD2,Non-classical Monocytes,CD8 T Cells,CD48,CD2,-0.2678452812958927,-0.39924005487870773,-0.13645050771307765,56,0.1080285617357789,12.823253107384767,6.460083063908075e-05,0.005266009645966357
NK Cells|Non-classical Monocytes|HLA-B|LILRA1,NK Cells,Non-classical Monocytes,HLA-B,LILRA1,-0.20173080692873036,-0.3015979796859495,-0.10186363417151124,56,0.21757017216912988,12.823253107384767,7.522960328142543e-05,0.005805527435997351
CD8 T Cells|Non-classical Monocytes|HLA-B|LILRA1,CD8 T Cells,Non-classical Monocytes,HLA-B,LILRA1,-0.2137942606919752,-0.319682924810887,-0.10790559657306342,56,0.22547426872206555,12.823253107384767,7.581416912857641e-05,0.005805527435997351
