interaction_id,source,target,ligand_complex,receptor_complex,n_child,n_adult,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,r_squared,condition_number,interaction_p_value,fdr_q_value
B Cells|NK Cells|GNAI2|S1PR4,B Cells,NK Cells,GNAI2,S1PR4,29,7,-0.034105168591904024,-0.0445218403457265,-0.023688496838081545,36,0.3091555301278348,45.54425207889456,1.3888788073998863e-10,5.315239195919365e-07
CD8 T Cells|NK Cells|COPA|CD74,CD8 T Cells,NK Cells,COPA,CD74,20,5,0.02711440384536475,0.01619322797285494,0.03803557971787456,25,0.24532646518483947,50.52931924963028,1.1383664359367012e-06,0.0017642960252436419
Classical Monocytes|CD4 T Cells|CD58|CD2,Classical Monocytes,CD4 T Cells,CD58,CD2,29,7,0.027453297398304766,0.016307110907777037,0.0385994838888325,36,0.15682389918593354,45.333313678568594,1.3830384310768031e-06,0.0017642960252436419
CD8 T Cells|Classical Monocytes|SPON2|ITGB1,CD8 T Cells,Classical Monocytes,SPON2,ITGB1,31,5,0.017903667217463483,0.010147675931868036,0.02565965850305893,36,0.4145173709267711,60.917068211521695,6.059160191337064e-06,0.005797101513061736
Non-classical Monocytes|NK Cells|HLA-F|CD8A,Non-classical Monocytes,NK Cells,HLA-F,CD8A,21,7,0.02681476770544277,0.014830872116037312,0.038798663294848226,28,0.4146254505803496,38.418400715792586,1.1569282738704088e-05,0.008609386240163924
CD8 T Cells|Non-classical Monocytes|HLA-F|LILRB2,CD8 T Cells,Non-classical Monocytes,HLA-F,LILRB2,31,7,-0.03603943805996876,-0.052270605381589966,-0.01980827073834755,38,0.2886543623226231,45.764071517896454,1.3497861886852246e-05,0.008609386240163924
B Cells|Classical Monocytes|HSPA8|LDLR,B Cells,Classical Monocytes,HSPA8,LDLR,26,7,0.03595176764925046,0.01949723471548987,0.05240630058301105,33,0.28442622116185146,45.136662017429416,1.8492470781073944e-05,0.01011009795416714
Non-classical Monocytes|Classical Monocytes|C1QA|CD33,Non-classical Monocytes,Classical Monocytes,C1QA,CD33,23,7,-0.04043317631256803,-0.06024800075695291,-0.02061835186818314,30,0.37839417700323685,35.4837893481542,6.350109997660909e-05,0.027787687962573825
Non-classical Monocytes|pDCs|MIF|TNFRSF14,Non-classical Monocytes,pDCs,MIF,TNFRSF14,20,7,-0.0314755901314487,-0.046926872869400324,-0.01602430739349707,27,0.2685004671101189,43.22407408701167,6.534862598985221e-05,0.027787687962573825
NK Cells|Non-classical Monocytes|HLA-F|LILRB2,NK Cells,Non-classical Monocytes,HLA-F,LILRB2,31,7,-0.037189299736345695,-0.05575577848814692,-0.018622820984544475,38,0.22737717799312673,45.764071517896454,8.641476812097068e-05,0.033070931759895485
Classical Monocytes|CD8 T Cells|CD58|CD2,Classical Monocytes,CD8 T Cells,CD58,CD2,29,7,0.027002615365583592,0.012807447546060483,0.0411977831851067,36,0.2089370484175871,45.333313678568594,0.00019275914088217369,0.06706265746873442
pDCs|Non-classical Monocytes|ADAM10|CD44,pDCs,Non-classical Monocytes,ADAM10,CD44,13,5,0.027558512870742402,0.012979259662407303,0.0421377660790775,18,0.34236709367468976,50.5702931308694,0.00021153037675757105,0.06746056265426871
Non-classical Monocytes|Classical Monocytes|HSPA8|LDLR,Non-classical Monocytes,Classical Monocytes,HSPA8,LDLR,26,7,0.03341080768643256,0.015577424527450808,0.0512441908454143,33,0.21232017866909536,45.136662017429416,0.00024067041531043877,0.07084966764561916
CD8 T Cells|B Cells|SIRPG|CD47,CD8 T Cells,B Cells,SIRPG,CD47,10,6,0.01581880786841393,0.00707655973882864,0.024561055997999216,16,0.5481719489791133,35.88992502069297,0.0003903998755243011,0.08300335131286113
B Cells|CD8 T Cells|CD47|SIRPG,B Cells,CD8 T Cells,CD47,SIRPG,10,6,0.01581880786841393,0.00707655973882864,0.024561055997999216,16,0.5481719489791133,35.88992502069297,0.0003903998755243011,0.08300335131286113
CD4 T Cells|Non-classical Monocytes|PTPN6|CD300LF,CD4 T Cells,Non-classical Monocytes,PTPN6,CD300LF,31,7,-0.014240794537856238,-0.02201871206919072,-0.0064628770065217585,38,0.050533201626085766,45.764071517896454,0.000332522481181774,0.08300335131286113
Non-classical Monocytes|Non-classical Monocytes|CALM1|INSR,Non-classical Monocytes,Non-classical Monocytes,CALM1,INSR,16,7,0.05171137885342237,0.02332597318173176,0.08009678452511299,23,0.43240612498456077,27.94927306852158,0.0003561878890896468,0.08300335131286113
pDCs|pDCs|ARF1|INSR,pDCs,pDCs,ARF1,INSR,7,5,0.04618974250531676,0.02085235103075244,0.07152713397988109,12,0.4782488673603207,53.34483581539364,0.0003529290205751893,0.08300335131286113
pDCs|Classical Monocytes|APP|NCSTN,pDCs,Classical Monocytes,APP,NCSTN,16,6,0.019243013849904587,0.008561516685638274,0.0299245110141709,22,0.2619111098604948,50.63305242359032,0.0004141020084489475,0.083408862438638
B Cells|pDCs|MFNG|NOTCH2,B Cells,pDCs,MFNG,NOTCH2,15,5,0.05547659765510077,0.024501943311753423,0.08645125199844811,20,0.2905005041598153,34.626594614026956,0.00044750333403581965,0.0856297629677541
CD4 T Cells|pDCs|PTDSS1|JMJD6,CD4 T Cells,pDCs,PTDSS1,JMJD6,11,7,0.06559881029888168,0.028774365442639248,0.1024232551551241,18,0.4790786868076743,39.85564164187166,0.000480377189772743,0.08712053159170105
Non-classical Monocytes|Classical Monocytes|S100A9|CD36,Non-classical Monocytes,Classical Monocytes,S100A9,CD36,31,7,0.010439859685056565,0.004560579862383771,0.01631913950772936,38,0.35650543628900255,45.764071517896454,0.0005008235419434082,0.08712053159170105
B Cells|Non-classical Monocytes|HMGB1|TLR4,B Cells,Non-classical Monocytes,HMGB1,TLR4,24,7,0.02110292121518311,0.009019349820850458,0.03318649260951576,31,0.27440936926980586,45.07132548353478,0.0006195480938730761,0.09405959794703883
pDCs|CD4 T Cells|COPA|CD74,pDCs,CD4 T Cells,COPA,CD74,19,7,-0.022164765651624674,-0.0347931310571371,-0.009536400246112247,26,0.2274801780975061,43.4387421930963,0.000581617961601452,0.09405959794703883
CD8 T Cells|CD8 T Cells|HLA-A|APLP2,CD8 T Cells,CD8 T Cells,HLA-A,APLP2,19,5,-0.03162525747343494,-0.04975550350131917,-0.013495011445550712,24,0.5386429252821834,42.07560159199994,0.0006288926374790544,0.09405959794703883
B Cells|NK Cells|HLA-B|CD8A,B Cells,NK Cells,HLA-B,CD8A,21,7,0.02088083954232559,0.008894937189125996,0.03286674189552518,28,0.5960976477184095,38.418400715792586,0.0006390252277562084,0.09405959794703883
B Cells|NK Cells|HLA-A|CD8A,B Cells,NK Cells,HLA-A,CD8A,21,7,0.023849608814374396,0.009819428369611697,0.0378797892591371,28,0.6202765439133022,38.418400715792586,0.0008631676226327735,0.1223460182153935
Non-classical Monocytes|Classical Monocytes|HSPA4|TLR4,Non-classical Monocytes,Classical Monocytes,HSPA4,TLR4,13,7,0.06444374196816477,0.026037178460474278,0.10285030547585526,20,0.3724169233189115,35.63520332200245,0.0010065359225274954,0.1375718919825973
NK Cells|NK Cells|HLA-A|CD8A,NK Cells,NK Cells,HLA-A,CD8A,21,7,0.016227776744076335,0.0064884444148394695,0.025967109073313198,28,0.5961387807796352,38.418400715792586,0.0010918909961005723,0.14409196007161693
Non-classical Monocytes|NK Cells|ICAM2|ITGAM_ITGB2,Non-classical Monocytes,NK Cells,ICAM2,ITGAM_ITGB2,31,6,-0.035021318946650476,-0.05622308238115009,-0.01381955551215086,37,0.2549992348168313,48.92457244830117,0.0012058563299856984,0.1538270724951756
CD4 T Cells|NK Cells|HLA-A|CD8A,CD4 T Cells,NK Cells,HLA-A,CD8A,21,7,0.020533085175936473,0.008052402023334492,0.03301376832853845,28,0.5854114332371465,38.418400715792586,0.0012618775003593319,0.15578081270565042
Classical Monocytes|Classical Monocytes|S100A12|CD36,Classical Monocytes,Classical Monocytes,S100A12,CD36,31,7,0.02167111143312829,0.00824435797788968,0.0350978648883669,38,0.2540858626758119,45.764071517896454,0.0015592171455713981,0.18647262550317942
Classical Monocytes|B Cells|CD99|CD81,Classical Monocytes,B Cells,CD99,CD81,28,6,0.03294600927486954,0.012459271652686614,0.05343274689705247,34,0.2156525070692239,48.89029552966256,0.0016218895077985405,0.1880900347377277
Non-classical Monocytes|Non-classical Monocytes|CD14|TLR4,Non-classical Monocytes,Non-classical Monocytes,CD14,TLR4,24,7,-0.031046011376625923,-0.05046624817631713,-0.01162577457693471,31,0.21844072777657253,45.07132548353478,0.001728637059443044,0.19457335372025084
CD8 T Cells|NK Cells|HLA-A|CD8A,CD8 T Cells,NK Cells,HLA-A,CD8A,21,7,0.017333158625419894,0.006443634285684176,0.028222682965155614,28,0.5854921970045853,38.418400715792586,0.0018101739459208998,0.19792959117255096
B Cells|Classical Monocytes|HLA-C|LILRB1,B Cells,Classical Monocytes,HLA-C,LILRB1,19,5,-0.03148153146215739,-0.05163659513618356,-0.011326467788131216,24,0.27784314610939154,61.93438576377702,0.002203061770646636,0.23419770545179655
B Cells|pDCs|CALM1|INSR,B Cells,pDCs,CALM1,INSR,7,5,0.04236984201641362,0.015146507961888055,0.06959317607093918,12,0.6275892978326643,53.34483581539364,0.002285002596526438,0.23634337667315344
NK Cells|CD4 T Cells|CALM1|PTPRA,NK Cells,CD4 T Cells,CALM1,PTPRA,30,7,-0.015687225671261924,-0.025804423543043555,-0.005570027799480291,37,0.13334609681596632,45.54836701477913,0.002373467095306693,0.2390331203615451
NK Cells|CD8 T Cells|HLA-A|APLP2,NK Cells,CD8 T Cells,HLA-A,APLP2,19,5,-0.029202656886508783,-0.048256592974784886,-0.010148720798232681,24,0.5117347307470607,42.07560159199994,0.0026654120977345416,0.2615521050776946
Non-classical Monocytes|Non-classical Monocytes|HLA-DRB1|CD4,Non-classical Monocytes,Non-classical Monocytes,HLA-DRB1,CD4,31,7,-0.011258038890561107,-0.01864511797077391,-0.003870959810348307,38,0.4215401601903893,45.764071517896454,0.0028171156559323664,0.26295369793300405
CD4 T Cells|CD8 T Cells|TIMP1|CD63,CD4 T Cells,CD8 T Cells,TIMP1,CD63,31,7,0.030604209887451633,0.010551849998348989,0.05065656977655428,38,0.20576834201341654,45.764071517896454,0.002777686194864879,0.26295369793300405
pDCs|CD4 T Cells|HLA-C|CD8B,pDCs,CD4 T Cells,HLA-C,CD8B,5,5,-0.04000730663287886,-0.06656988586861513,-0.013444727397142583,10,0.779059237368328,44.23478969022417,0.00315717302647526,0.2747350969810885
CD4 T Cells|Classical Monocytes|HSPA8|LDLR,CD4 T Cells,Classical Monocytes,HSPA8,LDLR,26,7,-0.02884521379389595,-0.04799197565567406,-0.009698451932117842,33,0.32744480502273476,45.136662017429416,0.003149580374232171,0.2747350969810885
Non-classical Monocytes|CD4 T Cells|SECTM1|CD7,Non-classical Monocytes,CD4 T Cells,SECTM1,CD7,31,7,0.030834864754716078,0.010361230512354908,0.05130849899707725,38,0.22572717446043344,45.764071517896454,0.0031586998346401604,0.2747350969810885
CD4 T Cells|NK Cells|HLA-B|CD8A,CD4 T Cells,NK Cells,HLA-B,CD8A,21,7,0.018367368460949947,0.006130207188973369,0.030604529732926523,28,0.5776868880485614,38.418400715792586,0.003263020205270357,0.2775017405682146
Non-classical Monocytes|Non-classical Monocytes|PTDSS1|JMJD6,Non-classical Monocytes,Non-classical Monocytes,PTDSS1,JMJD6,24,7,-0.04604304856118384,-0.07695395408620251,-0.015132143036165176,31,0.4195318277363673,31.915011904471402,0.003506542339057905,0.28552207513988515
Classical Monocytes|Classical Monocytes|HLA-DRA|CD4,Classical Monocytes,Classical Monocytes,HLA-DRA,CD4,31,7,-0.014813147952776013,-0.024740329714406192,-0.0048859661911458355,38,0.40278188059630127,45.764071517896454,0.00344876839011278,0.28552207513988515
Non-classical Monocytes|CD8 T Cells|GNAI2|CXCR3,Non-classical Monocytes,CD8 T Cells,GNAI2,CXCR3,9,7,0.05374257552339329,0.01756677546993124,0.08991837557685534,16,0.5554959425364271,23.21087018763789,0.0035945384733903647,0.28658955703468597
Non-classical Monocytes|Classical Monocytes|ADAM15|ITGB1,Non-classical Monocytes,Classical Monocytes,ADAM15,ITGB1,30,7,-0.008445326245505508,-0.014158722621489137,-0.0027319298695218782,37,0.15183783271395257,45.86085741861507,0.0037657617879987277,0.2941136808708394
Non-classical Monocytes|CD4 T Cells|LGALS9|CD47,Non-classical Monocytes,CD4 T Cells,LGALS9,CD47,31,7,-0.01797379049720394,-0.030189533554424178,-0.0057580474399837045,38,0.3201593671942309,45.764071517896454,0.003928855087102113,0.3007145683667958
B Cells|Non-classical Monocytes|RPS19|C5AR1,B Cells,Non-classical Monocytes,RPS19,C5AR1,31,7,-0.002154802833767894,-0.0036287532373760196,-0.0006808524301597685,38,0.1488397701748143,45.764071517896454,0.004165912668101827,0.31197620463876335
CD4 T Cells|Classical Monocytes|CALR|LRP1,CD4 T Cells,Classical Monocytes,CALR,LRP1,31,7,0.019449754273511657,0.006090353954868465,0.032809154592154846,38,0.23152993104970365,45.764071517896454,0.004324288035750391,0.31197620463876335
