interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
cDCs|Non-classical Monocytes|NAMPT|ITGA5_ITGB1,cDCs,Non-classical Monocytes,NAMPT,ITGA5_ITGB1,6,1.0,0.9999903861117253,0.9999998959842145,0.0,0.0
pDCs|Non-classical Monocytes|MDK|NCL,pDCs,Non-classical Monocytes,MDK,NCL,5,1.0,0.9999840117977937,0.9999999374543203,0.0,0.0
CD4 T Cells|Classical Monocytes|SELPLG|ITGAM,CD4 T Cells,Classical Monocytes,SELPLG,ITGAM,31,0.7525149566402436,0.5429457629679614,0.8738486560549987,1.0468029580708672e-06,0.00454591631258242
Classical Monocytes|B Cells|SELPLG|ITGB2,Classical Monocytes,B Cells,SELPLG,ITGB2,31,0.7415391297626726,0.5251937417764272,0.8678481414113502,1.8167079570559792e-06,0.005917017816131324
CD4 T Cells|NK Cells|LGALS1|PTPRC,CD4 T Cells,NK Cells,LGALS1,PTPRC,31,0.7330040712698994,0.5115182814059318,0.8631563931358536,2.738008432235851e-06,0.0071341547710337344
B Cells|CD8 T Cells|HLA-DQA1|LAG3,B Cells,CD8 T Cells,HLA-DQA1,LAG3,30,0.7361910253228373,0.5116111054008688,0.8666132312897684,3.5350263454983487e-06,0.007675720538192081
CD4 T Cells|CD4 T Cells|LGALS1|PTPRC,CD4 T Cells,CD4 T Cells,LGALS1,PTPRC,31,0.7161581256857819,0.4848518504856313,0.8538296975697973,5.891307346636318e-06,0.010964564587425422
CD4 T Cells|Non-classical Monocytes|CD59|STAB1,CD4 T Cells,Non-classical Monocytes,CD59,STAB1,15,-0.8850229510820841,-0.9614154328419718,-0.6819114028314487,1.1627502151710212e-05,0.017430161133255323
cDCs|NK Cells|LGALS1|ITGB1,cDCs,NK Cells,LGALS1,ITGB1,30,0.7017822147791498,0.45707019679497257,0.8477234970847652,1.550702130191673e-05,0.017430161133255323
CD8 T Cells|Classical Monocytes|SELPLG|ITGAM,CD8 T Cells,Classical Monocytes,SELPLG,ITGAM,31,0.6965814175468793,0.4543937621710519,0.8428789329242601,1.3447504864684306e-05,0.017430161133255323
Non-classical Monocytes|IFN-stimulated T Cells|LGALS3BP|ITGB1,Non-classical Monocytes,IFN-stimulated T Cells,LGALS3BP,ITGB1,15,0.878886411337799,0.6668503071165103,0.9592680012070344,1.6054799938521943e-05,0.017430161133255323
Plasma Cells|NK Cells|HLA-B|KLRD1,Plasma Cells,NK Cells,HLA-B,KLRD1,16,0.8640424658318643,0.6442898939366501,0.9519983048887553,1.5950857282414394e-05,0.017430161133255323
CD4 T Cells|Classical Monocytes|LGALS1|PTPRC,CD4 T Cells,Classical Monocytes,LGALS1,PTPRC,31,0.6820553577959827,0.43215378442385466,0.8346743073645831,2.382624193307249e-05,0.02387755999262065
NK Cells|Non-classical Monocytes|CD47|SIRPA,NK Cells,Non-classical Monocytes,CD47,SIRPA,27,0.7123907594884461,0.45575339220925154,0.8596768022806726,3.065457816090528e-05,0.024918192348552356
Non-classical Monocytes|Classical Monocytes|APP|NCSTN,Non-classical Monocytes,Classical Monocytes,APP,NCSTN,23,-0.7502957354431139,-0.8878970758775204,-0.48946919855976495,3.735933354997421e-05,0.024918192348552356
NK Cells|CD4 T Cells|CD48|CD2,NK Cells,CD4 T Cells,CD48,CD2,31,0.6693856612222433,0.4130010300760152,0.8274624548229235,3.825328883720042e-05,0.024918192348552356
NK Cells|CD8 T Cells|CD48|CD2,NK Cells,CD8 T Cells,CD48,CD2,31,0.6726710478721951,0.41794585877226587,0.8293375863492088,3.390728542238896e-05,0.024918192348552356
Classical Monocytes|cDCs|SEMA4A|PLXND1,Classical Monocytes,cDCs,SEMA4A,PLXND1,14,-0.8780986580385112,-0.9609647825749904,-0.6506582265814989,3.6249716335139356e-05,0.024918192348552356
CD8 T Cells|CD8 T Cells|CD48|CD2,CD8 T Cells,CD8 T Cells,CD48,CD2,31,0.6783231309162788,0.4264882630312628,0.8325552711530115,2.7457155554838526e-05,0.024918192348552356
Non-classical Monocytes|NK Cells|SIRPA|CD47,Non-classical Monocytes,NK Cells,SIRPA,CD47,27,0.7123907594884461,0.45575339220925154,0.8596768022806726,3.065457816090528e-05,0.024918192348552356
Classical Monocytes|cDCs|COPA|P2RY6,Classical Monocytes,cDCs,COPA,P2RY6,17,-0.8270622830339913,-0.9357331329501734,-0.5749824900102256,4.2196940557786576e-05,0.025761106553392372
cDCs|CD4 T Cells|LGALS1|PTPRC,cDCs,CD4 T Cells,LGALS1,PTPRC,30,0.6745725650946593,0.41520543653526737,0.8325191819680144,4.35020221196371e-05,0.025761106553392372
CD4 T Cells|Classical Monocytes|CD59|STAB1,CD4 T Cells,Classical Monocytes,CD59,STAB1,24,-0.7324116880142535,-0.8767676028745852,-0.4669814771900895,4.718680736224133e-05,0.026728248970229566
CD4 T Cells|NK Cells|GNAS|ADCY7,CD4 T Cells,NK Cells,GNAS,ADCY7,31,0.6567388642824504,0.3941064143054424,0.820211249393036,6.0038024299281707e-05,0.028738549877502673
