interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,r_squared,condition_number,interaction_p_value,fdr_q_value,direction
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2813970020815296,-0.3985669810644781,-0.1642270230985812,55,0.2862671881843817,12.658421525295251,2.5129530825412585e-06,0.0010583720732636,more negative SLE-associated change in pediatric cohort
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.3040065300917503,-0.4270061233378433,-0.1810069368456573,55,0.2297730605536665,12.658421525295251,1.270852580234509e-06,0.0010583720732636,more negative SLE-associated change in pediatric cohort
Classical Monocytes|NK Cells|TGFB1|ITGB1,Classical Monocytes,NK Cells,TGFB1,ITGB1,-0.4346183610100479,-0.6107741986310682,-0.2584625233890276,55,0.2993584168378561,12.96329824896671,1.3267959811462507e-06,0.0010583720732636,more negative SLE-associated change in pediatric cohort
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.3664714545843467,0.2145896743077215,0.518353234860972,56,0.2796522042175465,12.823253107384769,2.2546811945930496e-06,0.0010583720732636,more positive SLE-associated change in pediatric cohort
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.2970727910324653,-0.4199407535455746,-0.174204828519356,56,0.1933847222323707,12.823253107384769,2.1494206502168386e-06,0.0010583720732636,more negative SLE-associated change in pediatric cohort
Non-classical Monocytes|CD4 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD4 T Cells,SELPLG,ITGB2,0.307944240185477,0.1826390998310043,0.4332493805399497,56,0.2164783115089,12.823253107384769,1.4593815491725207e-06,0.0010583720732636,more positive SLE-associated change in pediatric cohort
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.3984408473775701,0.2308630095280919,0.5660186852270482,53,0.3657946561402178,13.009914758945063,3.160537008850817e-06,0.0011409538601951,more positive SLE-associated change in pediatric cohort
CD4 T Cells|Classical Monocytes|ICAM2|ITGAM_ITGB2,CD4 T Cells,Classical Monocytes,ICAM2,ITGAM_ITGB2,-0.2770228183070236,-0.3958981162201763,-0.1581475203938708,56,0.1758890335345456,12.823253107384769,4.937376137392063e-06,0.0015595936873987,more negative SLE-associated change in pediatric cohort
CD4 T Cells|Non-classical Monocytes|ARF6|SMAP1,CD4 T Cells,Non-classical Monocytes,ARF6,SMAP1,-0.4663117048467465,-0.6718928185492459,-0.2607305911442472,55,0.3357507663702517,12.658421525295251,8.760179206058717e-06,0.00201245207761,more negative SLE-associated change in pediatric cohort
CD4 T Cells|B Cells|LTB|CD40,CD4 T Cells,B Cells,LTB,CD40,-0.2988156320264186,-0.4299698243005288,-0.1676614397523083,56,0.2111512742320976,12.823253107384769,7.988529774611389e-06,0.00201245207761,more negative SLE-associated change in pediatric cohort
Non-classical Monocytes|CD8 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD8 T Cells,SELPLG,ITGB2,-0.4019999094457764,-0.5784500715365465,-0.2255497473550064,56,0.405887002568602,12.823253107384769,7.995147921020854e-06,0.00201245207761,more negative SLE-associated change in pediatric cohort
Classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.4477976147531639,-0.6474670944405808,-0.248128135065747,55,0.3915921030431948,12.658421525295251,1.1046711077639716e-05,0.0021473106840919,more negative SLE-associated change in pediatric cohort
CD8 T Cells|Non-classical Monocytes|PTPN6|CLEC12A,CD8 T Cells,Non-classical Monocytes,PTPN6,CLEC12A,-0.3752485591776572,-0.5422557626779629,-0.2082413556773515,56,0.2776886553339232,12.823253107384769,1.0634946008607982e-05,0.0021473106840919,more negative SLE-associated change in pediatric cohort
B Cells|B Cells|LTB|CD40,B Cells,B Cells,LTB,CD40,-0.3746674603213984,-0.5431448793440381,-0.2061900412987588,56,0.2401881930206184,12.823253107384769,1.3086498977686645e-05,0.0022612287135158,more negative SLE-associated change in pediatric cohort
CD4 T Cells|Non-classical Monocytes|IL16|CD4,CD4 T Cells,Non-classical Monocytes,IL16,CD4,-0.3777036953422785,-0.5477629966452472,-0.2076443940393099,56,0.2923269141580121,12.823253107384769,1.3422410250390908e-05,0.0022612287135158,more negative SLE-associated change in pediatric cohort
Non-classical Monocytes|NK Cells|CD48|CD2,Non-classical Monocytes,NK Cells,CD48,CD2,-0.3787067259845955,-0.5506386975060933,-0.2067747544630978,56,0.3824710531674054,12.823253107384769,1.5807576829583037e-05,0.0024966091655222,more negative SLE-associated change in pediatric cohort
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2762399946078874,-0.4031564912837032,-0.1493234979320715,55,0.2565946739919984,12.658421525295251,1.9904625290979725e-05,0.0029587640064885,more negative SLE-associated change in pediatric cohort
Non-classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Non-classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.3866833568094108,-0.5650563980720468,-0.2083103155467749,55,0.3205137813026396,12.658421525295251,2.1484300794860417e-05,0.0030161571171451,more negative SLE-associated change in pediatric cohort
Classical Monocytes|Non-classical Monocytes|GNAI2|S1PR4,Classical Monocytes,Non-classical Monocytes,GNAI2,S1PR4,0.4199965980815563,0.2256075825214367,0.6143856136416759,56,0.3448279432628571,12.823253107384769,2.2886204457318345e-05,0.0030438651928233,more positive SLE-associated change in pediatric cohort
pDCs|B Cells|GNAI2|S1PR4,pDCs,B Cells,GNAI2,S1PR4,-0.3873292438008449,-0.5677024734990126,-0.2069560141026773,41,0.23424767337788,10.286080250568476,2.567524276918431e-05,0.0032440669238864,more negative SLE-associated change in pediatric cohort
Non-classical Monocytes|NK Cells|ADAM17|ITGB1,Non-classical Monocytes,NK Cells,ADAM17,ITGB1,0.4412637802778073,0.232097425099223,0.6504301354563917,56,0.3311288779500734,12.823253107384769,3.552633610280347e-05,0.0035963096013764,more positive SLE-associated change in pediatric cohort
